Publication Years,Publication Years_Count,Document Types,Document Types_Count,Researcher Profiles,Researcher Profiles_Count,Web of Science Categories,Web of Science Categories_Count,Citation Topics Meso,Citation Topics Meso_Count,Citation Topics Micro,Citation Topics Micro_Count,Sustainable Development Goals,Sustainable Development Goals_Count,Web of Science Index,Web of Science Index_Count,Affiliations,Affiliations_Count,Affiliation with Department,Affiliation with Department_Count,Publication Titles,Publication Titles_Count,Languages,Languages_Count,Countries/Regions,Countries/Regions_Count,Publishers,Publishers_Count,Research Areas,Research Areas_Count,Open Access,Open Access_Count,Funding Agencies,Funding Agencies_Count,Conference Titles,Conference Titles_Count
2025.0,3.0,Article,81.0,"Vieira, Emerson Monteiro",13,Zoology,36.0,3.35 Zoology & Animal Ecology,34.0,3.35.721 Rodent Ecology,31.0,15 Life On Land,50.0,Science Citation Index Expanded (SCI-EXPANDED),81.0,UNIVERSIDADE DE BRASILIA,19,Federal University Of Rio De Janeiro Health Sciences Centre,5.0,MAMMALIA,12.0,English,73.0,BRAZIL,73.0,Oxford Univ Press,11.0,Zoology,36.0,All Open Access,44.0,CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO CNPQ,46.0,JOINT MEETING OF THE BRAZILIAN SOCIETY OF ELECTRON MICROSCOPY AND MICROANALYSIS BRAZILIAN CELL BIOLOGY SOCIETY,1.0
2024.0,4.0,Early Access,1.0,"Leiner, Natalia",9,Parasitology,21.0,1.163 Parasitology - General,13.0,1.163.645 Fish Parasitology,12.0,13 Climate Action,38.0,Conference Proceedings Citation Index – Science (CPCI-S),1.0,UNIVERSIDADE ESTADUAL PAULISTA,11,Federal University Of Santa Maria Centre For Natural And Exact Sciences,4.0,JOURNAL OF MAMMALOGY,4.0,Portuguese,7.0,USA,11.0,Elsevier,10.0,Parasitology,21.0,Gold,33.0,COORDENACAO DE APERFEICOAMENTO DE PESSOAL DE NIVEL SUPERIOR CAPES,28.0,,
2023.0,5.0,Proceeding Paper,1.0,"Mendonça, André",7,Veterinary Sciences,9.0,3.64 Phylogenetics & Genomics,11.0,3.64.34 Phylogenetic Relationships,9.0,03 Good Health And Well Being,28.0,,,UNIVERSIDADE FEDERAL DE UBERLANDIA,10,Federal University Of Rio De Janeiro Institute Of Biology,3.0,JOURNAL OF PARASITOLOGY,4.0,French,1.0,ARGENTINA,2.0,Walter De Gruyter,10.0,Veterinary Sciences,9.0,Free to Read,6.0,FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE SAO PAULO FAPESP,8.0,,
2022.0,5.0,,,"Camargo, Nícholas F",7,Ecology,8.0,1.258 Zoonotic Diseases,6.0,1.258.227 Tick-borne Pathogens,6.0,14 Life Below Water,3.0,,,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,9,Universidade De Sao Paulo Departamento De Medicina Veterinaria Preventiva E Saude Animal,3.0,REVISTA BRASILEIRA DE PARASITOLOGIA VETERINARIA,4.0,,,AUSTRALIA,2.0,Springer Nature,8.0,Environmental Sciences Ecology,8.0,Green Published,8.0,FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE MINAS GERAIS FAPEMIG,7.0,,
2021.0,5.0,,,"Ribeiro, Juliana Fernandes",7,Evolutionary Biology,6.0,1.261 Parasitology - Trypanosoma & Leishmania,4.0,1.261.596 Trypanosoma Biology,2.0,02 Zero Hunger,1.0,,,FUNDACAO OSWALDO CRUZ,8,Universidade De Sao Paulo Faculdade De Medicina Veterinaria E Zootecnia,3.0,ACTA TROPICA,3.0,,,CHILE,2.0,Allen Press Inc,4.0,Evolutionary Biology,6.0,Green Submitted,24.0,FUNDACAO CARLOS CHAGAS FILHO DE AMPARO A PESQUISA DO ESTADO DO RIO DE JANEIRO FAPERJ,4.0,,
2020.0,2.0,,,"Maldonado Junior, Arnaldo",6,Biodiversity Conservation,5.0,8.93 Archaeology,3.0,1.261.695 Leishmaniasis Dynamics,2.0,,,,,UNIVERSIDADE DE SAO PAULO,8,Federal University Of Rio De Janeiro Department Of Ecology,2.0,PARASITOLOGY,3.0,,,PORTUGAL,2.0,Brazilian Coll Veterinary Parasitology,4.0,Biodiversity Conservation,5.0,,,FUNDACAO DE APOIO A PESQUISA DO DISTRITO FEDERAL FAPDF,4.0,,
2019.0,7.0,,,"Torres, Eduardo",6,Genetics Heredity,4.0,"1.217 Parasitology - Malaria, Toxoplasmosis & Coccidiosis",2.0,3.35.693 Primate Behavior,2.0,,,,,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA EMBRAPA,7,Federal University Of Rio De Janeiro Forum Of Science And Culture,2.0,VETERINARY PARASITOLOGY,3.0,,,CANADA,1.0,Cambridge Univ Press,3.0,Genetics Heredity,4.0,,,NATIONAL SCIENCE FOUNDATION NSF,3.0,,
2018.0,4.0,,,"de Camargo, Amabilio J. A.",5,Tropical Medicine,4.0,3.32 Entomology,2.0,3.40.195 Biodiversity Conservation,2.0,,,,,EMBRAPA CERRADOS,5,Museu Nacional Ufrj,2.0,ZOOLOGIA,3.0,,,CZECH REPUBLIC,1.0,"Soc Brasileira Zoologia, Univ Federal Parana",3.0,Tropical Medicine,4.0,,,FUNDACAO DE APOIO AO DESENVOLVIMENTO DO ENSINO CIENCIA E TECNOLOGIA DO ESTADO DE MATO GROSSO DO SUL FUNDECT MS,2.0,,
2017.0,7.0,,,"Cáceres, Nilton",5,Environmental Sciences,3.0,3.40 Forestry,2.0,3.64.612 Pollination,2.0,,,,,UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL,5,State University Of Santa Cruz Collegiate Of Biomedicine,2.0,IHERINGIA SERIE ZOOLOGIA,2.0,,,MEXICO,1.0,Wiley,3.0,Science Technology Other Topics,3.0,,,FUNDAÇÃO PARA A CIÊNCIA E A TECNOLOGIA,2.0,,
2016.0,1.0,,,"Hannibal, Wellington",5,Multidisciplinary Sciences,3.0,1.246 Diarrheal Diseases,1.0,8.93.805 Mammalia,2.0,,,,,UNIVERSIDADE FEDERAL DE SANTA MARIA UFSM,5,State University Of Santa Cruz Department Of Biological Sciences,2.0,JOURNAL OF HEREDITY,2.0,,,PEOPLES R CHINA,1.0,"Fundacao Zoobotanica  Rio Grande Sul, Museu Ciencias Naturais",2.0,Life Sciences Biomedicine Other Topics,2.0,,,RESEARCH PRODUCTIVITY GRANT,2.0,,
