Publication Years,Publication Years_Count,Document Types,Document Types_Count,Researcher Profiles,Researcher Profiles_Count,Web of Science Categories,Web of Science Categories_Count,Citation Topics Meso,Citation Topics Meso_Count,Citation Topics Micro,Citation Topics Micro_Count,Sustainable Development Goals,Sustainable Development Goals_Count,Web of Science Index,Web of Science Index_Count,Affiliations,Affiliations_Count,Affiliation with Department,Affiliation with Department_Count,Publication Titles,Publication Titles_Count,Languages,Languages_Count,Countries/Regions,Countries/Regions_Count,Publishers,Publishers_Count,Research Areas,Research Areas_Count,Open Access,Open Access_Count,Funding Agencies,Funding Agencies_Count
2025.0,1.0,Article,6.0,"Cáceres, Nilton",3,Zoology,4.0,3.35 Zoology & Animal Ecology,3.0,3.35.721 Rodent Ecology,3.0,15 Life On Land,6.0,Science Citation Index Expanded (SCI-EXPANDED),5.0,UNIVERSIDADE FEDERAL DE SANTA MARIA UFSM,3.0,Federal University Of Santa Maria Centre For Natural And Exact Sciences,2.0,MAMMALIA,2.0,English,6.0,BRAZIL,6.0,Pensoft Publishers,2.0,Zoology,4.0,All Open Access,4.0,CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO CNPQ,4.0
2022.0,1.0,,,"Hannibal, Wellington",2,Biodiversity Conservation,2.0,3.40 Forestry,1.0,3.40.195 Biodiversity Conservation,1.0,13 Climate Action,5.0,Emerging Sources Citation Index (ESCI),1.0,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,2.0,Cena,1.0,CHECK LIST,1.0,,,ARGENTINA,2.0,Walter De Gruyter,2.0,Biodiversity Conservation,2.0,Gold,4.0,COORDENACAO DE APERFEICOAMENTO DE PESSOAL DE NIVEL SUPERIOR CAPES,3.0
2020.0,1.0,,,"Martin, Gabriel M.",1,Ecology,1.0,3.64 Phylogenetics & Genomics,1.0,3.64.34 Phylogenetic Relationships,1.0,14 Life Below Water,1.0,,,CICYITP CONICET PROV ER UADER,1.0,Maynooth University Department Of Mathematics And Statistics,1.0,GLOBAL ECOLOGY AND CONSERVATION,1.0,,,IRELAND,1.0,Elsevier,1.0,Environmental Sciences Ecology,1.0,Green Submitted,1.0,FUNDACAO DE APOIO AO DESENVOLVIMENTO DO ENSINO CIENCIA E TECNOLOGIA DO ESTADO DE MATO GROSSO DO SUL FUNDECT MS,2.0
2019.0,1.0,,,"Gheler-Costa, Carla",1,Paleontology,1.0,8.93 Archaeology,1.0,8.93.805 Mammalia,1.0,,,,,CONSEJO NACL INVEST CIENT TECN CONICET,1.0,Maynooth University Faculty Of Science And Engineering,1.0,REVISTA BRASILEIRA DE PALEONTOLOGIA,1.0,,,,,Soc Brasileira Paleontologia,1.0,Paleontology,1.0,,,CAPES MMA BRAZIL,1.0
2011.0,1.0,,,"Fraga, Elmary C.",1,,,,,,,,,,,ECOL APLICADA PESQUISA ENSINO SERV AMBIENTAIS,1.0,Universidade De Sao Paulo Departamento De Ciencias Exatas,1.0,ZOOKEYS,1.0,,,,,,,,,,,FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE SAO PAULO FAPESP,1.0
2010.0,1.0,,,"Verdade, Luciano M.",1,,,,,,,,,,,INST FED EDUC CIENCIA TECNOL FARROUPILHA IFFAR,1.0,Universidade De Sao Paulo Escola Superior De Agricultura Luiz De Queiroz,1.0,,,,,,,,,,,,,FUNDACAO DE AMPARO A PESQUISA E DESENVOLVIMENTO CIENTIFICO DO MARANHAO FAPEMA,1.0
,,,,"Amorim, Luana Santos",1,,,,,,,,,,,ITAITI CONSULTORIA AMBIENTAL,1.0,,,,,,,,,,,,,,,SWEDISH RESEARCH COUNCIL,1.0
,,,,"do Amaral, Marcus V. S. G.",1,,,,,,,,,,,MAYNOOTH UNIVERSITY,1.0,,,,,,,,,,,,,,,,
,,,,"Calaboni, Adriane",1,,,,,,,,,,,MUSEU CIENCIAS NAT,1.0,,,,,,,,,,,,,,,,
,,,,"Sponchiado, Jonas",1,,,,,,,,,,,R MAJOR VIRGOLINO ESMANHOTTO,1.0,,,,,,,,,,,,,,,,
,,,,"Motta, Filipe",1,,,,,,,,,,,UNIVERSIDAD NACIONAL DE LA PATAGONIA SAN JUAN BOSCO,1.0,,,,,,,,,,,,,,,,
,,,,"Napoli, Rodrigo",1,,,,,,,,,,,UNIVERSIDADE DE SAO PAULO,1.0,,,,,,,,,,,,,,,,
,,,,"do Nascimento, Daiane Chaves",1,,,,,,,,,,,UNIVERSIDADE ESTADUAL DO MARANHAO,1.0,,,,,,,,,,,,,,,,
,,,,"Piña, Carlos",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL,1.0,,,,,,,,,,,,,,,,
,,,,"Hadler, Patricia",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DE SANTA CATARINA UFSC,1.0,,,,,,,,,,,,,,,,
,,,,"Campos, B. A. T. P.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ribeiro, Ana Maria",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Barros, Maria Claudene",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Martin, PS",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Cherem, Jose",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Nelson Fagundes,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"de Andrade Moral, Rafael",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Melo, Geruza Leal",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
