Publication Years,Publication Years_Count,Document Types,Document Types_Count,Researcher Profiles,Researcher Profiles_Count,Web of Science Categories,Web of Science Categories_Count,Citation Topics Meso,Citation Topics Meso_Count,Citation Topics Micro,Citation Topics Micro_Count,Sustainable Development Goals,Sustainable Development Goals_Count,Web of Science Index,Web of Science Index_Count,Affiliations,Affiliations_Count,Affiliation with Department,Affiliation with Department_Count,Publication Titles,Publication Titles_Count,Languages,Languages_Count,Countries/Regions,Countries/Regions_Count,Publishers,Publishers_Count,Research Areas,Research Areas_Count,Open Access,Open Access_Count,Funding Agencies,Funding Agencies_Count,Conference Titles,Conference Titles_Count,Book Series Titles,Book Series Titles_Count,Editors,Editors_Count
2025.0,20.0,Article,413.0,"Dubey, Jitender P. P.",17,Parasitology,116.0,3.35 Zoology & Animal Ecology,82.0,3.35.721 Rodent Ecology,63.0,03 Good Health And Well Being,289.0,Science Citation Index Expanded (SCI-EXPANDED),425.0,UNIVERSIDADE DE SAO PAULO,65,University Of Buenos Aires Department Of Ecology Genetics And Evolution,16,MEMORIAS DO INSTITUTO OSWALDO CRUZ,14,English,416.0,BRAZIL,314.0,Elsevier,78.0,Parasitology,116.0,All Open Access,182.0,CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO CNPQ,96,14TH INTERNATIONAL CONGRESS ON ELECTRON MICROSCOPY,2.0,Serie Livros Do Museu Nacional,1.0,Benavides HAC,2.0
2024.0,18.0,Meeting Abstract,11.0,"Labruna, Marcelo B",15,Veterinary Sciences,92.0,1.261 Parasitology - Trypanosoma & Leishmania,64.0,1.217.1038 Toxoplasma Gondii,46.0,15 Life On Land,121.0,Emerging Sources Citation Index (ESCI),10.0,UNIVERSIDADE ESTADUAL PAULISTA,53,University Of Buenos Aires Faculty Of Exact And Natural Sciences,16,ACTA TROPICA,13,Portuguese,16.0,ARGENTINA,69.0,Springer Nature,57.0,Veterinary Sciences,92.0,Gold,121.0,COORDENACAO DE APERFEICOAMENTO DE PESSOAL DE NIVEL SUPERIOR CAPES,79,EXPERIMENTAL BIOLOGY EB ANNUAL MEETING,1.0,,,Yacaman MJ,2.0
2023.0,24.0,Review Article,7.0,"Coutinho, HB",12,Zoology,88.0,1.258 Zoonotic Diseases,51.0,1.261.596 Trypanosoma Biology,45.0,13 Climate Action,96.0,Social Sciences Citation Index (SSCI),7.0,FUNDACAO OSWALDO CRUZ,45,Universidade De Sao Paulo Departamento De Medicina Veterinaria Preventiva E Saude Animal,14,PARASITOLOGY RESEARCH,13,Spanish,5.0,USA,65.0,Wiley,37.0,Zoology,89.0,Gold-Hybrid,9.0,FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE SAO PAULO FAPESP,41,JOINT MEETING OF THE BRAZILIAN SOCIETY OF ELECTRON MICROSCOPY AND MICROANALYSIS BRAZILIAN CELL BIOLOGY SOCIETY,1.0,,,Pessoa LM,1.0
2022.0,19.0,Note,4.0,"André, Marcos Rogério",11,Tropical Medicine,46.0,"1.217 Parasitology - Malaria, Toxoplasmosis & Coccidiosis",46.0,1.258.227 Tick-borne Pathogens,44.0,14 Life Below Water,24.0,Conference Proceedings Citation Index – Science (CPCI-S),5.0,CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFICAS Y TECNICAS CONICET,43,Universidade De Sao Paulo Faculdade De Medicina Veterinaria E Zootecnia,14,REVISTA BRASILEIRA DE PARASITOLOGIA VETERINARIA,13,French,3.0,ENGLAND,15.0,Oxford Univ Press,21.0,Tropical Medicine,46.0,Free to Read,27.0,ANPCYT,17,TRYPANOSOMATID EVOLUTION WORKSHOP,1.0,,,Siciliano S,1.0
2021.0,16.0,Proceeding Paper,4.0,"Martins, Thiago",11,Anatomy Morphology,43.0,1.163 Parasitology - General,22.0,1.261.695 Leishmaniasis Dynamics,19.0,02 Zero Hunger,1.0,Book Citation Index – Science (BKCI-S),1.0,UNIVERSIDADE FEDERAL DE MINAS GERAIS,37,Federal University Of Minas Gerais Institute Of Biological Sciences,10,MAMMALIA,12,,,AUSTRALIA,14.0,Brazilian Coll Veterinary Parasitology,13.0,Anatomy Morphology,43.0,Green Published,31.0,CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFICAS Y TECNICAS CONICET,17,,,,,Tavares WE,1.0
2020.0,21.0,Early Access,3.0,"Matheus, Selma MM",10,Ecology,33.0,8.93 Archaeology,17.0,8.93.805 Mammalia,17.0,05 Gender Equality,1.0,,,UNIVERSITY OF BUENOS AIRES,32,Virginia Maryland Regional College Of Veterinary Medicine,8,BRAZILIAN JOURNAL OF MEDICAL AND BIOLOGICAL RESEARCH,11,,,FRANCE,9.0,Cambridge Univ Press,13.0,Environmental Sciences Ecology,33.0,Green Accepted,2.0,UNIVERSITY OF BUENOS AIRES,15,,,,,,
2019.0,19.0,Book Chapters,1.0,Benjamin M. Rosenthal,10,Biology,22.0,3.64 Phylogenetics & Genomics,13.0,1.163.645 Fish Parasitology,14.0,09 Industry Innovation And Infrastructure,1.0,,,UNIVERSIDADE FEDERAL DE PERNAMBUCO,27,Virginia Maryland Regional College Of Veterinary Medicine Department Of Biomedical Sciences And Pathobiology,8,VETERINARY PARASITOLOGY,11,,,SCOTLAND,6.0,Assoc Bras Divulg Cientifica,11.0,Life Sciences Biomedicine Other Topics,22.0,Green Submitted,92.0,FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE MINAS GERAIS FAPEMIG,12,,,,,,
2018.0,15.0,Correction,1.0,"Machado, Rosangela RZ",9,Infectious Diseases,21.0,1.181 Molecular Toxicology,10.0,3.35.274 Wildlife Ecology,14.0,,,,,UNITED STATES DEPARTMENT OF AGRICULTURE USDA,21,Universidade De Sao Paulo Faculdade De Medicina De Ribeirao Preto,6,JOURNAL OF PARASITOLOGY,10,,,GERMANY,5.0,Fundaco Oswaldo Cruz,10.0,Infectious Diseases,21.0,,,SPANISH GOVERNMENT,12,,,,,,
2017.0,17.0,Data Paper,1.0,"Filho, Jose C.M. Nogueira",9,Entomology,20.0,3.40 Forestry,10.0,1.181.1079 Snake Venom Biochemistry,10.0,,,,,UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL,21,Federal University Of Santa Maria Centre For Natural And Exact Sciences,5,BIOTA NEOTROPICA,9,,,ITALY,5.0,Revista Biota Neotropica,9.0,Entomology,20.0,,,FUNDACAO CARLOS CHAGAS FILHO DE AMPARO A PESQUISA DO ESTADO DO RIO DE JANEIRO FAPERJ,8,,,,,,
2016.0,12.0,Editorial Material,1.0,"Coutinho, Vania Barbosa",9,Biodiversity Conservation,19.0,1.65 Allergy,7.0,1.258.1958 Leptospirosis Epidemiology,7.0,,,,,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,20,Universidade De Sao Paulo Escola Superior De Agricultura Luiz De Queiroz,5,JOURNAL OF MAMMALOGY,9,,,SPAIN,5.0,Revista Pesquisa Veterinaria Brasileira,9.0,Biodiversity Conservation,19.0,,,FUNDACAO DE AMPARO A CIENCIA E TECNOLOGIA DO ESTADO DE PERNAMBUCO FACEPE,6,,,,,,
