Publication Years,Publication Years_Count,Document Types,Document Types_Count,Researcher Profiles,Researcher Profiles_Count,Web of Science Categories,Web of Science Categories_Count,Citation Topics Meso,Citation Topics Meso_Count,Citation Topics Micro,Citation Topics Micro_Count,Sustainable Development Goals,Sustainable Development Goals_Count,Web of Science Index,Web of Science Index_Count,Affiliations,Affiliations_Count,Affiliation with Department,Affiliation with Department_Count,Publication Titles,Publication Titles_Count,Languages,Languages_Count,Countries/Regions,Countries/Regions_Count,Publishers,Publishers_Count,Research Areas,Research Areas_Count,Open Access,Open Access_Count,Funding Agencies,Funding Agencies_Count,Conference Titles,Conference Titles_Count,Group Authors,Group Authors_Count
2025.0,2.0,Article,44.0,Marcus Vieira,7,Zoology,21.0,3.35 Zoology & Animal Ecology,14.0,3.35.721 Rodent Ecology,13.0,15 Life On Land,33.0,Science Citation Index Expanded (SCI-EXPANDED),45.0,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,15,Federal University Of Rio De Janeiro Health Sciences Centre,13.0,JOURNAL OF MAMMALOGY,4.0,English,44.0,BRAZIL,42.0,Wiley,6.0,Zoology,21.0,All Open Access,20.0,CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO CNPQ,19.0,JOINT MEETING OF THE BRAZILIAN SOCIETY OF ELECTRON MICROSCOPY AND MICROANALYSIS BRAZILIAN CELL BIOLOGY SOCIETY,1.0,MOL ECOL RESOURCES,1.0
2023.0,1.0,Proceeding Paper,1.0,"Püttker, Thomas",6,Ecology,11.0,3.40 Forestry,10.0,3.40.195 Biodiversity Conservation,10.0,13 Climate Action,26.0,Conference Proceedings Citation Index – Science (CPCI-S),1.0,UNIVERSIDADE DE SAO PAULO,11,Federal University Of Rio De Janeiro Department Of Ecology,12.0,MAMMALIA,4.0,Portuguese,1.0,GERMANY,6.0,Springer Nature,5.0,Environmental Sciences Ecology,11.0,Gold,10.0,COORDENACAO DE APERFEICOAMENTO DE PESSOAL DE NIVEL SUPERIOR CAPES,15.0,,,,
2022.0,1.0,Review Article,1.0,"Sommer, Simone",6,Biodiversity Conservation,5.0,3.64 Phylogenetics & Genomics,6.0,3.64.34 Phylogenetic Relationships,4.0,14 Life Below Water,11.0,,,LEIBNIZ INSTITUT FUR ZOO UND WILDTIERFORSCHUNG,6,Federal University Of Rio De Janeiro Institute Of Biology,12.0,AUSTRAL ECOLOGY,3.0,,,USA,3.0,Taylor & Francis,5.0,Biodiversity Conservation,5.0,Gold-Hybrid,1.0,FEDERAL MINISTRY OF EDUCATION RESEARCH BMBF,4.0,,,,
2020.0,1.0,,,"Pardini, Renata",6,Evolutionary Biology,4.0,8.93 Archaeology,3.0,8.93.805 Mammalia,3.0,03 Good Health And Well Being,10.0,,,UNIVERSIDADE FEDERAL DE LAVRAS,6,Federal University Of Lavras Department Of Biology,5.0,PLOS ONE,3.0,,,AUSTRALIA,2.0,Elsevier,4.0,Evolutionary Biology,4.0,Free to Read,5.0,FUNDACAO CARLOS CHAGAS FILHO DE AMPARO A PESQUISA DO ESTADO DO RIO DE JANEIRO FAPERJ,4.0,,,,
2019.0,3.0,,,"Passamani, Marcelo",5,Genetics Heredity,4.0,1.186 Chromosome Disorders,2.0,1.186.670 Chromosomal Evolution,2.0,,,,,UNIVERSIDADE FEDERAL DE MINAS GERAIS,4,Universidade De Sao Paulo Departamento De Ecologia,5.0,STUDIES ON NEOTROPICAL FAUNA AND ENVIRONMENT,3.0,,,PORTUGAL,2.0,Oxford Univ Press,4.0,Genetics Heredity,4.0,Green Published,2.0,FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE MINAS GERAIS FAPEMIG,4.0,,,,
2018.0,1.0,,,"Loretto, Diogo",3,Multidisciplinary Sciences,3.0,1.258 Zoonotic Diseases,2.0,1.258.227 Tick-borne Pathogens,2.0,,,,,FUNDACAO OSWALDO CRUZ,3,Universidade De Sao Paulo Instituto De Biociencias,5.0,CONSERVATION GENETICS,2.0,,,ARGENTINA,1.0,Public Library Science,3.0,Parasitology,3.0,Green Submitted,11.0,FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE SAO PAULO FAPESP,4.0,,,,
2017.0,1.0,,,"Meyer-Lucht, Yvonne",3,Parasitology,3.0,1.261 Parasitology - Trypanosoma & Leishmania,2.0,1.261.695 Leishmaniasis Dynamics,2.0,,,,,UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO,3,Cornell University College Of Arts And Sciences,1.0,JOURNAL OF NATURAL HISTORY,2.0,,,AUSTRIA,1.0,Walter De Gruyter,3.0,Science Technology Other Topics,3.0,,,FUNDACAO DE APOIO A PESQUISA DO DISTRITO FEDERAL FAPDF,2.0,,,,
2016.0,1.0,,,"Delciellos, Ana Cláudia",3,Biology,2.0,1.6 Immunology,2.0,1.6.607 Mhc Diversity,2.0,,,,,UNIVERSIDADE ESTADUAL DE CAMPINAS,2,Cornell University Department Of Ecology And Evolutionary Biology,1.0,MAMMALIAN BIOLOGY,2.0,,,CANADA,1.0,Cambridge Univ Press,2.0,Agriculture,2.0,,,AMERICAN SOCIETY OF MAMMALOGISTS,1.0,,,,
2015.0,4.0,,,"Grelle, Carlos EV",2,Cell Biology,2.0,1.163 Parasitology - General,1.0,3.64.71 Genetic Diversity,2.0,,,,,UNIVERSIDADE ESTADUAL DE SANTA CRUZ,2,Dalhousie University Department Of Biology,1.0,ACTA THERIOLOGICA,1.0,,,ENGLAND,1.0,AMER SOC PARASITOLOGISTS,1.0,Cell Biology,2.0,,,AUSTRALIAN RESEARCH COUNCIL,1.0,,,,
2014.0,1.0,,,"Barros, Camila",2,Veterinary Sciences,2.0,"1.217 Parasitology - Malaria, Toxoplasmosis & Coccidiosis",1.0,1.163.645 Fish Parasitology,1.0,,,,,UNIVERSIDADE ESTADUAL PAULISTA,2,Dalhousie University Faculty Of Science,1.0,ANIMALS,1.0,,,FRANCE,1.0,Amer Soc Mammalogists,1.0,Life Sciences Biomedicine Other Topics,2.0,,,CENTRO UNIVERSITARIO VILA VELHA UVV,1.0,,,,
