Publication Years,Publication Years_Count,Document Types,Document Types_Count,Researcher Profiles,Researcher Profiles_Count,Web of Science Categories,Web of Science Categories_Count,Citation Topics Meso,Citation Topics Meso_Count,Citation Topics Micro,Citation Topics Micro_Count,Sustainable Development Goals,Sustainable Development Goals_Count,Web of Science Index,Web of Science Index_Count,Affiliations,Affiliations_Count,Affiliation with Department,Affiliation with Department_Count,Publication Titles,Publication Titles_Count,Languages,Languages_Count,Countries/Regions,Countries/Regions_Count,Publishers,Publishers_Count,Research Areas,Research Areas_Count,Open Access,Open Access_Count,Funding Agencies,Funding Agencies_Count,Book Series Titles,Book Series Titles_Count
2023.0,1.0,Article,62.0,"Fernandez, Fernando A. S.",12,Zoology,30.0,3.35 Zoology & Animal Ecology,36.0,3.35.721 Rodent Ecology,35.0,15 Life On Land,57.0,Science Citation Index Expanded (SCI-EXPANDED),64.0,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,21.0,Federal University Of Rio De Janeiro Health Sciences Centre,19.0,JOURNAL OF TROPICAL ECOLOGY,6.0,English,62.0,BRAZIL,56.0,Springer Nature,9.0,Zoology,30.0,All Open Access,22.0,CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO CNPQ,19.0,Springer Earth System Sciences,1.0
2022.0,2.0,Editorial Material,3.0,Marcus Vieira,5,Ecology,19.0,3.64 Phylogenetics & Genomics,8.0,3.40.195 Biodiversity Conservation,7.0,13 Climate Action,47.0,Book Citation Index – Science (BKCI-S),1.0,UNIVERSIDADE DE SAO PAULO,10.0,Federal University Of Rio De Janeiro Institute Of Biology,19.0,JOURNAL OF MAMMALOGY,5.0,Portuguese,3.0,USA,6.0,Cambridge Univ Press,7.0,Environmental Sciences Ecology,19.0,Gold,13.0,COORDENACAO DE APERFEICOAMENTO DE PESSOAL DE NIVEL SUPERIOR CAPES,11.0,,
2021.0,1.0,Book Chapters,1.0,"Vieira, Emerson Monteiro",5,Biodiversity Conservation,7.0,3.40 Forestry,7.0,1.186.670 Chromosomal Evolution,5.0,14 Life Below Water,8.0,Social Sciences Citation Index (SSCI),1.0,UNIVERSIDADE ESTADUAL DE CAMPINAS,8.0,Federal University Of Rio De Janeiro Department Of Ecology,17.0,MAMMALIAN BIOLOGY,5.0,,,FRANCE,4.0,Elsevier,7.0,Biodiversity Conservation,7.0,Free to Read,5.0,FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE SAO PAULO FAPESP,7.0,,
2018.0,1.0,,,"Brito, Daniel",3,Genetics Heredity,7.0,1.186 Chromosome Disorders,5.0,3.64.34 Phylogenetic Relationships,5.0,03 Good Health And Well Being,5.0,,,UNIVERSIDADE FEDERAL DE MINAS GERAIS,6.0,Federal University Of Parana Biological Sciences Sector,3.0,REVISTA BRASILEIRA DE ZOOLOGIA,5.0,,,PORTUGAL,3.0,Wiley,7.0,Genetics Heredity,7.0,Green Published,3.0,FUNDACAO CARLOS CHAGAS FILHO DE AMPARO A PESQUISA DO ESTADO DO RIO DE JANEIRO FAPERJ,4.0,,
2017.0,3.0,,,"Pires, Alexandra Dos Santos",3,Parasitology,5.0,8.93 Archaeology,4.0,8.93.805 Mammalia,3.0,,,,,UNIVERSIDADE FEDERAL DO PARANA,5.0,Federal University Of Parana Department Of Zoology,3.0,STUDIES ON NEOTROPICAL FAUNA AND ENVIRONMENT,4.0,,,SPAIN,2.0,"Soc Brasileira Zoologia, Univ Federal Parana",6.0,Parasitology,5.0,Green Submitted,11.0,FUNDACAO DE APOIO A PESQUISA DO DISTRITO FEDERAL FAPDF,2.0,,
2016.0,1.0,,,"Costa, Leonora Pires",3,Environmental Sciences,4.0,1.163 Parasitology - General,1.0,1.163.645 Fish Parasitology,1.0,,,,,UNIVERSIDADE DE BRASILIA,4.0,University Of Aveiro Department Of Biology,3.0,ACTA THERIOLOGICA,3.0,,,AUSTRALIA,1.0,Oxford Univ Press,5.0,Biochemistry Molecular Biology,3.0,,,FUNDACAO PARA A CIENCIA E A TECNOLOGIA FCT,2.0,,
2015.0,1.0,,,"Ribeiro, Juliana Fernandes",3,Biochemistry Molecular Biology,3.0,"1.217 Parasitology - Malaria, Toxoplasmosis & Coccidiosis",1.0,1.217.1038 Toxoplasma Gondii,1.0,,,,,UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL,4.0,Federal University Of Minas Gerais Institute Of Biological Sciences,2.0,BIOLOGICAL CONSERVATION,3.0,,,CANADA,1.0,Taylor & Francis,5.0,Evolutionary Biology,3.0,,,FUNDAÇÃO PARA A CIÊNCIA E A TECNOLOGIA,2.0,,
2014.0,1.0,,,"Delciellos, Ana Cláudia",3,Evolutionary Biology,3.0,1.258 Zoonotic Diseases,1.0,1.258.227 Tick-borne Pathogens,1.0,,,,,CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE CNRS,3.0,University Of Aveiro Centre For Environmental And Marine Studies,2.0,MAMMALIA,3.0,,,CHILE,1.0,KLUWER ACADEMIC PUBL,3.0,Physical Geography,2.0,,,ALBAN PROGRAM,1.0,,
2013.0,3.0,,,"Nessimian, Jorge",3,Geography Physical,2.0,1.261 Parasitology - Trypanosoma & Leishmania,1.0,1.261.695 Leishmaniasis Dynamics,1.0,,,,,UNIVERSIDADE DE AVEIRO,3.0,Carleton University Department Of Biology,1.0,ACTA TROPICA,2.0,,,COLOMBIA,1.0,Allen Press Inc,2.0,Science Technology Other Topics,2.0,,,BRASILEIRO DO MEIO AMBIENTE E DOS RECURSOS RENOVAVEIS,1.0,,
2012.0,6.0,,,"Ferreira, Eduardo",2,Multidisciplinary Sciences,2.0,1.6 Immunology,1.0,1.6.452 Somatic Hypermutation,1.0,,,,,AMERICAN MUSEUM OF NATURAL HISTORY AMNH,2.0,Carleton University Faculty Of Science,1.0,ANIMAL CONSERVATION,2.0,,,ENGLAND,1.0,Walter De Gruyter,2.0,Tropical Medicine,2.0,,,CESAM CENTRE FOR ENVIRONMENTAL AND MARINE STUDIES,1.0,,
2011.0,1.0,,,"Kajin, Maja",2,Tropical Medicine,2.0,,,3.35.274 Wildlife Ecology,1.0,,,,,EMBRAPA CERRADOS,2.0,Carleton University Institute Of Environmental Science,1.0,AUSTRAL ECOLOGY,2.0,,,GERMANY,1.0,Alliance Communications Group Division Allen Press,1.0,Anatomy Morphology,1.0,,,COMISION NACIONAL DE INVESTIGACION CIENTIFICA Y TECNOLOGICA CONICYT,1.0,,
2010.0,4.0,,,"Mattevi, Margarete S.",2,Anatomy Morphology,1.0,,,3.64.612 Pollination,1.0,,,,,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA EMBRAPA,2.0,Escola Veterinary Ufmg,1.0,JOURNAL OF PARASITOLOGY,2.0,,,SWEDEN,1.0,Amer Assoc Zoo Veterinarians,1.0,Business Economics,1.0,,,CONICYT FONDAP,1.0,,
