Publication Years,Publication Years_Count,Document Types,Document Types_Count,Researcher Profiles,Researcher Profiles_Count,Web of Science Categories,Web of Science Categories_Count,Citation Topics Meso,Citation Topics Meso_Count,Citation Topics Micro,Citation Topics Micro_Count,Sustainable Development Goals,Sustainable Development Goals_Count,Web of Science Index,Web of Science Index_Count,Affiliations,Affiliations_Count,Affiliation with Department,Affiliation with Department_Count,Publication Titles,Publication Titles_Count,Languages,Languages_Count,Countries/Regions,Countries/Regions_Count,Publishers,Publishers_Count,Research Areas,Research Areas_Count,Open Access,Open Access_Count,Funding Agencies,Funding Agencies_Count,Group Authors,Group Authors_Count
2025.0,1.0,Article,16.0,"Alvarez, Martín R",2,Zoology,4.0,3.35 Zoology & Animal Ecology,5.0,3.35.721 Rodent Ecology,4.0,15 Life On Land,8.0,Science Citation Index Expanded (SCI-EXPANDED),16.0,FUNDACAO OSWALDO CRUZ,3,State University Of Santa Cruz Collegiate Of Biomedicine,2.0,MAMMALIAN BIOLOGY,2.0,English,16.0,BRAZIL,14.0,Oxford Univ Press,2.0,Zoology,4.0,All Open Access,9.0,CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO CNPQ,8.0,MOL ECOL RESOURCES,1.0
2021.0,1.0,,,"Fehlberg, Hllytchaikra Ferraz",2,Veterinary Sciences,3.0,3.64 Phylogenetics & Genomics,2.0,1.186.670 Chromosomal Evolution,1.0,03 Good Health And Well Being,6.0,,,UNIVERSIDADE DE SAO PAULO,3,State University Of Santa Cruz Department Of Biological Sciences,2.0,PLOS ONE,2.0,,,USA,3.0,Public Library Science,2.0,Veterinary Sciences,3.0,Gold,7.0,COORDENACAO DE APERFEICOAMENTO DE PESSOAL DE NIVEL SUPERIOR CAPES,7.0,,
2019.0,1.0,,,"Püttker, Thomas",2,Biochemistry Molecular Biology,2.0,8.93 Archaeology,2.0,1.217.1890 Coccidiosis,1.0,13 Climate Action,6.0,,,NATIONAL UNIVERSITY OF LA PLATA,2,Cornell University College Of Arts And Sciences,1.0,ANATOMIA HISTOLOGIA EMBRYOLOGIA,1.0,,,ARGENTINA,2.0,Wiley,2.0,Biochemistry Molecular Biology,2.0,Free to Read,1.0,FUNDACAO CARLOS CHAGAS FILHO DE AMPARO A PESQUISA DO ESTADO DO RIO DE JANEIRO FAPERJ,3.0,,
2018.0,2.0,,,"Brito Junior, Pedro de Alcantara",2,Ecology,2.0,1.186 Chromosome Disorders,1.0,1.246.985 Cryptosporidium,1.0,14 Life Below Water,1.0,,,UNIVERSIDADE ESTADUAL DE SANTA CRUZ,2,Cornell University Department Of Ecology And Evolutionary Biology,1.0,BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,1.0,,,SCOTLAND,2.0,AMER SOC PARASITOLOGISTS,1.0,Environmental Sciences Ecology,2.0,Green Published,2.0,FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE SAO PAULO FAPESP,2.0,,
2017.0,1.0,,,"Hadler, Patricia",2,Evolutionary Biology,2.0,"1.217 Parasitology - Malaria, Toxoplasmosis & Coccidiosis",1.0,1.258.227 Tick-borne Pathogens,1.0,,,,,UNIVERSIDADE ESTADUAL PAULISTA,2,Dalhousie University Department Of Biology,1.0,BIOTA NEOTROPICA,1.0,,,AUSTRALIA,1.0,ASSOC TROPICAL BIOLOGY INC,1.0,Evolutionary Biology,2.0,Green Submitted,5.0,ALEXANDER VON HUMBOLDT FOUNDATION,1.0,,
2015.0,1.0,,,"Ribeiro, Ana Maria",2,Multidisciplinary Sciences,2.0,1.246 Diarrheal Diseases,1.0,1.261.596 Trypanosoma Biology,1.0,,,,,UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO UFRRJ,2,Dalhousie University Faculty Of Science,1.0,BIOTROPICA,1.0,,,AUSTRIA,1.0,Brazilian Coll Veterinary Parasitology,1.0,Parasitology,2.0,,,BRASILEIRO DO MEIO AMBIENTE E DOS RECURSOS RENOVAVEIS,1.0,,
2012.0,1.0,,,"Albuquerque, George Rego",2,Parasitology,2.0,1.258 Zoonotic Diseases,1.0,1.81.960 Spermatogenesis,1.0,,,,,ARC CENTRE OF EXCELLENCE FOR CORAL REEF STUDIES,1,East China Normal University School Of Life Sciences,1.0,GENETICS AND MOLECULAR BIOLOGY,1.0,,,CANADA,1.0,Elsevier,1.0,Science Technology Other Topics,2.0,,,CNPQ BOLSISTA DE PRODUTIVIDADE NIVEL 1 CNPQ,1.0,,
2011.0,1.0,,,"Pardini, Renata",2,Anatomy Morphology,1.0,1.261 Parasitology - Trypanosoma & Leishmania,1.0,3.35.2036 Avian Parasitology,1.0,,,,,BOKU UNIVERSITY,1,Federal University Of Rio De Janeiro Department Of Ecology,1.0,JOURNAL OF MEDICAL ENTOMOLOGY,1.0,,,FRANCE,1.0,Revista Biota Neotropica,1.0,Anatomy Morphology,1.0,,,CNPQ CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO BMBF GERMAN FEDERAL MINISTRY OF EDUCATION AND RESEARCH,1.0,,
2009.0,2.0,,,"Gettinger, Donald",2,Biodiversity Conservation,1.0,1.81 Reproductive Biology,1.0,3.40.86 Plant Communities,1.0,,,,,BOT GARDENS TRUST,1,Federal University Of Rio De Janeiro Health Sciences Centre,1.0,JOURNAL OF PARASITOLOGY,1.0,,,GERMANY,1.0,Soc Brasil Genetica,1.0,Biodiversity Conservation,1.0,,,COMPANHIA DE CIMENTO RIBEIRAO GRANDE CCRG,1.0,,
2008.0,1.0,,,"Murray, Tomás E",1,Entomology,1.0,3.40 Forestry,1.0,3.64.34 Phylogenetic Relationships,1.0,,,,,CARDIFF UNIVERSITY,1,Federal University Of Rio De Janeiro Institute Of Biology,1.0,MAMMALIA,1.0,,,INDIA,1.0,Soc Brasileira Paleontologia,1.0,Entomology,1.0,,,CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFICAS Y TECNICAS CONICET,1.0,,
