Publication Years,Publication Years_Count,Document Types,Document Types_Count,Researcher Profiles,Researcher Profiles_Count,Web of Science Categories,Web of Science Categories_Count,Citation Topics Meso,Citation Topics Meso_Count,Citation Topics Micro,Citation Topics Micro_Count,Sustainable Development Goals,Sustainable Development Goals_Count,Web of Science Index,Web of Science Index_Count,Affiliations,Affiliations_Count,Affiliation with Department,Affiliation with Department_Count,Publication Titles,Publication Titles_Count,Languages,Languages_Count,Countries/Regions,Countries/Regions_Count,Publishers,Publishers_Count,Research Areas,Research Areas_Count,Open Access,Open Access_Count,Funding Agencies,Funding Agencies_Count,Editors,Editors_Count
2025.0,1.0,Article,81.0,"Atramentowicz, M",10,Zoology,38.0,3.35 Zoology & Animal Ecology,35.0,3.35.721 Rodent Ecology,33.0,15 Life On Land,68.0,Science Citation Index Expanded (SCI-EXPANDED),81.0,MUSEUM NATIONAL D HISTOIRE NATURELLE MNHN,16.0,Federal University Of Rio De Janeiro Health Sciences Centre,13.0,JOURNAL OF MAMMALOGY,8.0,English,74.0,BRAZIL,31.0,Wiley,15.0,Zoology,38.0,All Open Access,15.0,CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO CNPQ,8.0,Hammond DS,1.0
2024.0,1.0,Book Chapters,1.0,"Lemelin, Pierre",6,Ecology,21.0,8.93 Archaeology,22.0,8.93.805 Mammalia,22.0,13 Climate Action,59.0,Social Sciences Citation Index (SSCI),4.0,CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE CNRS,15.0,Federal University Of Rio De Janeiro Institute Of Biology,13.0,MAMMALIA,5.0,French,6.0,USA,21.0,Elsevier,10.0,Environmental Sciences Ecology,21.0,Gold,3.0,COORDENACAO DE APERFEICOAMENTO DE PESSOAL DE NIVEL SUPERIOR CAPES,6.0,,
2023.0,1.0,Early Access,1.0,"Julien-Laferriere, D",6,Evolutionary Biology,8.0,3.64 Phylogenetics & Genomics,5.0,3.40.195 Biodiversity Conservation,3.0,03 Good Health And Well Being,10.0,Book Citation Index – Science (BKCI-S),1.0,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,14.0,Federal University Of Rio De Janeiro Department Of Ecology,12.0,MAMMALIAN BIOLOGY,5.0,Portuguese,2.0,FRANCE,19.0,Springer Nature,9.0,Evolutionary Biology,8.0,Gold-Hybrid,1.0,FUNDACAO CARLOS CHAGAS FILHO DE AMPARO A PESQUISA DO ESTADO DO RIO DE JANEIRO FAPERJ,3.0,,
2022.0,5.0,Meeting Abstract,1.0,"Fernandez, Fernando A. S.",5,Anatomy Morphology,7.0,3.40 Forestry,4.0,3.64.34 Phylogenetic Relationships,3.0,14 Life Below Water,5.0,,,DUKE UNIVERSITY,8.0,Duke University Trinity College Of Arts And Sciences,3.0,JOURNAL OF MORPHOLOGY,4.0,,,AUSTRALIA,5.0,Oxford Univ Press,6.0,Anatomy Morphology,7.0,Free to Read,9.0,ARISTOTLE UNIVERSITY OF THESSALONIKI,2.0,,
2018.0,1.0,,,"Sanchez-Villagra, Marcelo Ricardo",5,Biodiversity Conservation,6.0,1.186 Chromosome Disorders,2.0,1.186.670 Chromosomal Evolution,2.0,,,,,EBERHARD KARLS UNIVERSITY OF TUBINGEN,4.0,Federal University Of Santa Maria Centre For Natural And Exact Sciences,3.0,BIOTROPICA,3.0,,,CANADA,4.0,Cambridge Univ Press,4.0,Biodiversity Conservation,6.0,Green Published,2.0,FUNDACAO DE APOIO A PESQUISA DO DISTRITO FEDERAL FAPDF,2.0,,
2017.0,2.0,,,Marcus Vieira,4,Genetics Heredity,6.0,1.228 Virology - Tropical Diseases,2.0,1.228.200 Mosquito-borne Viruses,2.0,,,,,INSTITUTE NACIONAL DE PESQUISAS DA AMAZONIA,4.0,University Of Alberta Faculty Of Medicine Dentistry,3.0,JOURNAL OF ZOOLOGY,3.0,,,GERMANY,4.0,Soc Natl Protection Nature Acclimatation France,4.0,Genetics Heredity,6.0,Green Submitted,5.0,NATIONAL SCIENCE FOUNDATION NSF,2.0,,
2016.0,2.0,,,"Cáceres, Nilton",4,Anthropology,4.0,1.81 Reproductive Biology,2.0,1.81.176 Male Fertility,2.0,,,,,UNIVERSIDADE DE SAO PAULO,4.0,Aristotle University Of Thessaloniki Faculty Of Sciences,2.0,REVUE D ECOLOGIE LA TERRE ET LA VIE,3.0,,,ENGLAND,3.0,Walter De Gruyter,4.0,Anthropology,4.0,,,AUSTRALIAN RESEARCH COUNCIL,1.0,,
2015.0,2.0,,,"Hannibal, Wellington",4,Biology,3.0,3.220 Smell & Taste Science,2.0,8.305.1035 Vertebrate Paleontology,2.0,,,,,UNIVERSIDADE FEDERAL DE SANTA MARIA UFSM,4.0,Aristotle University Of Thessaloniki School Of Biology,2.0,AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY,2.0,,,ARGENTINA,2.0,Taylor & Francis,3.0,Life Sciences Biomedicine Other Topics,3.0,,,CENTRO UNIVERSITARIO VILA VELHA UVV,1.0,,
2014.0,4.0,,,"Charles-Dominique, P",3,Multidisciplinary Sciences,3.0,8.305 Paleontology,2.0,1.163.645 Fish Parasitology,1.0,,,,,UNIVERSITY OF ALBERTA,4.0,Duke University Department Of Evolutionary Anthropology,2.0,ANATOMICAL RECORD ADVANCES IN INTEGRATIVE ANATOMY AND EVOLUTIONARY BIOLOGY,2.0,,,COLOMBIA,2.0,Amer Soc Mammalogists,2.0,Physiology,3.0,,,CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFICAS Y TECNICAS CONICET,1.0,,
2013.0,1.0,,,"Lira, Paula",3,Physiology,3.0,1.163 Parasitology - General,1.0,1.255.1081 Microgravity Muscle Adaptation,1.0,,,,,AMERICAN MUSEUM OF NATURAL HISTORY AMNH,3.0,Australian Research Council Centre Of Excellence For Environmental Decisions,1.0,AUSTRAL ECOLOGY,2.0,,,GREECE,2.0,Natl Research Council Canada,2.0,Science Technology Other Topics,3.0,,,CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTFICO E TECNOLGICO,1.0,,
