Publication Years,Publication Years_Count,Document Types,Document Types_Count,Researcher Profiles,Researcher Profiles_Count,Web of Science Categories,Web of Science Categories_Count,Citation Topics Meso,Citation Topics Meso_Count,Citation Topics Micro,Citation Topics Micro_Count,Sustainable Development Goals,Sustainable Development Goals_Count,Web of Science Index,Web of Science Index_Count,Affiliations,Affiliations_Count,Affiliation with Department,Affiliation with Department_Count,Publication Titles,Publication Titles_Count,Languages,Languages_Count,Countries/Regions,Countries/Regions_Count,Publishers,Publishers_Count,Research Areas,Research Areas_Count,Open Access,Open Access_Count,Funding Agencies,Funding Agencies_Count,Conference Titles,Conference Titles_Count,Book Series Titles,Book Series Titles_Count,Editors,Editors_Count
2025.0,16.0,Article,456.0,"Jansen, Ana Maria",22,Parasitology,128.0,1.261 Parasitology - Trypanosoma & Leishmania,125.0,1.261.596 Trypanosoma Biology,99.0,03 Good Health And Well Being,349.0,Science Citation Index Expanded (SCI-EXPANDED),509.0,FUNDACAO OSWALDO CRUZ,70,Federal University Of Rio De Janeiro Health Sciences Centre,13,JOURNAL OF PARASITOLOGY,24,English,507.0,BRAZIL,176.0,Elsevier,104,Parasitology,128.0,All Open Access,168.0,CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO CNPQ,34,10TH INTERNATIONAL CONFERENCE ON TRICHINELLOSIS,1.0,Documenta Ophthalmologica Proceedings Series,1.0,Telleria J,2.0
2024.0,12.0,Note,29.0,"Perales, Jonas",17,Zoology,94.0,3.35 Zoology & Animal Ecology,88.0,3.35.721 Rodent Ecology,57.0,15 Life On Land,139.0,Emerging Sources Citation Index (ESCI),24.0,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,52,Central University Of Venezuela School Of Medicine,8,TOXICON,18,Spanish,19.0,USA,155.0,Wiley,56,Zoology,97.0,Gold,122.0,NATIONAL INSTITUTES OF HEALTH NIH USA,24,12TH WORLD CONGRESS ON ANIMAL PLANT AND MICROBIAL TOXINS,1.0,Elsevier Insights,1.0,Tibayrenc M,2.0
2023.0,14.0,Meeting Abstract,26.0,"Neves-Ferreira, Ana Gisele C.",16,Tropical Medicine,89.0,1.181 Molecular Toxicology,35.0,1.181.1079 Snake Venom Biochemistry,34.0,13 Climate Action,97.0,Social Sciences Citation Index (SSCI),11.0,UNIVERSIDADE DE SAO PAULO,31,The University Of The West Indies At Mona Faculty Of Medical Sciences,8,AMERICAN JOURNAL OF TROPICAL MEDICINE AND HYGIENE,17,Portuguese,7.0,COLOMBIA,54.0,Springer Nature,39,Tropical Medicine,89.0,Gold-Hybrid,13.0,UNITED STATES DEPARTMENT OF HEALTH HUMAN SERVICES,24,13TH SYMPOSIUM OF THE INTERNATIONAL RESEARCH GROUP ON COLOUR VISION DEFICIENCIES,1.0,,,Cavonius CR,1.0
2022.0,10.0,Review Article,21.0,"Domont, Gilberto Barbosa",14,Veterinary Sciences,54.0,1.5 Neuroscience,35.0,1.261.695 Leishmaniasis Dynamics,26.0,14 Life Below Water,31.0,Conference Proceedings Citation Index – Science (CPCI-S),8.0,UNIVERSIDAD DE ANTIOQUIA,26,The University Of The West Indies At St Augustine Faculty Of Medical Sciences,8,JOURNAL OF MAMMALOGY,14,French,5.0,VENEZUELA,40.0,Oxford Univ Press,22,Veterinary Sciences,54.0,Free to Read,20.0,COORDENACAO DE APERFEICOAMENTO DE PESSOAL DE NIVEL SUPERIOR CAPES,20,15TH CONGRESS OF THE BRAZILIAN SOCIETY OF TOXINOLOGY,1.0,,,Hailey A,1.0
2021.0,12.0,Proceeding Paper,7.0,"Herrera, Leidi",13,Public Environmental Occupational Health,48.0,1.163 Parasitology - General,32.0,8.93.805 Mammalia,23.0,02 Zero Hunger,4.0,Book Citation Index – Science (BKCI-S),3.0,UNIVERSITY OF CENTRAL VENEZUELA,26,The University Of The West Indies At St Augustine School Of Veterinary Medicine,8,JOURNAL OF COMPARATIVE NEUROLOGY,13,Russian,1.0,MEXICO,31.0,Amer Soc Trop Med & Hygiene,17,Public Environmental Occupational Health,48.0,Green Published,36.0,FUNDACAO CARLOS CHAGAS FILHO DE AMPARO A PESQUISA DO ESTADO DO RIO DE JANEIRO FAPERJ,13,4TH BRAIN RESEARCH INTERACTIVE SYMPOSIUM,1.0,,,Horrocks JA,1.0
2020.0,16.0,Letter,4.0,"Moussatche, H",11,Neurosciences,45.0,8.93 Archaeology,25.0,1.5.826 Neuronal Development,21.0,05 Gender Equality,4.0,Arts & Humanities Citation Index (A&HCI),2.0,UNIVERSITY SYSTEM OF OHIO,22,National Autonomous University Of Mexico Institute Of Biology,7,MEMORIAS DO INSTITUTO OSWALDO CRUZ,13,,,ENGLAND,27.0,Cambridge Univ Press,14,Neurosciences Neurology,46.0,Green Accepted,3.0,CONSEJO NACIONAL DE CIENCIA Y TECNOLOGIA CONACYT,10,5TH INTERNATIONAL SYMPOSIUM ON RADIOAUTOGRAPHY,1.0,,,Wilson BS,1.0
2019.0,16.0,Book Chapters,3.0,"Rocha-Miranda, CE",11,Anatomy Morphology,32.0,1.258 Zoonotic Diseases,24.0,1.163.645 Fish Parasitology,20.0,01 No Poverty,2.0,,,OHIO STATE UNIVERSITY,17,University Of Georgia College Of Veterinary Medicine,7,ACTA TROPICA,11,,,FRANCE,19.0,Taylor & Francis,12,Environmental Sciences Ecology,33.0,Green Submitted,73.0,FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE SAO PAULO FAPESP,10,SYMPOSIUM ON EVOLUTION OF NEUROBIOLOGICAL SPECIALIZATIONS IN MAMMALS HELD AT THE AMERICAN ASSOCIATION OF ANATOMISTS,1.0,,,,
2018.0,16.0,Book Review,2.0,"Martin, GF",11,Ecology,32.0,"1.217 Parasitology - Malaria, Toxoplasmosis & Coccidiosis",19.0,1.258.227 Tick-borne Pathogens,20.0,11 Sustainable Cities And Communities,1.0,,,UNIVERSITY WEST INDIES MONA JAMAICA,13,Central University Of Venezuela Institute Of Tropical Medicine,6,TRANSACTIONS OF THE ROYAL SOCIETY OF TROPICAL MEDICINE AND HYGIENE,10,,,GERMANY,13.0,Fundaco Oswaldo Cruz,11,Anatomy Morphology,32.0,,,NATIONAL SCIENCE FOUNDATION NSF,7,XIX ANNUAL MEETING OF THE FEDERACAO DE SOCIEDADES DE BIOLOGIA EXPERIMENTAL,1.0,,,,
2017.0,13.0,Data Paper,1.0,"Triana-Chavez, Omar",9,Infectious Diseases,30.0,3.64 Phylogenetics & Genomics,13.0,3.35.274 Wildlife Ecology,20.0,,,,,UNIVERSITY WEST INDIES SAINT AUGUSTINE,13,Universidade De Sao Paulo Departamento De Medicina Veterinaria Preventiva E Saude Animal,6,ANATOMICAL RECORD,9,,,TRINIDAD TOBAGO,13.0,AMER SOC PARASITOLOGISTS,10,Biochemistry Molecular Biology,31.0,,,NIH NATIONAL INSTITUTE OF ALLERGY INFECTIOUS DISEASES NIAID,7,,,,,,
2016.0,9.0,,,"Urdaneta-Morales, Servio",9,Biochemistry Molecular Biology,28.0,3.40 Forestry,10.0,1.217.1038 Toxoplasma Gondii,13.0,,,,,INSTITUTO EVANDRO CHAGAS,12,Universidade De Sao Paulo Faculdade De Medicina Veterinaria E Zootecnia,6,EXPERIMENTAL PARASITOLOGY,9,,,COSTA RICA,11.0,Mdpi,10,Infectious Diseases,30.0,,,DEPARTAMENTO ADMINISTRATIVO DE CIENCIA TECNOLOGIA E INNOVACION COLCIENCIAS,5,,,,,,
