Publication Years,Publication Years_Count,Document Types,Document Types_Count,Researcher Profiles,Researcher Profiles_Count,Web of Science Categories,Web of Science Categories_Count,Citation Topics Meso,Citation Topics Meso_Count,Citation Topics Micro,Citation Topics Micro_Count,Sustainable Development Goals,Sustainable Development Goals_Count,Web of Science Index,Web of Science Index_Count,Affiliations,Affiliations_Count,Affiliation with Department,Affiliation with Department_Count,Publication Titles,Publication Titles_Count,Languages,Languages_Count,Countries/Regions,Countries/Regions_Count,Publishers,Publishers_Count,Research Areas,Research Areas_Count,Open Access,Open Access_Count,Funding Agencies,Funding Agencies_Count,Conference Titles,Conference Titles_Count,Group Authors,Group Authors_Count,Book Series Titles,Book Series Titles_Count,Editors,Editors_Count
2025.0,14.0,Article,1092.0,"VandeBerg, JL",94,Zoology,314.0,3.35 Zoology & Animal Ecology,218.0,3.35.721 Rodent Ecology,208,03 Good Health And Well Being,863.0,Science Citation Index Expanded (SCI-EXPANDED),1298.0,UNIVERSITY OF MELBOURNE,121,The University Of Melbourne Faculty Of Science,68,JOURNAL OF COMPARATIVE NEUROLOGY,42,English,1322.0,USA,736.0,Elsevier,291,Zoology,314.0,All Open Access,397.0,UNITED STATES DEPARTMENT OF HEALTH HUMAN SERVICES,287,ANNUAL MEETING OF THE SOCIETY FOR INTEGRATIVE AND COMPARATIVE BIOLOGY SICB,4.0,BROAD INST GENOME SEQUENCING PLATF,1.0,Annual Review Of Genomics And Human Genetics,3.0,Deakin JE,6.0
2024.0,21.0,Review Article,104.0,"Saunders, Norman R.",57,Neurosciences,255.0,1.5 Neuroscience,111.0,1.82.875 Spinal Cord Injury,76,15 Life On Land,334.0,Conference Proceedings Citation Index – Science (CPCI-S),83.0,TEXAS BIOMEDICAL RESEARCH INSTITUTE,117,The University Of Melbourne School Of Biosciences,67,REPRODUCTION FERTILITY AND DEVELOPMENT,37,German,4.0,AUSTRALIA,336.0,Wiley,268,Neurosciences Neurology,257.0,Gold,136.0,NATIONAL INSTITUTES OF HEALTH NIH USA,283,SATELLITE SYMPOSIUM ON MARSUPIAL REPRODUCTION GAMETES FERTILIZATION AND EARLY DEVELOPMENT AT THE 6TH INTERNATIONAL THERIOLOGICAL CONGRESS,4.0,BROAD INST WHOLE GENOME ASSEMBLY,1.0,International Review Of Cytology A Survey Of Cell Biology,3.0,Graves JAM,6.0
2023.0,12.0,Meeting Abstract,85.0,"Ley, Ronald",56,Genetics Heredity,170.0,1.186 Chromosome Disorders,89.0,8.93.805 Mammalia,67,13 Climate Action,293.0,Social Sciences Citation Index (SSCI),29.0,UNIVERSITY SYSTEM OF OHIO,87,University Of New Mexico College Of Arts And Sciences,50,JOURNAL OF ANATOMY,33,Portuguese,3.0,GERMANY,98.0,Springer Nature,131,Genetics Heredity,170.0,Gold-Hybrid,37.0,NATIONAL SCIENCE FOUNDATION NSF,68,SYMPOSIUM ON MACROPODS,4.0,INT COMM NON IONIZING RADIATION PR,1.0,Annals Of The New York Academy Of Sciences Series,2.0,Waters PD,6.0
2022.0,23.0,Proceeding Paper,55.0,"Miller, Robert D.",44,Developmental Biology,167.0,1.6 Immunology,82.0,1.186.934 Sex Chromosome Variations,48,05 Gender Equality,9.0,Book Citation Index – Science (BKCI-S),19.0,UNIVERSITY OF TEXAS SYSTEM,69,University Of New Mexico Department Of Biology,50,DEVELOPMENTAL BRAIN RESEARCH,27,French,1.0,ENGLAND,94.0,Oxford Univ Press,63,Biochemistry Molecular Biology,167.0,Free to Read,132.0,NIH NATIONAL CENTER FOR RESEARCH RESOURCES NCRR,62,SYMPOSIUM ON MARSUPIALS AS MODELS FOR RESEARCH HELD AT THE 9TH INTERNATIONAL MAMMALOGICAL CONGRESS,4.0,MOUSE GENOME SEQUENCING CONSORTIUM,1.0,Current Topics In Developmental Biology,2.0,Coulson G,4.0
2021.0,19.0,Note,21.0,"RENFREE, MB",43,Biochemistry Molecular Biology,161.0,1.82 Gait & Posture,82.0,1.5.826 Neuronal Development,45,02 Zero Hunger,8.0,Emerging Sources Citation Index (ESCI),8.0,UNIVERSITY OF NEW MEXICO,67,The University Of Melbourne Faculty Of Medicine Dentistry And Health Sciences,35,PHOTOCHEMISTRY AND PHOTOBIOLOGY,24,Russian,1.0,BRAZIL,66.0,Karger,47,Developmental Biology,167.0,Green Published,83.0,NIH NATIONAL INSTITUTE OF NEUROLOGICAL DISORDERS STROKE NINDS,48,69TH ANNUAL MEETING OF THE SOCIETY FOR DEVELOPMENTAL BIOLOGY JAPANESE SOCIETY OF DEVELOPMENTAL BIOLOGISTS,3.0,NFS,1.0,Advances In Experimental Medicine And Biology,1.0,Eldridge M,4.0
2020.0,19.0,Book Chapters,19.0,"Fadem, Barbara",40,Anatomy Morphology,137.0,8.93 Archaeology,67.0,3.220.701 Olfactory Systems,43,14 Life Below Water,4.0,Conference Proceedings Citation Index – Social Science & Humanities (CPCI-SSH),1.0,UNIVERSITY OF CALIFORNIA SYSTEM,54,The University Of Melbourne School Of Biomedical Sciences,34,BIOLOGY OF REPRODUCTION,23,,,SWITZERLAND,54.0,Csiro Publishing,32,Anatomy Morphology,137.0,Green Accepted,33.0,AUSTRALIAN RESEARCH COUNCIL,38,2ND JOINT SYMPOSIUM OF THE NATIONAL AND INTERNATIONAL NEUROTRAUMA SOCIETIES,2.0,,,Alfred Benzon Symposium Series,1.0,Jeon KW,3.0
2019.0,13.0,Editorial Material,7.0,"Dziegielewska, Katarzyna M.",39,Reproductive Biology,98.0,1.158 Dermatology - General,47.0,1.152.251 Nucleotide Excision Repair,40,06 Clean Water And Sanitation,1.0,,,LOVELACE RESPIRATORY RESEARCH INSTITUTE,42,The University Of Melbourne Department Of Biochemistry And Pharmacology,30,DEVELOPMENTAL AND COMPARATIVE IMMUNOLOGY,22,,,CANADA,44.0,Cambridge Univ Press,30,Reproductive Biology,98.0,Green Submitted,158.0,NIH EUNICE KENNEDY SHRIVER NATIONAL INSTITUTE OF CHILD HEALTH HUMAN DEVELOPMENT NICHD,35,68TH ANNUAL MEETING OF THE SOCIETY FOR DEVELOPMENTAL BIOLOGY,2.0,,,Cancer Drug Discovery And Development,1.0,Kaushik AK,2.0
2018.0,28.0,Letter,6.0,"Samollow, Paul B.",35,Veterinary Sciences,96.0,1.81 Reproductive Biology,45.0,1.6.452 Somatic Hypermutation,37,,,,,RUTGERS UNIVERSITY BIOMEDICAL HEALTH SCIENCES,41,The University Of Sydney Faculty Of Science,30,EUROPEAN JOURNAL OF NEUROSCIENCE,19,,,FRANCE,29.0,Amer Assoc Laboratory Animal Science,27,Veterinary Sciences,96.0,,,CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO CNPQ,33,6TH INTERNATIONAL CONGRESS OF VERTEBRATE MORPHOLOGY,2.0,,,Chemical Signals In Vertebrates,1.0,Mullerschwarze D,2.0
2017.0,35.0,Correction,3.0,"Selwood, Lynne",32,Cell Biology,91.0,3.220 Smell & Taste Science,44.0,1.158.201 Melanoma Research,35,,,,,RUTGERS UNIVERSITY NEW BRUNSWICK,41,Rutgers New Jersey Medical School,25,JOURNAL OF MORPHOLOGY,18,,,SCOTLAND,28.0,Public Library Science,23,Cell Biology,91.0,,,NIH NATIONAL CANCER INSTITUTE NCI,29,ANNUAL MEETING OF THE AMERICAN ASSOCIATION OF IMMUNOLOGISTS AAI,2.0,,,Courier Forschungsinstitut Senckenberg Series,1.0,Nilsenhamilton M,2.0
2016.0,25.0,Early Access,2.0,"Belov, Katherine",32,Immunology,82.0,1.152 Molecular & Cell Biology - Dna Damage,42.0,1.186.670 Chromosomal Evolution,28,,,,,RUTGERS UNIVERSITY SYSTEM,41,Texas A M University College Of Veterinary Medicine Biomedical Sciences,25,PLOS ONE,18,,,POLAND,27.0,Taylor & Francis,18,Immunology,82.0,,,NIH NATIONAL INSTITUTE ON DEAFNESS OTHER COMMUNICATION DISORDERS NIDCD,29,ANNUAL MEETING OF THE SOCIETY FOR INTEGRATIVE AND COMPARATIVE BIOLOGY,2.0,,,Handbook Of Zoology,1.0,Pasman Y,2.0
2015.0,22.0,Retracted Publication,1.0,Leah A. Krubitzer,26,Evolutionary Biology,63.0,1.54 Molecular & Cell Biology - Genetics,41.0,1.239.1358 Blood-brain Barrier,26,,,,,UNIVERSITY OF SYDNEY,41,Texas A M University Department Of Veterinary Integrative Biosciences,25,IMMUNOGENETICS,17,,,SWEDEN,27.0,C S I R O PUBLICATIONS,17,Evolutionary Biology,63.0,,,WELLCOME TRUST,28,EXPERIMENTAL BIOLOGY MEETING,2.0,,,Methods In Molecular Biology,1.0,Asher RJ,1.0
2014.0,44.0,,,"JACOBSON, C",25,Biology,62.0,3.64 Phylogenetics & Genomics,29.0,1.108.207 Neural Crest,23,,,,,IOWA STATE UNIVERSITY,35,University Of California Davis Center For Neuroscience,25,ANATOMICAL RECORD ADVANCES IN INTEGRATIVE ANATOMY AND EVOLUTIONARY BIOLOGY,16,,,JAPAN,26.0,AMER SOC PHOTOBIOLOGY,14,Life Sciences Biomedicine Other Topics,62.0,,,EUROPEAN UNION EU,20,SYMPOSIUM ON FUNCTIONAL MORPHOLOGY OF THE REPTILIAN FIVE CHAMBERED HEART HELD AT THE 7TH INTERNATIONAL CONGRESS OF VERTEBRATE MORPHOLOGY,2.0,,,Nato Advanced Science Institutes Series Series A Life Sciences,1.0,Bornman JF,1.0
2013.0,24.0,,,"Nicholls, John",25,Behavioral Sciences,56.0,1.239 Tissue Barriers,27.0,1.150.421 Auditory Disorders,22,,,,,UNIVERSITY OF TASMANIA,35,University Of New Mexico Center For Evolutionary And Theoretical Immunology,23,HORMONES AND BEHAVIOR,15,,,ITALY,21.0,Frontiers Media Sa,14,Behavioral Sciences,56.0,,,COORDENACAO DE APERFEICOAMENTO DE PESSOAL DE NIVEL SUPERIOR CAPES,18,10TH INTERNATIONAL CONGRESS ON PHOTOBIOLOGY,1.0,,,Nato Science Series Iv Earth And Environmental Sciences,1.0,Checcucci G,1.0
