Publication Years,Publication Years_Count,Document Types,Document Types_Count,Researcher Profiles,Researcher Profiles_Count,Web of Science Categories,Web of Science Categories_Count,Citation Topics Meso,Citation Topics Meso_Count,Citation Topics Micro,Citation Topics Micro_Count,Sustainable Development Goals,Sustainable Development Goals_Count,Web of Science Index,Web of Science Index_Count,Affiliations,Affiliations_Count,Affiliation with Department,Affiliation with Department_Count,Publication Titles,Publication Titles_Count,Languages,Languages_Count,Countries/Regions,Countries/Regions_Count,Publishers,Publishers_Count,Research Areas,Research Areas_Count,Open Access,Open Access_Count,Funding Agencies,Funding Agencies_Count,Group Authors,Group Authors_Count,Book Series Titles,Book Series Titles_Count,Editors,Editors_Count
2022.0,1.0,Article,43.0,"dos Reis, Sergio",10,Zoology,16.0,3.35 Zoology & Animal Ecology,19.0,3.35.721 Rodent Ecology,15.0,15 Life On Land,36.0,Science Citation Index Expanded (SCI-EXPANDED),45.0,UNIVERSIDADE DE SAO PAULO,19,Federal University Of Lavras Department Of Biology,5.0,MAMMALIAN BIOLOGY,5.0,English,43.0,BRAZIL,43.0,Wiley,7.0,Zoology,16.0,All Open Access,17.0,CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO CNPQ,23.0,MOL ECOL RESOURCES,1.0,Serie Livros Do Museu Nacional,1.0,Pessoa LM,1.0
2021.0,1.0,Editorial Material,3.0,"Bonato, Vinicius",7,Ecology,15.0,3.40 Forestry,7.0,3.40.195 Biodiversity Conservation,7.0,13 Climate Action,27.0,Book Citation Index – Science (BKCI-S),2.0,UNIVERSIDADE ESTADUAL DE CAMPINAS,14,Federal University Of Rio De Janeiro Health Sciences Centre,5.0,JOURNAL OF TROPICAL ECOLOGY,3.0,Portuguese,4.0,GERMANY,5.0,Springer Nature,6.0,Environmental Sciences Ecology,15.0,Gold,12.0,FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE SAO PAULO FAPESP,11.0,,,,,Siciliano S,1.0
2020.0,2.0,Book Chapters,2.0,"Püttker, Thomas",6,Biodiversity Conservation,7.0,3.64 Phylogenetics & Genomics,6.0,3.64.34 Phylogenetic Relationships,5.0,14 Life Below Water,11.0,,,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,6,Federal University Of Rio De Janeiro Institute Of Biology,5.0,ANAIS DA ACADEMIA BRASILEIRA DE CIENCIAS,2.0,,,USA,5.0,Cambridge Univ Press,3.0,Biodiversity Conservation,7.0,Gold-Hybrid,1.0,COORDENACAO DE APERFEICOAMENTO DE PESSOAL DE NIVEL SUPERIOR CAPES,10.0,,,,,Tavares WE,1.0
2019.0,2.0,Review Article,1.0,"Martins, EG",6,Biology,5.0,8.93 Archaeology,6.0,8.93.805 Mammalia,3.0,03 Good Health And Well Being,6.0,,,LEIBNIZ INSTITUT FUR ZOO UND WILDTIERFORSCHUNG,5,Federal University Of Rio De Janeiro Department Of Ecology,4.0,AUSTRAL ECOLOGY,2.0,,,ARGENTINA,3.0,Oxford Univ Press,3.0,Evolutionary Biology,5.0,Free to Read,2.0,FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE MINAS GERAIS FAPEMIG,3.0,,,,,,
2016.0,1.0,,,"Sommer, Simone",5,Evolutionary Biology,5.0,1.186 Chromosome Disorders,2.0,1.186.670 Chromosomal Evolution,2.0,,,,,UNIVERSIDADE ESTADUAL PAULISTA,5,Federal University Of Rio De Janeiro Forum Of Science And Culture,2.0,BIOSCIENCE JOURNAL,2.0,,,PORTUGAL,3.0,Taylor & Francis,3.0,Genetics Heredity,5.0,Green Published,4.0,FEDERAL MINISTRY OF EDUCATION RESEARCH BMBF,2.0,,,,,,
2015.0,5.0,,,Eduardo G. Martins,4,Genetics Heredity,5.0,1.6 Immunology,2.0,1.6.607 Mhc Diversity,2.0,,,,,UNIVERSIDADE FEDERAL DE LAVRAS,5,Museu Nacional Ufrj,2.0,BIOTA NEOTROPICA,2.0,,,CANADA,2.0,Acad Brasileira De Ciencias,2.0,Life Sciences Biomedicine Other Topics,5.0,Green Submitted,10.0,FUNDACAO CARLOS CHAGAS FILHO DE AMPARO A PESQUISA DO ESTADO DO RIO DE JANEIRO FAPERJ,2.0,,,,,,
2014.0,1.0,,,"Passamani, Marcelo",4,Multidisciplinary Sciences,4.0,1.163 Parasitology - General,1.0,3.35.1587 Chiroptera,2.0,,,,,CENTRO REG UNIV ESPIRITO SANTO DO PINHAL,4,Universidade De Sao Paulo Departamento De Ecologia,2.0,JOURNAL OF MAMMALOGY,2.0,,,AUSTRALIA,1.0,Elsevier,2.0,Science Technology Other Topics,4.0,,,ALEXANDER VON HUMBOLDT FOUNDATION,1.0,,,,,,
2013.0,4.0,,,"Pardini, Renata",4,Agriculture Multidisciplinary,2.0,1.197 Molecular & Cell Biology - Mitochondria,1.0,8.93.1193 Stable Isotopes,2.0,,,,,UNIVERSIDADE DE BRASILIA,4,Universidade De Sao Paulo Escola Superior De Agricultura Luiz De Queiroz,2.0,JOURNAL OF NATURAL HISTORY,2.0,,,AUSTRIA,1.0,KLUWER ACADEMIC PUBL,2.0,Agriculture,2.0,,,AMERICAN SOCIETY OF MAMMALOGISTS,1.0,,,,,,
2011.0,6.0,,,"Da-Silva, Cibele Q",3,Agronomy,2.0,"1.217 Parasitology - Malaria, Toxoplasmosis & Coccidiosis",1.0,1.163.645 Fish Parasitology,1.0,,,,,UNIVERSIDADE FEDERAL DO ESPIRITO SANTO,3,Universidade De Sao Paulo Instituto De Biociencias,2.0,MAMMALIA,2.0,,,FRANCE,1.0,Public Library Science,2.0,Biochemistry Molecular Biology,2.0,,,BRASILEIRO DO MEIO AMBIENTE E DOS RECURSOS RENOVAVEIS,1.0,,,,,,
2010.0,4.0,,,"Araujo, Marcio",3,Biochemistry Molecular Biology,2.0,3.220 Smell & Taste Science,1.0,1.197.957 Mitochondrial Atp Synthase,1.0,,,,,UNIVERSITY OF CALIFORNIA SYSTEM,3,Carleton University Department Of Biology,1.0,PLOS ONE,2.0,,,INDIA,1.0,Revista Biota Neotropica,2.0,Cell Biology,1.0,,,CENTRO UNIVERSITARIO VILA VELHA UVV,1.0,,,,,,
2009.0,4.0,,,"Cruz, Leonardo Dominici",3,Cell Biology,1.0,3.32 Entomology,1.0,1.217.1038 Toxoplasma Gondii,1.0,,,,,FUNDACAO OSWALDO CRUZ,2,Carleton University Faculty Of Science,1.0,ACTA THERIOLOGICA,1.0,,,IRELAND,1.0,Univ Federal Uberlandia,2.0,Entomology,1.0,,,CNPQ CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO BMBF GERMAN FEDERAL MINISTRY OF EDUCATION AND RESEARCH,1.0,,,,,,
2008.0,5.0,,,"Fernandes, Fernanda Rodrigues",3,Entomology,1.0,,,3.220.1242 Taste Perception,1.0,,,,,NATIONAL UNIVERSITY OF LA PLATA,2,Carleton University Institute Of Environmental Science,1.0,BIOLOGY LETTERS,1.0,,,JAPAN,1.0,Walter De Gruyter,2.0,Forestry,1.0,,,CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFICAS Y TECNICAS CONICET,1.0,,,,,,
2007.0,1.0,,,"Meyer-Lucht, Yvonne",3,Forestry,1.0,,,3.32.1638 Forensic Entomology,1.0,,,,,UNIVERSIDADE LUTERANA DO BRASIL,2,Cena,1.0,BIOTROPICA,1.0,,,MALAYSIA,1.0,Biol Soc Washington,1.0,Mathematics,1.0,,,CRITICAL ECOSYSTEM PARTNERSHIP FUND CEPF,1.0,,,,,,
2006.0,5.0,,,"Delciellos, Ana Cláudia",3,Parasitology,1.0,,,3.35.274 Wildlife Ecology,1.0,,,,,UNIVERSITY OF CALIFORNIA BERKELEY,2,Cornell University College Of Arts And Sciences,1.0,BMC GENETICS,1.0,,,NORTH IRELAND,1.0,Brazilian Coll Veterinary Parasitology,1.0,Parasitology,1.0,,,FACEPE MSC,1.0,,,,,,
2004.0,1.0,,,Marcus Vieira,3,Plant Sciences,1.0,,,3.35.33 Avian Ecology,1.0,,,,,UNIVERSITY OF HAMBURG,2,Cornell University Department Of Ecology And Evolutionary Biology,1.0,COMMUNICATIONS IN STATISTICS SIMULATION AND COMPUTATION,1.0,,,PEOPLES R CHINA,1.0,Hindawi Publishing Group,1.0,Plant Sciences,1.0,,,FACEPE PIBIC,1.0,,,,,,
2003.0,2.0,,,"Leite, Yuri L. R.",3,Statistics Probability,1.0,,,3.64.71 Genetic Diversity,1.0,,,,,AMERICAN MUSEUM OF NATURAL HISTORY AMNH,1,Dalhousie University Department Of Biology,1.0,CONSERVATION GENETICS,1.0,,,SCOTLAND,1.0,Johns Hopkins Univ Press,1.0,Veterinary Sciences,1.0,,,FUJB,1.0,,,,,,
2000.0,1.0,,,"Vieira, Emerson Monteiro",3,Veterinary Sciences,1.0,,,8.93.8 Holocene,1.0,,,,,ARC CENTRE OF EXCELLENCE FOR CORAL REEF STUDIES,1,Dalhousie University Faculty Of Science,1.0,ECOLOGICAL RESEARCH,1.0,,,SPAIN,1.0,Magnolia Press,1.0,,,,,FUNDACAO BIODIVERSITAS,1.0,,,,,,
1999.0,1.0,,,"Linhares, Aricio Xavier",2,,,,,,,,,,,BOKU UNIVERSITY,1,East China Normal University School Of Life Sciences,1.0,GENETICA,1.0,,,SWEDEN,1.0,Museu Nacional-Univ Federal Do Rio De Janeiro,1.0,,,,,FUNDACAO CAPES,1.0,,,,,,
,,,,"Barros, Camila",2,,,,,,,,,,,BOT GARDENS TRUST,1,Federal University Of Pernambuco Department Of Zoology,1.0,GENETICS AND MOLECULAR BIOLOGY,1.0,,,TAIWAN,1.0,Polish Acad Sciences,1.0,,,,,FUNDACAO CARLOS CHACAS FILHO DE AMPRAO A PESQUISA DO ESTADO DO RIO DE JANEIRO,1.0,,,,,,
,,,,"Otten, Celine",2,,,,,,,,,,,CAIPORA COOPERAT CONSERVACAO NAT,1,Federal University Of Pernambuco Life Sciences Center,1.0,GLOBAL ECOLOGY AND CONSERVATION,1.0,,,WALES,1.0,Royal Soc London,1.0,,,,,FUNDACAO DE AMPARO A CIENCIA E TECNOLOGIA DO ESTADO DE PERNAMBUCO FACEPE,1.0,,,,,,
,,,,"Costa, Leonora Pires",2,,,,,,,,,,,CARDIFF UNIVERSITY,1,Federal University Of Rio De Janeiro Department Of Genetics,1.0,JOURNAL OF HEREDITY,1.0,,,,,Soc Brasil Genetica,1.0,,,,,FUNDACAO DE AMPARO A PESQUISA DO ESTADO DA BAHIA FAPESB,1.0,,,,,,
,,,,"Rocha, Rita Gomes",2,,,,,,,,,,,CARLETON UNIVERSITY,1,Ifgw,1.0,JOURNAL OF ZOOLOGICAL SYSTEMATICS AND EVOLUTIONARY RESEARCH,1.0,,,,,Soc Brasileira Entomologia,1.0,,,,,FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE ESPIRITU SANTO FAPES,1.0,,,,,,
,,,,"Christoff, Alexandre Uarth",2,,,,,,,,,,,CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE CNRS,1,Iowa State University College Of Agriculture And Life Sciences,1.0,JOURNAL OF ZOOLOGY,1.0,,,,,Wiley-Hindawi,1.0,,,,,FUNDACAO DE APOIO A PESQUISA DO DISTRITO FEDERAL FAPDF,1.0,,,,,,
,,,,"Abreu, Maury S. L.",2,,,,,,,,,,,CHINESE ACADEMY OF SCIENCES,1,Iowa State University Department Of Ecology Evolution And Organismal Biology,1.0,MAMIFEROS DE RESTINGAS E MANGUEAIS DO BRASIL,1.0,,,,,,,,,,,FUNDACAO DE APOIO CIENCIA E TECNOLOGIA DO ESPIRITO SANTO FAPES,1.0,,,,,,
,,,,"Henning, Barbara",1,,,,,,,,,,,CHINESE UNIVERSITY OF HONG KONG,1,Iowa State University Department Of Natural Resource Ecology And Management,1.0,MAMMALS OF THE SALT MARSHES AND MANGROVES OF BRAZIL,1.0,,,,,,,,,,,FUNDACAO ESTADUAL DE AMPARO A PESQUISA DO ESTADO DO ESPIRITO SANTO,1.0,,,,,,
,,,,"Murray, Tomás E",1,,,,,,,,,,,CICYITP CONICET PROV ER UADER,1,James Cook University College Of Science And Engineering,1.0,MOLECULAR ECOLOGY RESOURCES,1.0,,,,,,,,,,,FUNDACAO PARA A CIENCIA E A TECNOLOGIA FCT,1.0,,,,,,
,,,,"Fernandez, Fernando A. S.",1,,,,,,,,,,,CNRS INSTITUTE OF ECOLOGY ENVIRONMENT INEE,1,James Cook University Marine Biology And Aquaculture At Jcu,1.0,OIKOS,1.0,,,,,,,,,,,FUNDACAO UNIVERSITA JOSE BONIFACIO,1.0,,,,,,
,,,,"Hartmann, Marilia T",1,,,,,,,,,,,COLLEGE OF FISHERIES MANGALORE,1,Kansas State University College Of Arts And Sciences,1.0,OPOSSUMS,1.0,,,,,,,,,,,FUNDAÇÃO PARA A CIÊNCIA E A TECNOLOGIA,1.0,,,,,,
,,,,"Vergara, Pablo",1,,,,,,,,,,,COLUMBIA RIVER INTERTRIBAL FISH COMMISS,1,Kansas State University Division Of Biology,1.0,OXIDATIVE MEDICINE AND CELLULAR LONGEVITY,1.0,,,,,,,,,,,FUNDO DE AMPARO A PESQUISA DO RIO GRANDE DO SUL FAPERGS,1.0,,,,,,
