Publication Years,Publication Years_Count,Document Types,Document Types_Count,Researcher Profiles,Researcher Profiles_Count,Web of Science Categories,Web of Science Categories_Count,Citation Topics Meso,Citation Topics Meso_Count,Citation Topics Micro,Citation Topics Micro_Count,Sustainable Development Goals,Sustainable Development Goals_Count,Web of Science Index,Web of Science Index_Count,Affiliations,Affiliations_Count,Affiliation with Department,Affiliation with Department_Count,Publication Titles,Publication Titles_Count,Languages,Languages_Count,Countries/Regions,Countries/Regions_Count,Publishers,Publishers_Count,Research Areas,Research Areas_Count,Open Access,Open Access_Count,Funding Agencies,Funding Agencies_Count
2025.0,1.0,Article,12.0,"Scheibel, Raymond Philip",2,Zoology,5.0,3.64 Phylogenetics & Genomics,3.0,1.163.645 Fish Parasitology,2.0,03 Good Health And Well Being,6.0,Science Citation Index Expanded (SCI-EXPANDED),12.0,CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE CNRS,2.0,Southern Illinois University Carbondale College Of Science,2.0,COMPARATIVE PARASITOLOGY,1.0,English,12.0,BRAZIL,10.0,Mdpi,3.0,Zoology,5.0,All Open Access,5.0,COORDENACAO DE APERFEICOAMENTO DE PESSOAL DE NIVEL SUPERIOR CAPES,5.0
2024.0,1.0,,,"Filho, Manoel Santos",2,Parasitology,4.0,1.163 Parasitology - General,2.0,1.217.1890 Coccidiosis,2.0,15 Life On Land,5.0,,,CNRS INSTITUTE OF ECOLOGY ENVIRONMENT INEE,2.0,Southern Illinois University Department Of Zoology,2.0,EVOLUTIONARY ECOLOGY,1.0,,,FRANCE,2.0,Springer Nature,2.0,Parasitology,4.0,Gold,4.0,INSTITUT PASTEUR DE CAYENNE,2.0
2022.0,4.0,,,"Jimenez, Francisco",2,Ecology,1.0,"1.217 Parasitology - Malaria, Toxoplasmosis & Coccidiosis",2.0,3.64.34 Phylogenetic Relationships,2.0,14 Life Below Water,3.0,,,INST PESQUISAS CIENT TECNOL ESTADO AMAPA,2.0,State University Of Santa Cruz Collegiate Of Biomedicine,1.0,FOLIA PARASITOLOGICA,1.0,,,USA,2.0,Brazilian Coll Veterinary Parasitology,1.0,Environmental Sciences Ecology,1.0,Free to Read,1.0,BRAZILIAN MINISTRY OF EDUCATION CAPES MASTER S OF SCIENCE STUDENTSHIP,1.0
2019.0,2.0,,,"Catzeflis, Francois",2,Evolutionary Biology,1.0,3.35 Zoology & Animal Ecology,2.0,1.104.568 Viral Disease Dynamics,1.0,13 Climate Action,2.0,,,SOUTHERN ILLINOIS UNIVERSITY,2.0,State University Of Santa Cruz Department Of Biological Sciences,1.0,FOLIA PRIMATOLOGICA,1.0,,,PORTUGAL,1.0,Brill,1.0,Evolutionary Biology,1.0,Green Submitted,4.0,BRAZILIAN SOCIETY FOR THE STUDY OF CHIROPTERANS SBEQ,1.0
2018.0,1.0,,,"Berto, Bruno P",2,Genetics Heredity,1.0,1.104 Virology - General,1.0,1.261.596 Trypanosoma Biology,1.0,,,,,SOUTHERN ILLINOIS UNIVERSITY SYSTEM,2.0,University Of Aveiro Department Of Biology,1.0,MAMMALIA,1.0,,,SPAIN,1.0,Folia Parasitologica,1.0,Genetics Heredity,1.0,,,CESAM CENTRE FOR ENVIRONMENTAL AND MARINE STUDIES,1.0
2014.0,2.0,,,"Vieira, Thiago Bernardi",1,Microbiology,1.0,1.261 Parasitology - Trypanosoma & Leishmania,1.0,3.35.1587 Chiroptera,1.0,,,,,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,2.0,University Of Lisbon Centre For Environmental And Marine Studies,1.0,MICROORGANISMS,1.0,,,,,Helminthological Soc Washington,1.0,Microbiology,1.0,,,CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTFICO E TECNOLGICO,1.0
2013.0,1.0,,,"Ferreira, Daniela C",1,Multidisciplinary Sciences,1.0,3.40 Forestry,1.0,3.35.274 Wildlife Ecology,1.0,,,,,UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO UFRRJ,2.0,University Of Lisbon Faculty Of Sciences,1.0,REVISTA BRASILEIRA DE PARASITOLOGIA VETERINARIA,1.0,,,,,Oxford Univ Press,1.0,Science Technology Other Topics,1.0,,,FACULTY SEED GRANTS PROGRAM SIU CARBONDALE,1.0
,,,,"Ludwig, Gabriela",1,Veterinary Sciences,1.0,,,3.40.195 Biodiversity Conservation,1.0,,,,,UNIVERSITE DE MONTPELLIER,2.0,,,STUDIES ON NEOTROPICAL FAUNA AND ENVIRONMENT,1.0,,,,,Taylor & Francis,1.0,Veterinary Sciences,1.0,,,FACULTY SEED GRANTS SIU CARBONDALE,1.0
,,,,"Ribeiro Cruz, Ana Cecilia",1,Virology,1.0,,,3.64.864 Evolutionary Dynamics,1.0,,,,,AUTONOMOUS UNIVERSITY OF BARCELONA,1.0,,,SYMMETRY BASEL,1.0,,,,,Walter De Gruyter,1.0,Virology,1.0,,,FUNDACAO CARLOS CHAGAS FILHO DE AMPARO A PESQUISA DO ESTADO DO RIO DE JANEIRO FAPERJ,1.0
,,,,"MIRANDA, CL",1,,,,,,,,,,,CTR NACL PESQUISA CONSERVACAO PRIMATAS BRASILEI,1.0,,,SYSTEMATIC PARASITOLOGY,1.0,,,,,,,,,,,FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE MATO GROSSO FAPEMAT,1.0
,,,,"Alvarez, Martín R",1,,,,,,,,,,,FUNDACAO OSWALDO CRUZ,1.0,,,VIRUSES BASEL,1.0,,,,,,,,,,,FUNDACAO PARA A CIENCIA E A TECNOLOGIA FCT,1.0
,,,,"Anciaes, Marina",1,,,,,,,,,,,FUNDACAO UNIVERSIDADE FEDERAL DO AMAPA,1.0,,,ZOOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,1.0,,,,,,,,,,,GRADUATE PROGRAM IN ZOOLOGY AT THE FEDERAL UNIVERSITY OF MATO GROSSO PPGZOO UFMT,1.0
,,,,"Fonseca, Adivaldo H",1,,,,,,,,,,,GRANOLLERS MUSEUM NAT SCI,1.0,,,,,,,,,,,,,,,NATIONAL CENTRE FOR RESEARCH AND CONSERVATION OF BRAZILIAN PRIMATES CENTRO NACIONAL DE PESQUISA E CONSERVACAO DE PRIMATAS BRASILEIROS ICMBIO CPB,1.0
,,,,"Rossi, Rogerio V",1,,,,,,,,,,,INST JURUA,1.0,,,,,,,,,,,,,,,PROGRAMA DE DESENVOLVIMENTO DA POSGRADUACAO PDPG PARCERIAS ESTRATEGICAS NOS ESTADOS,1.0
,,,,"Sales, Kamila Gaudencio da Silva",1,,,,,,,,,,,INSTITUT DE RECHERCHE POUR LE DEVELOPPEMENT IRD,1.0,,,,,,,,,,,,,,,,
,,,,"Machado, Arielli F.",1,,,,,,,,,,,INSTITUTE NACIONAL DE PESQUISAS DA AMAZONIA,1.0,,,,,,,,,,,,,,,,
,,,,"Farias, Izeni Pires",1,,,,,,,,,,,INSTITUTO EVANDRO CHAGAS,1.0,,,,,,,,,,,,,,,,
,,,,"Nunes, Mario S",1,,,,,,,,,,,UNIV ESTADO MATO GROSO UNEMAT,1.0,,,,,,,,,,,,,,,,
,,,,"Azevedo, Josue Anderson Rego",1,,,,,,,,,,,UNIV FED,1.0,,,,,,,,,,,,,,,,
,,,,"Silva, Claudia Regina",1,,,,,,,,,,,UNIVERSIDADE DE AVEIRO,1.0,,,,,,,,,,,,,,,,
,,,,"Silva, L. G.",1,,,,,,,,,,,UNIVERSIDADE DE LISBOA,1.0,,,,,,,,,,,,,,,,
,,,,"Fehlberg, Hllytchaikra Ferraz",1,,,,,,,,,,,UNIVERSIDADE DO ESTADO DE MATO GROSSO,1.0,,,,,,,,,,,,,,,,
,,,,"Teixeira, Washington L. E.",1,,,,,,,,,,,UNIVERSIDADE DO ESTADO DO PARA UEPA,1.0,,,,,,,,,,,,,,,,
,,,,"Pecanha, Willian Thomaz",1,,,,,,,,,,,UNIVERSIDADE ESTADUAL DE SANTA CRUZ,1.0,,,,,,,,,,,,,,,,
,,,,"PESSOA, LM",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DE AMAZONAS,1.0,,,,,,,,,,,,,,,,
,,,,"Vasconcelos, Pedro",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DE MATO GROSSO,1.0,,,,,,,,,,,,,,,,
,,,,"Duarte Ritter, CAMILA",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DE SERGIPE,1.0,,,,,,,,,,,,,,,,
,,,,"Muñoz Muñoz, Francesc",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DO PARA,1.0,,,,,,,,,,,,,,,,
,,,,"Silva, Claudia",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"VIANA, LUCIO",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dantas-Torres, Filipe",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Casagrande, Alexandre Faustino",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Byles, Beth",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"da Luz Mathias, Maria",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Beltrão-Mendes, Raone",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dias Cordeiro, Matheus",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Gabriel, Sofia I",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Brito Junior, Pedro de Alcantara",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
