Publication Years,Publication Years_Count,Document Types,Document Types_Count,Researcher Profiles,Researcher Profiles_Count,Web of Science Categories,Web of Science Categories_Count,Citation Topics Meso,Citation Topics Meso_Count,Citation Topics Micro,Citation Topics Micro_Count,Sustainable Development Goals,Sustainable Development Goals_Count,Web of Science Index,Web of Science Index_Count,Affiliations,Affiliations_Count,Affiliation with Department,Affiliation with Department_Count,Publication Titles,Publication Titles_Count,Languages,Languages_Count,Countries/Regions,Countries/Regions_Count,Publishers,Publishers_Count,Research Areas,Research Areas_Count,Open Access,Open Access_Count,Funding Agencies,Funding Agencies_Count
2025.0,3.0,Article,37.0,"Hannibal, Wellington",4,Zoology,14.0,3.35 Zoology & Animal Ecology,7.0,1.186.670 Chromosomal Evolution,6.0,15 Life On Land,24.0,Science Citation Index Expanded (SCI-EXPANDED),37.0,CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE CNRS,8.0,Federal University Of Santa Maria Centre For Natural And Exact Sciences,2.0,MAMMALIA,3.0,English,34.0,BRAZIL,23.0,Wiley,7.0,Zoology,14.0,All Open Access,14.0,CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO CNPQ,10.0
2022.0,2.0,Early Access,2.0,"Alvarez, Martín R",3,Genetics Heredity,7.0,1.186 Chromosome Disorders,6.0,3.35.721 Rodent Ecology,5.0,13 Climate Action,13.0,,,UNIVERSIDADE ESTADUAL DE SANTA CRUZ,5.0,Southern Illinois University Carbondale College Of Science,2.0,BIOTROPICA,2.0,French,1.0,FRANCE,9.0,Oxford Univ Press,3.0,Genetics Heredity,7.0,Gold,10.0,COORDENACAO DE APERFEICOAMENTO DE PESSOAL DE NIVEL SUPERIOR CAPES,7.0
2021.0,3.0,,,"Cassano, Camila R",3,Parasitology,6.0,8.93 Archaeology,5.0,8.93.805 Mammalia,5.0,03 Good Health And Well Being,11.0,,,CNRS INSTITUTE OF ECOLOGY ENVIRONMENT INEE,4.0,Southern Illinois University Department Of Zoology,2.0,GENETICS AND MOLECULAR BIOLOGY,2.0,Portuguese,1.0,USA,6.0,Soc Brasil Genetica,3.0,Parasitology,6.0,Gold-Hybrid,1.0,FUNDACAO DE APOIO A PESQUISA DO DISTRITO FEDERAL FAPDF,3.0
2020.0,2.0,,,"Mattevi, Margarete S.",2,Ecology,5.0,3.64 Phylogenetics & Genomics,4.0,3.64.34 Phylogenetic Relationships,4.0,14 Life Below Water,4.0,,,MUSEUM NATIONAL D HISTOIRE NATURELLE MNHN,4.0,State University Of Santa Cruz Collegiate Of Biomedicine,2.0,JOURNAL OF MAMMALOGY,2.0,Spanish,1.0,ARGENTINA,2.0,Springer Nature,3.0,Environmental Sciences Ecology,5.0,Free to Read,2.0,FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE SAO PAULO FAPESP,2.0
2019.0,1.0,,,"Yassuda, Yatiyo Y",2,Anatomy Morphology,2.0,1.261 Parasitology - Trypanosoma & Leishmania,3.0,3.40.195 Biodiversity Conservation,3.0,,,,,UNIVERSITE DE MONTPELLIER,4.0,State University Of Santa Cruz Department Of Biological Sciences,2.0,REVISTA BRASILEIRA DE PARASITOLOGIA VETERINARIA,2.0,,,BELGIUM,2.0,Brazilian Coll Veterinary Parasitology,2.0,Anatomy Morphology,2.0,Green Published,2.0,INSTITUT PASTEUR DE CAYENNE,2.0
2018.0,2.0,,,"Scheibel, Raymond Philip",2,Biochemistry Molecular Biology,2.0,3.40 Forestry,3.0,1.163.645 Fish Parasitology,2.0,,,,,INSTITUT DE RECHERCHE POUR LE DEVELOPPEMENT IRD,3.0,Federal University Of Bahia Institute Of Biology,1.0,AGROFORESTRY SYSTEMS,1.0,,,COLOMBIA,1.0,Walter De Gruyter,2.0,Biochemistry Molecular Biology,2.0,Green Submitted,8.0,AGENCIA DE PROMOCION CIENTIFICA Y TECNICA ARGENTINA,1.0
2017.0,2.0,,,"Fehlberg, Hllytchaikra Ferraz",2,Multidisciplinary Sciences,2.0,1.163 Parasitology - General,2.0,1.261.596 Trypanosoma Biology,2.0,,,,,INSTITUTE NACIONAL DE PESQUISAS DA AMAZONIA,3.0,Federal University Of Pernambuco Centre Of Technology And Geosciences School Of Engineering Of Pernambuco,1.0,ANAIS DA ACADEMIA BRASILEIRA DE CIENCIAS,1.0,,,MEXICO,1.0,Acad Brasileira De Ciencias,1.0,Science Technology Other Topics,2.0,,,ALBAN PROGRAM,1.0
2015.0,2.0,,,"Steiner, Charlie",2,Tropical Medicine,2.0,"1.217 Parasitology - Malaria, Toxoplasmosis & Coccidiosis",2.0,1.217.1038 Toxoplasma Gondii,1.0,,,,,UNIVERSIDADE DE SAO PAULO,3.0,Federal University Of Pernambuco Department Of Geology,1.0,ANNALS OF CARNEGIE MUSEUM,1.0,,,PORTUGAL,1.0,Allen Press Inc,1.0,Tropical Medicine,2.0,,,AMAZONAS STATE RESEARCH SUPPORT FOUNDATION FAPEAM,1.0
2014.0,1.0,,,"Catzeflis, F",2,Veterinary Sciences,2.0,1.246 Diarrheal Diseases,1.0,1.217.1890 Coccidiosis,1.0,,,,,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,3.0,Ghent University Department Of Biology,1.0,AUSTRAL ECOLOGY,1.0,,,RUSSIA,1.0,Amer Soc Mammalogists,1.0,Veterinary Sciences,2.0,,,ANPCYT,1.0
2013.0,5.0,,,"de Souza, Erica",2,Agronomy,1.0,1.258 Zoonotic Diseases,1.0,1.246.985 Cryptosporidium,1.0,,,,,CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFICAS Y TECNICAS CONICET,2.0,Ghent University Faculty Of Sciences,1.0,COMPARATIVE CYTOGENETICS,1.0,,,SPAIN,1.0,Brill,1.0,Agriculture,1.0,,,ATM AGRIP GRANT OF THE MNHN,1.0
2010.0,1.0,,,"Ladeveze, Sandrine",2,Cell Biology,1.0,1.5 Neuroscience,1.0,1.258.227 Tick-borne Pathogens,1.0,,,,,SORBONNE UNIVERSITE,2.0,Research Institute In The Environment And Biodiversity,1.0,COMPARATIVE PARASITOLOGY,1.0,,,SWITZERLAND,1.0,Carnegie Museum Natural History,1.0,Cell Biology,1.0,,,ATM FORMES,1.0
2008.0,2.0,,,"Jimenez, Francisco",2,Evolutionary Biology,1.0,,,1.261.695 Leishmaniasis Dynamics,1.0,,,,,SOUTHERN ILLINOIS UNIVERSITY,2.0,Universidad Nacional Del Comahue University Regional Centre Bariloche,1.0,CYTOGENETIC AND GENOME RESEARCH,1.0,,,VENEZUELA,1.0,Folia Parasitologica,1.0,Evolutionary Biology,1.0,,,BELGIAN FEDERAL SCIENCE POLICY OFFICE,1.0
