Publication Years,Publication Years_Count,Document Types,Document Types_Count,Researcher Profiles,Researcher Profiles_Count,Web of Science Categories,Web of Science Categories_Count,Citation Topics Meso,Citation Topics Meso_Count,Citation Topics Micro,Citation Topics Micro_Count,Sustainable Development Goals,Sustainable Development Goals_Count,Web of Science Index,Web of Science Index_Count,Affiliations,Affiliations_Count,Affiliation with Department,Affiliation with Department_Count,Publication Titles,Publication Titles_Count,Languages,Languages_Count,Countries/Regions,Countries/Regions_Count,Publishers,Publishers_Count,Research Areas,Research Areas_Count,Open Access,Open Access_Count,Funding Agencies,Funding Agencies_Count
2023.0,1.0,Article,5.0,"Mattevi, Margarete S.",1,Zoology,4.0,3.64 Phylogenetics & Genomics,4.0,3.64.34 Phylogenetic Relationships,4.0,15 Life On Land,5.0,Science Citation Index Expanded (SCI-EXPANDED),5.0,CENTRO NACIONAL PATAGONICO CENPAT,1.0,Federal University Of Pernambuco Department Of Zoology,1.0,IHERINGIA SERIE ZOOLOGIA,1.0,English,5.0,BRAZIL,4.0,"Fundacao Zoobotanica  Rio Grande Sul, Museu Ciencias Naturais",1.0,Zoology,4.0,All Open Access,2.0,CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO CNPQ,3.0
2019.0,1.0,,,"Monfort, Talitha",1,Evolutionary Biology,1.0,8.93 Archaeology,1.0,8.93.805 Mammalia,1.0,13 Climate Action,1.0,,,CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFICAS Y TECNICAS CONICET,1.0,Federal University Of Pernambuco Life Sciences Center,1.0,MAMMALIA,1.0,,,ARGENTINA,1.0,Soc Brasileira Paleontologia,1.0,Evolutionary Biology,1.0,Gold,1.0,COORDENACAO DE APERFEICOAMENTO DE PESSOAL DE NIVEL SUPERIOR CAPES,2.0
2014.0,1.0,,,"Oliveira, Luiz F. B.",1,Paleontology,1.0,,,,,,,,,CTR INVEST PROMOC PUEBLOS,1.0,Federal University Of Rio De Janeiro Forum Of Science And Culture,1.0,REVISTA BRASILEIRA DE PALEONTOLOGIA,1.0,,,CHILE,1.0,Taylor & Francis,1.0,Paleontology,1.0,Green Submitted,1.0,AGENCIA PICT,1.0
2009.0,1.0,,,"Boric-Bargetto, Dusan",1,,,,,,,,,,,MIGUEL LILLO FOUNDATION,1.0,Museu Nacional Ufrj,1.0,STUDIES ON NEOTROPICAL FAUNA AND ENVIRONMENT,1.0,,,PERU,1.0,Walter De Gruyter,1.0,,,,,CASEB,1.0
2006.0,1.0,,,"Cancino, Ricardo A.",1,,,,,,,,,,,MUSEO ARGENTINO DE CIENCIAS NATURALES BERNARDINO RIVADAVIA MACN,1.0,National University Of Tucuman Faculty Of Natural Sciences And Institute Miguel Lillo,1.0,ZOOLOGICA SCRIPTA,1.0,,,,,Wiley,1.0,,,,,COMISION NACIONAL DE INVESTIGACION CIENTIFICA Y TECNOLOGICA CONICYT,1.0
,,,,"Alfaro, Fernando D.",1,,,,,,,,,,,MUSEU CIENCIAS NAT,1.0,,,,,,,,,,,,,,,CONICYT FONDECYT,1.0
,,,,"Motta, Filipe",1,,,,,,,,,,,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,1.0,,,,,,,,,,,,,,,CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFICAS Y TECNICAS CONICET,1.0
,,,,"Pacheco, Victor",1,,,,,,,,,,,UNIVERSIDAD DE CONCEPCION,1.0,,,,,,,,,,,,,,,FACEPE MSC FELLOWSHIP,1.0
,,,,"PALMA, R",1,,,,,,,,,,,UNIVERSIDAD NACIONAL DE TUCUMAN,1.0,,,,,,,,,,,,,,,FINANCIADORA DE INOVACAO E PESQUISA FINEP,1.0
,,,,"Hadler, Patricia",1,,,,,,,,,,,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,1.0,,,,,,,,,,,,,,,FUNDACAO DE AMPARO A CIENCIA E TECNOLOGIA DO ESTADO DE PERNAMBUCO FACEPE,1.0
,,,,"Carvalho, Bianca",1,,,,,,,,,,,UNIVERSIDADE DE SAO PAULO,1.0,,,,,,,,,,,,,,,FUNDACAO DE AMPARO A CIENCIA E TECNOLOGIA DO ESTADO DO RIO GRANDE DO SUL FAPERGS,1.0
,,,,"Flores, David",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DE PERNAMBUCO,1.0,,,,,,,,,,,,,,,GRADUATE SCHOOL OF THE UNIVERSIDAD DE CONCEPCION,1.0
,,,,"Ribeiro, Ana Maria",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DE SANTA CATARINA UFSC,1.0,,,,,,,,,,,,,,,ORGANIZATION OF THE AMERICAN STATES OAS,1.0
,,,,"Zeballos, Horacio",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,1.0,,,,,,,,,,,,,,,SBMZ,1.0
,,,,"Carmignotto, Ana Paula",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,1.0,,,,,,,,,,,,,,,UFPE,1.0
,,,,"Rodriguez-Serrano, Enrique",1,,,,,,,,,,,UNIVERSIDADE LUTERANA DO BRASIL,1.0,,,,,,,,,,,,,,,UFPE CNPQ INICIACAO CIENTIFICA FELLOWSHIP,1.0
,,,,"Pardinas, Ulyses",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Cherem, Jose",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
