Publication Years,Publication Years_Count,Document Types,Document Types_Count,Researcher Profiles,Researcher Profiles_Count,Web of Science Categories,Web of Science Categories_Count,Citation Topics Meso,Citation Topics Meso_Count,Citation Topics Micro,Citation Topics Micro_Count,Sustainable Development Goals,Sustainable Development Goals_Count,Web of Science Index,Web of Science Index_Count,Affiliations,Affiliations_Count,Affiliation with Department,Affiliation with Department_Count,Publication Titles,Publication Titles_Count,Languages,Languages_Count,Countries/Regions,Countries/Regions_Count,Publishers,Publishers_Count,Research Areas,Research Areas_Count,Open Access,Open Access_Count,Funding Agencies,Funding Agencies_Count,Conference Titles,Conference Titles_Count
2022.0,5.0,Article,16.0,"Rodrigues, Joao",5,Parasitology,6.0,1.163 Parasitology - General,6.0,1.163.446 Schistosomiasis,6.0,03 Good Health And Well Being,9.0,Science Citation Index Expanded (SCI-EXPANDED),16.0,INSTITUTO FEDERAL DO MARANHAO,5.0,George Mason University College Of Science,1.0,JOURNAL OF MAMMALOGY,2.0,English,15.0,BRAZIL,11.0,Oxford Univ Press,3.0,Parasitology,6.0,All Open Access,7.0,CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO CNPQ,6.0,5TH INTERNATIONAL CONFERENCE ON HEMORRHAGIC FEVER WITH RENAL SYNDROME HANTAVIRUS PULMONARY SYNDROME AND HANTAVIRUSES,1.0
2021.0,1.0,Proceeding Paper,1.0,"Miranda, Guilherme",5,Zoology,5.0,3.35 Zoology & Animal Ecology,3.0,3.35.721 Rodent Ecology,3.0,15 Life On Land,7.0,Conference Proceedings Citation Index – Science (CPCI-S),1.0,UNIVERSIDADE ESTADUAL DO MARANHAO,5.0,George Mason University Department Of Biology,1.0,REVISTA BRASILEIRA DE PARASITOLOGIA VETERINARIA,2.0,Spanish,1.0,ARGENTINA,3.0,Brazilian Coll Veterinary Parasitology,2.0,Zoology,5.0,Gold,4.0,FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE SAO PAULO FAPESP,4.0,,
2019.0,2.0,,,"Silva-Souza, Neuton",4,Veterinary Sciences,4.0,3.64 Phylogenetics & Genomics,3.0,3.64.34 Phylogenetic Relationships,3.0,13 Climate Action,4.0,,,UNIVERSIDADE FEDERAL DE MINAS GERAIS,5.0,Universidade De Sao Paulo Escola Superior De Agricultura Luiz De Queiroz,1.0,ACTA PARASITOLOGICA,1.0,,,USA,3.0,Elsevier,2.0,Veterinary Sciences,4.0,Free to Read,2.0,FUNDACAO DE AMPARO A PESQUISA E DESENVOLVIMENTO CIENTIFICO DO MARANHAO FAPEMA,4.0,,
2016.0,1.0,,,"SILVA, JEFERSON KELVIN ALVES DE OLIVEIRA KELVIN ALVES",4,Public Environmental Occupational Health,2.0,1.228 Virology - Tropical Diseases,1.0,1.228.994 Viral Hemorrhagic Fevers,1.0,,,,,UNIVERSIDADE FEDERAL DO MARANHAO,4.0,Universidade De Sao Paulo Escola Superior De Agricultura Luiz De Queiroz Departamento De Ciencias Biologicas,1.0,ACTA TROPICA,1.0,,,VENEZUELA,2.0,Cambridge Univ Press,1.0,Public Environmental Occupational Health,2.0,Green Published,1.0,COORDENACAO DE APERFEICOAMENTO DE PESSOAL DE NIVEL SUPERIOR CAPES,2.0,,
2015.0,1.0,,,"Nogueira, Ranielly Araujo",3,Tropical Medicine,2.0,1.258 Zoonotic Diseases,1.0,1.258.1958 Leptospirosis Epidemiology,1.0,,,,,MUSEO LA PLATA,2.0,Universidade De Sao Paulo Faculdade De Filosofia Ciencias E Letras De Ribeirao Preto,1.0,INTERCIENCIA,1.0,,,AUSTRALIA,1.0,Interciencia,1.0,Tropical Medicine,2.0,Green Submitted,7.0,AGENCIA,1.0,,
2014.0,1.0,,,"Negrao-Correa, D",3,Ecology,1.0,1.261 Parasitology - Trypanosoma & Leishmania,1.0,1.261.695 Leishmaniasis Dynamics,1.0,,,,,NATIONAL UNIVERSITY OF LA PLATA,2.0,University Of Aveiro Department Of Biology,1.0,MAMMALIA,1.0,,,ENGLAND,1.0,"Mary Ann Liebert, Inc",1.0,Environmental Sciences Ecology,1.0,,,CENTER FOR CONSERVATION GENOMICS SMITHSONIAN NATIONAL ZOO AND CONSERVATION BIOLOGY INSTITUTE,1.0,,
2013.0,2.0,,,"Araujo Camelo, Genil Mororo",3,Genetics Heredity,1.0,8.93 Archaeology,1.0,8.93.805 Mammalia,1.0,,,,,UNIVERSIDADE DE SAO PAULO,2.0,University Of Bari Department Of Veterinary Medicine,1.0,MITOCHONDRIAL DNA PART B RESOURCES,1.0,,,FRANCE,1.0,SPRINGER INT PUBL AG,1.0,Genetics Heredity,1.0,,,CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE CNRS,1.0,,
2011.0,1.0,,,"Lira, MariaGabriela",3,Geography Physical,1.0,,,,,,,,,ANGELO STATE UNIVERSITY,1.0,University Of Michigan College Of Literature Science And The Arts,1.0,PARASITOLOGY,1.0,,,FRENCH GUIANA,1.0,"Soc Brasileira Zoologia, Univ Federal Parana",1.0,Geology,1.0,,,CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFICAS Y TECNICAS CONICET,1.0,,
2009.0,1.0,,,"Resende, Samira Diniz",2,Geosciences Multidisciplinary,1.0,,,,,,,,,ANLIS DR CARLOS G MALBRAN,1.0,University Of Michigan Department Of Ecology And Evolutionary Biology,1.0,PARASITOLOGY RESEARCH,1.0,,,ITALY,1.0,Springer Nature,1.0,Infectious Diseases,1.0,,,DIRECCION DE FAUNA OF THIS PROVINCE,1.0,,
2005.0,1.0,,,"Santos, José Carlos dos",1,Infectious Diseases,1.0,,,,,,,,,CENTERS FOR DISEASE CONTROL PREVENTION USA,1.0,,,QUATERNARY INTERNATIONAL,1.0,,,PORTUGAL,1.0,Taylor & Francis,1.0,Physical Geography,1.0,,,FONACIT VENEZUELA,1.0,,
