Publication Years,Publication Years_Count,Document Types,Document Types_Count,Researcher Profiles,Researcher Profiles_Count,Web of Science Categories,Web of Science Categories_Count,Citation Topics Meso,Citation Topics Meso_Count,Citation Topics Micro,Citation Topics Micro_Count,Sustainable Development Goals,Sustainable Development Goals_Count,Web of Science Index,Web of Science Index_Count,Affiliations,Affiliations_Count,Affiliation with Department,Affiliation with Department_Count,Publication Titles,Publication Titles_Count,Languages,Languages_Count,Countries/Regions,Countries/Regions_Count,Publishers,Publishers_Count,Research Areas,Research Areas_Count,Open Access,Open Access_Count,Funding Agencies,Funding Agencies_Count,Conference Titles,Conference Titles_Count
2025.0,1.0,Article,12.0,"Yassuda, Yatiyo Y",2,Genetics Heredity,3.0,1.186 Chromosome Disorders,3.0,1.186.670 Chromosomal Evolution,3.0,03 Good Health And Well Being,7.0,Science Citation Index Expanded (SCI-EXPANDED),13.0,FUNDACAO OSWALDO CRUZ,3.0,Federal University Of Rio De Janeiro Forum Of Science And Culture,2.0,JOURNAL OF HEREDITY,2.0,English,12.0,BRAZIL,13.0,Oxford Univ Press,3.0,Genetics Heredity,3.0,All Open Access,10.0,CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO CNPQ,4.0,6TH INTERNATIONAL SYMPOSIUM ON SCHISTOSOMIASIS 6TH NATIONAL MEETING ON SCHISTOSOMIASIS,1.0
2021.0,1.0,Proceeding Paper,1.0,"Cáceres, Nilton",2,Parasitology,3.0,1.258 Zoonotic Diseases,3.0,1.258.227 Tick-borne Pathogens,3.0,15 Life On Land,5.0,Conference Proceedings Citation Index – Science (CPCI-S),1.0,UNIVERSIDADE DE SAO PAULO,3.0,Federal University Of Santa Maria Centre For Natural And Exact Sciences,2.0,ACTA THERIOLOGICA,1.0,Portuguese,1.0,ENGLAND,1.0,Springer Nature,2.0,Parasitology,3.0,Gold,6.0,FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE SAO PAULO FAPESP,4.0,,
2015.0,2.0,Review Article,1.0,"Hannibal, Wellington",2,Zoology,3.0,3.35 Zoology & Animal Ecology,2.0,3.35.721 Rodent Ecology,2.0,13 Climate Action,2.0,,,UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL,3.0,Museu Nacional Ufrj,2.0,BRAZILIAN JOURNAL OF BIOLOGY,1.0,,,ITALY,1.0,"Fundacao Zoobotanica  Rio Grande Sul, Museu Ciencias Naturais",1.0,Zoology,3.0,Gold-Hybrid,1.0,COORDENACAO DE APERFEICOAMENTO DE PESSOAL DE NIVEL SUPERIOR CAPES,3.0,,
2012.0,1.0,,,"D'Andrea, Paulo S.",2,Evolutionary Biology,2.0,1.158 Dermatology - General,1.0,1.158.918 Melanogenesis Mechanisms,1.0,,,,,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,3.0,Federal University Of Rio De Janeiro Department Of Ecology,1.0,CIENCIA RURAL,1.0,,,PORTUGAL,1.0,Fundaco Oswaldo Cruz,1.0,Evolutionary Biology,2.0,Free to Read,2.0,FUNDACAO CARLOS CHAGAS FILHO DE AMPARO A PESQUISA DO ESTADO DO RIO DE JANEIRO FAPERJ,1.0,,
2010.0,2.0,,,"Romero, Gustavo A.S.",1,Tropical Medicine,2.0,1.163 Parasitology - General,1.0,1.163.446 Schistosomiasis,1.0,,,,,NATIONAL CANCER INSTITUTE INCA,2.0,Federal University Of Rio De Janeiro Department Of Genetics,1.0,CYTOGENETIC AND GENOME RESEARCH,1.0,,,RUSSIA,1.0,Int Inst Ecology,1.0,Tropical Medicine,2.0,Green Published,1.0,FUNDACAO DE APOIO A PESQUISA DO DISTRITO FEDERAL FAPDF,1.0,,
2008.0,1.0,,,"Silva, Maria José J",1,Agronomy,1.0,1.228 Virology - Tropical Diseases,1.0,1.228.200 Mosquito-borne Viruses,1.0,,,,,UNIVERSIDADE FEDERAL DE SANTA MARIA UFSM,2.0,Federal University Of Rio De Janeiro Health Sciences Centre,1.0,IHERINGIA SERIE ZOOLOGIA,1.0,,,USA,1.0,Karger,1.0,Agriculture,1.0,Green Submitted,8.0,FUNDACAO PARA A CIENCIA E A TECNOLOGIA FCT,1.0,,
2004.0,2.0,,,"Marvulo, Maria Fernanda V.",1,Biology,1.0,1.261 Parasitology - Trypanosoma & Leishmania,1.0,1.261.695 Leishmaniasis Dynamics,1.0,,,,,UNIVERSIDADE FEDERAL RURAL DA AMAZONIA UFRA,2.0,Federal University Of Rio De Janeiro Institute Of Biology,1.0,JOURNAL OF MEDICAL ENTOMOLOGY,1.0,,,,,Polish Acad Sciences,1.0,Cell Biology,1.0,,,PROCIENCIA UERJ,1.0,,
2003.0,1.0,,,"Mattevi, Margarete S.",1,Cell Biology,1.0,3.64 Phylogenetics & Genomics,1.0,3.64.71 Genetic Diversity,1.0,,,,,INST BRASILEIRO MEIO AMBIENTE RECURSOS NAT RENO,1.0,Universidade De Sao Paulo Departamento De Medicina Veterinaria Preventiva E Saude Animal,1.0,MAMMALIA,1.0,,,,,Public Library Science,1.0,Entomology,1.0,,,WELLCOME TRUST,1.0,,
2001.0,1.0,,,"Martins-Hatano, Fernanda",1,Entomology,1.0,,,,,,,,,INST BRASILEIRO PARA MED CONSERVACAO TRIADE,1.0,Universidade De Sao Paulo Faculdade De Medicina Veterinaria E Zootecnia,1.0,MEMORIAS DO INSTITUTO OSWALDO CRUZ,1.0,,,,,Univ Federal Santa Maria,1.0,Life Sciences Biomedicine Other Topics,1.0,,,,,,
1998.0,1.0,,,"Mendes, Fernanda Figueiredo",1,Multidisciplinary Sciences,1.0,,,,,,,,,INST CHICO MENDES CONSERVACAO BIODIVERSIDADE,1.0,University Of Brasilia Faculty Of Medicine,1.0,PARASITES VECTORS,1.0,,,,,Walter De Gruyter,1.0,Science Technology Other Topics,1.0,,,,,,
,,,,"André, Marcos Rogério",1,Veterinary Sciences,1.0,,,,,,,,,INSTITUTE NACIONAL DE PESQUISAS DA AMAZONIA,1.0,University Of Cambridge Department Of Veterinary Medicine,1.0,PARASITOLOGY RESEARCH,1.0,,,,,,,Veterinary Sciences,1.0,,,,,,
,,,,"O'Brien, P.",1,,,,,,,,,,,INSTITUTE OF CYTOLOGY GENETICS ICG SB RAS,1.0,University Of Cambridge School Of The Biological Sciences,1.0,PLOS ONE,1.0,,,,,,,,,,,,,,
,,,,"Rossi, Rogerio V",1,,,,,,,,,,,INSTITUTO EVANDRO CHAGAS,1.0,University Of Porto Faculty Of Sciences,1.0,,,,,,,,,,,,,,,,
,,,,"Cerqueira, Rui",1,,,,,,,,,,,INSTITUTO FEDERAL DE MATO GROSSO IFMT,1.0,,,,,,,,,,,,,,,,,,
,,,,"Prates, Lucineia Z.",1,,,,,,,,,,,NOVOSIBIRSK STATE UNIVERSITY,1.0,,,,,,,,,,,,,,,,,,
,,,,"Siqueira, Daniel B.",1,,,,,,,,,,,RUSSIAN ACADEMY OF SCIENCES,1.0,,,,,,,,,,,,,,,,,,
,,,,"Borodin, Pavel",1,,,,,,,,,,,UNIV FED UFPA PARA UFPA,1.0,,,,,,,,,,,,,,,,,,
,,,,"Castro Minuzzi Souza, Thais Tamara",1,,,,,,,,,,,UNIVERSIDADE DE BRASILIA,1.0,,,,,,,,,,,,,,,,,,
,,,,"Bergallo, Helena Godoy",1,,,,,,,,,,,UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO,1.0,,,,,,,,,,,,,,,,,,
,,,,"Ferguson-Smith, MA",1,,,,,,,,,,,UNIVERSIDADE DO PORTO,1.0,,,,,,,,,,,,,,,,,,
,,,,"Maia, Maerle Oliveira",1,,,,,,,,,,,UNIVERSIDADE ESTADUAL PAULISTA,1.0,,,,,,,,,,,,,,,,,,
,,,,"Vargas, Claudeir",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DE ITAJUBA,1.0,,,,,,,,,,,,,,,,,,
,,,,"Labruna, Marcelo B",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DE MATO GROSSO,1.0,,,,,,,,,,,,,,,,,,
,,,,"Zorkoltseva, Irina",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,1.0,,,,,,,,,,,,,,,,,,
,,,,"Dantas-Torres, Filipe",1,,,,,,,,,,,UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO UFRPE,1.0,,,,,,,,,,,,,,,,,,
,,,,"Gurgel-Goncalves, Rodrigo",1,,,,,,,,,,,UNIVERSITA DEGLI STUDI DI BARI ALDO MORO,1.0,,,,,,,,,,,,,,,,,,
,,,,"Maldonado Junior, Arnaldo",1,,,,,,,,,,,UNIVERSITY OF CAMBRIDGE,1.0,,,,,,,,,,,,,,,,,,
,,,,"CARDOSO, RM",1,,,,,,,,,,,UNL,1.0,,,,,,,,,,,,,,,,,,
,,,,"Bernal, Marcella Katheryne Marques",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Moreira, Miguel Angelo Martins",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"de Senna, Michelle B.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ribeiro, Ana Clara",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dietrich, A",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Goulart, Charla S.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"PEREIRA, WASHINGTON LUIZ ASSUNÇÃO",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dutra, Valéria",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"NAKAZATO, LUCIANO",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Moreira, Camila do Nascimento",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Axenovich, Tatiana I",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Zanchin, Nilson Ivo Tonin",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Manhaes, M. L.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Pedroni, Fernando",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Rey, Luis C.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Rameh-de-Albuquerque, Luciana Carla",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Pacheco, Thabata dos Anjos",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Seuanez, HN",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"TOMBINI, A",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Zanotti, Alexandre P.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ferreira, Debora Rezende",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Pacheco, Richard Campos",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Souza, Denisson da Silva e",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Bonvicino, Cibele R.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Martins, Thiago",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Fernandes, Fabiano",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Almeida, FC",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Faria Oliveira, Lus Fernando",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Hecht, Mariana",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Mendes, J.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Andrades-Miranda, Jaqueline",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Wagner, Paulo G. C.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Reis, Marcelo Lima",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Andrade, Sara",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Braga de Mendonca, Ravena Fernanda",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ventura, Karen",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Casella, Janaina",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Vieira, Graciete Oliveira",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Maroja, Luana",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Chiang, Jannifer",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Lee, Daniel Antonio Braga",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"da Silva, MAS",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Silva Lociks de Araujo, Nadjar Nitz",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ferreira, J. B. P.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Gettinger, Donald",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
