Publication Years,Publication Years_Count,Document Types,Document Types_Count,Researcher Profiles,Researcher Profiles_Count,Web of Science Categories,Web of Science Categories_Count,Citation Topics Meso,Citation Topics Meso_Count,Citation Topics Micro,Citation Topics Micro_Count,Sustainable Development Goals,Sustainable Development Goals_Count,Web of Science Index,Web of Science Index_Count,Affiliations,Affiliations_Count,Affiliation with Department,Affiliation with Department_Count,Publication Titles,Publication Titles_Count,Languages,Languages_Count,Countries/Regions,Countries/Regions_Count,Publishers,Publishers_Count,Research Areas,Research Areas_Count,Open Access,Open Access_Count,Funding Agencies,Funding Agencies_Count,Conference Titles,Conference Titles_Count,Book Series Titles,Book Series Titles_Count,Editors,Editors_Count
2025.0,4.0,Article,143.0,"Maldonado Junior, Arnaldo",21,Parasitology,69.0,1.163 Parasitology - General,64.0,1.163.446 Schistosomiasis,50.0,03 Good Health And Well Being,95.0,Science Citation Index Expanded (SCI-EXPANDED),148.0,FUNDACAO OSWALDO CRUZ,59,Federal University Of Rio De Janeiro Health Sciences Centre,26.0,MEMORIAS DO INSTITUTO OSWALDO CRUZ,20.0,English,144.0,BRAZIL,125.0,Elsevier,20.0,Parasitology,69.0,All Open Access,80.0,CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO CNPQ,40.0,6TH INTERNATIONAL SYMPOSIUM ON SCHISTOSOMIASIS 6TH NATIONAL MEETING ON SCHISTOSOMIASIS,2.0,Neglected Tropical Diseases,1.0,Francoparedes C,1.0
2024.0,3.0,Proceeding Paper,8.0,"Rey, Luis C.",15,Zoology,40.0,3.35 Zoology & Animal Ecology,25.0,3.35.721 Rodent Ecology,24.0,15 Life On Land,46.0,Conference Proceedings Citation Index – Science (CPCI-S),8.0,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,40,Federal University Of Rio De Janeiro Department Of Ecology,17.0,MAMMALIA,8.0,Russian,3.0,USA,11.0,Springer Nature,18.0,Zoology,40.0,Gold,51.0,FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE SAO PAULO FAPESP,28.0,8TH INTERNATIONAL SYMPOSIUM ON SCHISTOSOMIASIS,2.0,,,Santospreciado JI,1.0
2023.0,3.0,Review Article,6.0,"Gentile, Rosana",15,Tropical Medicine,34.0,1.258 Zoonotic Diseases,19.0,1.186.670 Chromosomal Evolution,18.0,13 Climate Action,26.0,Book Citation Index – Social Sciences & Humanities (BKCI-SSH),1.0,UNIVERSIDADE DE SAO PAULO,28,Federal University Of Rio De Janeiro Institute Of Biology,17.0,PARASITOLOGY RESEARCH,7.0,French,1.0,ENGLAND,7.0,Fundaco Oswaldo Cruz,16.0,Tropical Medicine,34.0,Gold-Hybrid,5.0,FUNDACAO CARLOS CHAGAS FILHO DE AMPARO A PESQUISA DO ESTADO DO RIO DE JANEIRO FAPERJ,16.0,10TH INTERNATIONAL SYMPOSIUM ON SCHISTOSOMIASIS,1.0,,,,
2022.0,7.0,Book Chapters,1.0,"Machado-Silva, José Roberto",14,Genetics Heredity,13.0,1.186 Chromosome Disorders,18.0,1.258.227 Tick-borne Pathogens,18.0,14 Life Below Water,3.0,Book Citation Index – Science (BKCI-S),1.0,UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO,26,Universidade De Sao Paulo Departamento De Medicina Veterinaria Preventiva E Saude Animal,5.0,EXPERIMENTAL PARASITOLOGY,5.0,Portuguese,1.0,ARGENTINA,6.0,Oxford Univ Press,9.0,Genetics Heredity,13.0,Free to Read,11.0,COORDENACAO DE APERFEICOAMENTO DE PESSOAL DE NIVEL SUPERIOR CAPES,13.0,3RD INTERNATIONAL SYMP ON SCHISTOSOMIASIS 3RD NATIONAL MEETING ON SCHISTOSOMIASIS,1.0,,,,
2021.0,2.0,Data Paper,1.0,"Lanfredi, Reinalda",12,Veterinary Sciences,13.0,3.64 Phylogenetics & Genomics,8.0,1.163.645 Fish Parasitology,10.0,,,Emerging Sources Citation Index (ESCI),1.0,UNIVERSIDADE ESTADUAL PAULISTA,9,Universidade De Sao Paulo Faculdade De Medicina Veterinaria E Zootecnia,5.0,JOURNAL OF PARASITOLOGY,5.0,Spanish,1.0,RUSSIA,4.0,Walter De Gruyter,8.0,Veterinary Sciences,13.0,Green Published,15.0,FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE MINAS GERAIS FAPEMIG,6.0,7TH INTERNATIONAL SYMPOSIUM ON SCHISTOSOMIASIS,1.0,,,,
2020.0,4.0,Editorial Material,1.0,"D'Andrea, Paulo S.",12,Ecology,10.0,1.261 Parasitology - Trypanosoma & Leishmania,7.0,3.64.71 Genetic Diversity,6.0,,,,,UNIVERSIDADE FEDERAL DE MINAS GERAIS,9,Federal University Of Rio De Janeiro Forum Of Science And Culture,4.0,MAMMALIAN BIOLOGY,5.0,,,FRANCE,3.0,Cambridge Univ Press,7.0,Environmental Sciences Ecology,10.0,Green Accepted,1.0,NATIONAL INSTITUTES OF HEALTH NIH USA,4.0,V INTERNATIONAL SYMPOSIUM ON SCHISTOSOMIASIS,1.0,,,,
2018.0,4.0,,,"Garcia, Juberlan",10,Entomology,7.0,3.40 Forestry,3.0,1.163.1393 Filarial Infections,4.0,,,,,NATIONAL CANCER INSTITUTE INCA,8,Museu Nacional Ufrj,4.0,JOURNAL OF HELMINTHOLOGY,4.0,,,GERMANY,2.0,Wiley,7.0,Entomology,7.0,Green Submitted,67.0,UNITED STATES DEPARTMENT OF HEALTH HUMAN SERVICES,4.0,,,,,,
2017.0,7.0,,,"Cerqueira, Rui",9,Infectious Diseases,6.0,1.158 Dermatology - General,1.0,1.261.695 Leishmaniasis Dynamics,4.0,,,,,UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO UFRRJ,8,Universidade De Sao Paulo Escola Superior De Agricultura Luiz De Queiroz,4.0,JOURNAL OF MAMMALOGY,4.0,,,SERBIA,2.0,Public Library Science,6.0,Infectious Diseases,6.0,,,ANPCYT,3.0,,,,,,
2016.0,5.0,,,"Neves, Renata Heisler",9,Multidisciplinary Sciences,6.0,1.228 Virology - Tropical Diseases,1.0,1.261.596 Trypanosoma Biology,3.0,,,,,UNIVERSIDADE ESTADUAL DE CAMPINAS,5,Universidade De Sao Paulo Escola Superior De Agricultura Luiz De Queiroz Departamento De Ciencias Biologicas,4.0,REVISTA BRASILEIRA DE PARASITOLOGIA VETERINARIA,4.0,,,COLOMBIA,1.0,Brazilian Coll Veterinary Parasitology,4.0,Public Environmental Occupational Health,6.0,,,CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFICAS Y TECNICAS CONICET,3.0,,,,,,
2015.0,5.0,,,"Yassuda, Yatiyo Y",8,Public Environmental Occupational Health,6.0,1.246 Diarrheal Diseases,1.0,3.40.86 Plant Communities,2.0,,,,,CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFICAS Y TECNICAS CONICET,4,Federal University Of Rio De Janeiro Department Of Genetics,3.0,GENETICS AND MOLECULAR BIOLOGY,3.0,,,EGYPT,1.0,MEM INST OSWALDO CRUZ,4.0,Science Technology Other Topics,6.0,,,FUNDACAO DE AMPARO A PESQUISA E DESENVOLVIMENTO CIENTIFICO DO MARANHAO FAPEMA,3.0,,,,,,
