Publication Years,Publication Years_Count,Document Types,Document Types_Count,Researcher Profiles,Researcher Profiles_Count,Web of Science Categories,Web of Science Categories_Count,Citation Topics Meso,Citation Topics Meso_Count,Citation Topics Micro,Citation Topics Micro_Count,Sustainable Development Goals,Sustainable Development Goals_Count,Web of Science Index,Web of Science Index_Count,Affiliations,Affiliations_Count,Affiliation with Department,Affiliation with Department_Count,Publication Titles,Publication Titles_Count,Languages,Languages_Count,Countries/Regions,Countries/Regions_Count,Publishers,Publishers_Count,Research Areas,Research Areas_Count,Open Access,Open Access_Count,Funding Agencies,Funding Agencies_Count
2014.0,1.0,Article,3.0,"Gonzalez-Ittig, Raul Enrique",2.0,Zoology,3.0,1.228 Virology - Tropical Diseases,2.0,1.228.994 Viral Hemorrhagic Fevers,2.0,03 Good Health And Well Being,2.0,Science Citation Index Expanded (SCI-EXPANDED),3.0,CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFICAS Y TECNICAS CONICET,2,Federal University Of Rio De Janeiro Department Of Ecology,1.0,ZEITSCHRIFT FUR SAUGETIERKUNDE INTERNATIONAL JOURNAL OF MAMMALIAN BIOLOGY,1.0,English,3.0,ARGENTINA,2.0,Elsevier,1.0,Zoology,3.0,All Open Access,1.0,CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFICAS Y TECNICAS CONICET,2.0
2010.0,1.0,,,"Gardenal, Cristina N.",2.0,Evolutionary Biology,1.0,1.186 Chromosome Disorders,1.0,1.186.670 Chromosomal Evolution,1.0,15 Life On Land,1.0,,,FAC CIENCIAS EXACTAS FIS NAT,1,Federal University Of Rio De Janeiro Health Sciences Centre,1.0,ZOOLOGICA SCRIPTA,1.0,,,BRAZIL,1.0,Oxford Univ Press,1.0,Evolutionary Biology,1.0,Free to Read,1.0,SECRETARIA DE CIENCIA Y TECNOLOGIA SECYT,2.0
1998.0,1.0,,,"Levis, Silvana",1.0,,,,,,,,,,,INEVH,1,Federal University Of Rio De Janeiro Institute Of Biology,1.0,ZOOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,1.0,,,USA,1.0,Wiley,1.0,,,Green Submitted,1.0,DEPARTMENT OF BIOLOGICAL SCIENCES OF TEXAS TECH UNIVERSITY,1.0
,,,,"Barquez, R. M.",1.0,,,,,,,,,,,MIGUEL LILLO FOUNDATION,1,National University Of Tucuman Faculty Of Natural Sciences And Institute Miguel Lillo,1.0,,,,,,,,,,,,,NATIONAL SCIENCE FOUNDATION NSF,1.0
,,,,"Salazar-Bravo, Jorge",1.0,,,,,,,,,,,NATIONAL CANCER INSTITUTE INCA,1,Texas Tech University College Of Arts And Sciences,1.0,,,,,,,,,,,,,UNIVERSIDAD NACIONAL DE CORDOBA ARGENTINA,1.0
,,,,"Weksler, Marcelo",1.0,,,,,,,,,,,NATIONAL UNIVERSITY OF CORDOBA,1,Texas Tech University Department Of Biological Sciences,1.0,,,,,,,,,,,,,,
,,,,"Bonvicino, Cibele R.",1.0,,,,,,,,,,,TEXAS TECH UNIVERSITY,1,,,,,,,,,,,,,,,,
,,,,"Rivera, P. C.",1.0,,,,,,,,,,,TEXAS TECH UNIVERSITY SYSTEM,1,,,,,,,,,,,,,,,,
,,,,"Calderon, G",1.0,,,,,,,,,,,UNIVERSIDAD NACIONAL DE TUCUMAN,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,1,,,,,,,,,,,,,,,,
