Publication Years,Publication Years_Count,Document Types,Document Types_Count,Researcher Profiles,Researcher Profiles_Count,Web of Science Categories,Web of Science Categories_Count,Citation Topics Meso,Citation Topics Meso_Count,Citation Topics Micro,Citation Topics Micro_Count,Sustainable Development Goals,Sustainable Development Goals_Count,Web of Science Index,Web of Science Index_Count,Affiliations,Affiliations_Count,Publication Titles,Publication Titles_Count,Languages,Languages_Count,Countries/Regions,Countries/Regions_Count,Publishers,Publishers_Count,Research Areas,Research Areas_Count,Open Access,Open Access_Count,Funding Agencies,Funding Agencies_Count
2019.0,1.0,Article,3.0,"de Oliveira, Renata Carvalho",1,Zoology,2.0,1.258 Zoonotic Diseases,1.0,1.258.227 Tick-borne Pathogens,1.0,15 Life On Land,2.0,Science Citation Index Expanded (SCI-EXPANDED),3.0,FUNDACAO OSWALDO CRUZ,1.0,JOURNAL OF MAMMALOGY,1.0,English,3.0,BRAZIL,3.0,Elsevier,1.0,Zoology,2.0,All Open Access,1.0,CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO CNPQ,2.0
2015.0,1.0,,,"Goncalves, Gislene Lopes",1,Immunology,1.0,3.35 Zoology & Animal Ecology,1.0,3.35.721 Rodent Ecology,1.0,03 Good Health And Well Being,1.0,,,NATIONAL CANCER INSTITUTE INCA,1.0,MAMMALIAN BIOLOGY,1.0,,,CHILE,1.0,Oxford Univ Press,1.0,Immunology,1.0,Free to Read,1.0,COORDENACAO DE APERFEICOAMENTO DE PESSOAL DE NIVEL SUPERIOR CAPES,1.0
2008.0,1.0,,,"ERS, Lemos",1,Infectious Diseases,1.0,3.64 Phylogenetics & Genomics,1.0,3.64.34 Phylogenetic Relationships,1.0,13 Climate Action,1.0,,,PONTIFICIA UNIVERSIDADE CATOLICA DE MINAS GERAIS,1.0,MICROBES AND INFECTION,1.0,,,,,Springer Nature,1.0,Infectious Diseases,1.0,,,FIP PUC MINAS,1.0
,,,,"Pecanha, Willian Thomaz",1,Microbiology,1.0,,,,,,,,,UNIVERSIDAD DE TARAPACA,1.0,,,,,,,,,Microbiology,1.0,,,FUNDACAO DE AMPARO A CIENCIA E TECNOLOGIA DO ESTADO DO RIO GRANDE DO SUL FAPERGS,1.0
,,,,"Talamoni, Sônia Aparecida",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DO RIO GRANDE,1.0,,,,,,,,,,,,,FUNDACAO OSWALDO CRUZ FIOCRUZ BRAZIL,1.0
,,,,"Freitas, Thales",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,1.0,,,,,,,,,,,,,,
,,,,"Althoff, Sérgio Luiz",1,,,,,,,,,,,UNIVERSIDADE REGIONAL DE BLUMENAU FURB,1.0,,,,,,,,,,,,,,
,,,,"DINIZ, F",1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ribas, L. E. J.",1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Favacho, Alexsandra R. M.",1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Quintela, Fernando Marques",1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Maestri, Renan",1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Bonvicino, Cibele R.",1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Mauro Junior, Davino",1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Couto, Denise",1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Junior, Niedson",1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"D'Andrea, Paulo S.",1,,,,,,,,,,,,,,,,,,,,,,,,,,
