Publication Years,Publication Years_Count,Document Types,Document Types_Count,Researcher Profiles,Researcher Profiles_Count,Web of Science Categories,Web of Science Categories_Count,Citation Topics Meso,Citation Topics Meso_Count,Citation Topics Micro,Citation Topics Micro_Count,Sustainable Development Goals,Sustainable Development Goals_Count,Web of Science Index,Web of Science Index_Count,Affiliations,Affiliations_Count,Affiliation with Department,Affiliation with Department_Count,Publication Titles,Publication Titles_Count,Languages,Languages_Count,Countries/Regions,Countries/Regions_Count,Publishers,Publishers_Count,Research Areas,Research Areas_Count,Open Access,Open Access_Count,Funding Agencies,Funding Agencies_Count
2023.0,1.0,Article,17.0,"Pardinas, Ulyses",6,Paleontology,7.0,3.64 Phylogenetics & Genomics,6.0,3.64.34 Phylogenetic Relationships,6.0,15 Life On Land,14.0,Science Citation Index Expanded (SCI-EXPANDED),15.0,UNIVERSIDADE FEDERAL DE SANTA CATARINA UFSC,4.0,Federal University Of Rio De Janeiro Forum Of Science And Culture,2.0,REVISTA BRASILEIRA DE PALEONTOLOGIA,3.0,English,14.0,BRAZIL,11.0,Soc Brasileira Paleontologia,3.0,Paleontology,7.0,All Open Access,10.0,CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO CNPQ,5.0
2022.0,1.0,,,"Hadler, Patricia",4,Geography Physical,4.0,3.35 Zoology & Animal Ecology,4.0,3.35.721 Rodent Ecology,3.0,13 Climate Action,8.0,Emerging Sources Citation Index (ESCI),2.0,CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFICAS Y TECNICAS CONICET,3.0,Museu Nacional Ufrj,2.0,AMEGHINIANA,1.0,Portuguese,2.0,ARGENTINA,7.0,Elsevier,2.0,Geology,4.0,Gold,8.0,FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE SAO PAULO FAPESP,5.0
2020.0,1.0,,,"Cherem, Jorge Jose",3,Geosciences Multidisciplinary,4.0,8.93 Archaeology,4.0,8.93.8 Holocene,2.0,14 Life Below Water,2.0,Arts & Humanities Citation Index (A&HCI),1.0,AMERICAN MUSEUM OF NATURAL HISTORY AMNH,2.0,University Of Michigan College Of Literature Science And The Arts,2.0,BOREAS,1.0,Spanish,1.0,USA,3.0,ASOC PALEONTOLOGICA ARGENTINA,1.0,Physical Geography,4.0,Free to Read,1.0,COORDENACAO DE APERFEICOAMENTO DE PESSOAL DE NIVEL SUPERIOR CAPES,2.0
2019.0,1.0,,,P MYERS,2,Zoology,3.0,1.186 Chromosome Disorders,1.0,8.93.805 Mammalia,2.0,,,Social Sciences Citation Index (SSCI),1.0,INST DIVERSIDAD EVOLUC AUSTRAL IDEAUS CONICET,2.0,University Of Michigan Museum Of Zoology,2.0,BRAZILIAN JOURNAL OF BIOLOGY,1.0,,,ECUADOR,2.0,Amer Museum Natural History,1.0,Zoology,3.0,Green Submitted,6.0,ANPCYT,1.0
2018.0,1.0,,,"Stutz, Narla",2,Biology,2.0,3.40 Forestry,1.0,1.186.670 Chromosomal Evolution,1.0,,,,,INST NACL BIODIVERSIDAD INABIO,2.0,Federal University Of Lavras Department Of Forest Sciences,1.0,BULLETIN OF THE AMERICAN MUSEUM OF NATURAL HISTORY,1.0,,,CHILE,1.0,Asociacion Paleontologica Argentina,1.0,Life Sciences Biomedicine Other Topics,2.0,,,APOIO A PROJETOS DE PESQUISA CHAMADA MCTI CNPQ,1.0
2017.0,2.0,,,"Fernandez, Fernando J.",2,Agronomy,1.0,,,3.35.1587 Chiroptera,1.0,,,,,MUSEO LA PLATA,2.0,Institute Of Immunological And Physiopathological Studies,1.0,GENETICS AND MOLECULAR BIOLOGY,1.0,,,PARAGUAY,1.0,Inst Federal Sul Minas Gerais-I Fsuldeminas,1.0,Agriculture,1.0,,,BANCO SANTANDER,1.0
2016.0,3.0,,,"Silva, Maria José J",1,Biochemistry Molecular Biology,1.0,,,3.40.195 Biodiversity Conservation,1.0,,,,,NATIONAL UNIVERSITY OF LA PLATA,2.0,National University Of La Plata Faculty Of Exact Sciences,1.0,HISTORICAL BIOLOGY,1.0,,,PORTUGAL,1.0,Int Inst Ecology,1.0,Biochemistry Molecular Biology,1.0,,,CEMENTOS AVELLANEDA S A,1.0
2013.0,1.0,,,"D'Elía, Guillermo",1,Biodiversity Conservation,1.0,,,,,,,,,UNIVERSIDADE DE SAO PAULO,2.0,University Of Aveiro Department Of Biology,1.0,HOLOCENE,1.0,,,SPAIN,1.0,MUSEUM NAT HIST NATURELLE,1.0,Biodiversity Conservation,1.0,,,CENTRO DE PESQUISAS DO PANTANAL CPP,1.0
2012.0,1.0,,,"Ferreira, Eduardo",1,Ecology,1.0,,,,,,,,,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,2.0,,,MAMMALIA,1.0,,,,,Magnolia Press,1.0,Environmental Sciences Ecology,1.0,,,CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFICAS Y TECNICAS CONICET,1.0
2011.0,1.0,,,"Perini, Fernando",1,Genetics Heredity,1.0,,,,,,,,,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,2.0,,,PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY,1.0,,,,,Sage,1.0,Genetics Heredity,1.0,,,CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS CSIC,1.0
