Publication Years,Publication Years_Count,Document Types,Document Types_Count,Researcher Profiles,Researcher Profiles_Count,Web of Science Categories,Web of Science Categories_Count,Citation Topics Meso,Citation Topics Meso_Count,Citation Topics Micro,Citation Topics Micro_Count,Sustainable Development Goals,Sustainable Development Goals_Count,Web of Science Index,Web of Science Index_Count,Affiliations,Affiliations_Count,Affiliation with Department,Affiliation with Department_Count,Publication Titles,Publication Titles_Count,Languages,Languages_Count,Countries/Regions,Countries/Regions_Count,Publishers,Publishers_Count,Research Areas,Research Areas_Count,Open Access,Open Access_Count,Funding Agencies,Funding Agencies_Count
2024.0,2.0,Article,17.0,"Leiner, Natalia",4,Zoology,9.0,3.35 Zoology & Animal Ecology,9.0,3.35.721 Rodent Ecology,9.0,15 Life On Land,12.0,Science Citation Index Expanded (SCI-EXPANDED),17.0,UNIVERSIDADE DE BRASILIA,6.0,Federal University Of Santa Maria Centre For Natural And Exact Sciences,2.0,MAMMALIA,4.0,English,16.0,BRAZIL,16.0,Walter De Gruyter,4.0,Zoology,9.0,All Open Access,6.0,CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO CNPQ,10.0
2023.0,2.0,,,"Camargo, Nícholas F",4,Ecology,4.0,1.261 Parasitology - Trypanosoma & Leishmania,3.0,1.261.695 Leishmaniasis Dynamics,2.0,13 Climate Action,11.0,,,UNIVERSIDADE FEDERAL DE UBERLANDIA,4.0,University Of Brasilia Faculty Of Medicine,2.0,JOURNAL OF MAMMALOGY,2.0,Portuguese,1.0,USA,2.0,Springer Nature,3.0,Environmental Sciences Ecology,4.0,Gold,4.0,COORDENACAO DE APERFEICOAMENTO DE PESSOAL DE NIVEL SUPERIOR CAPES,6.0
2022.0,3.0,,,"Vieira, Emerson Monteiro",4,Parasitology,3.0,3.40 Forestry,2.0,3.40.195 Biodiversity Conservation,2.0,03 Good Health And Well Being,4.0,,,UNIVERSIDADE ESTADUAL DE GOIAS,2.0,California State University Sacramento College Of Natural Sciences Mathematics,1.0,ANIMAL CONSERVATION,1.0,,,ARGENTINA,1.0,Wiley,3.0,Parasitology,3.0,Free to Read,1.0,FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE SAO PAULO FAPESP,6.0
2021.0,3.0,,,"Gurgel-Goncalves, Rodrigo",3,Behavioral Sciences,1.0,1.258 Zoonotic Diseases,1.0,1.258.227 Tick-borne Pathogens,1.0,14 Life Below Water,2.0,,,UNIVERSIDADE FEDERAL DE SANTA MARIA UFSM,2.0,California State University Sacramento Department Of Biological Sciences,1.0,AUSTRAL ECOLOGY,1.0,,,CHILE,1.0,Oxford Univ Press,2.0,Behavioral Sciences,1.0,Green Submitted,4.0,FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE MINAS GERAIS FAPEMIG,2.0
2018.0,1.0,,,"Camargo, Anna",3,Biodiversity Conservation,1.0,3.64 Phylogenetics & Genomics,1.0,1.261.596 Trypanosoma Biology,1.0,,,,,CALIFORNIA STATE UNIVERSITY SACRAMENTO,1.0,Federal University Of Rio De Janeiro Department Of Ecology,1.0,BIOTROPICA,1.0,,,ENGLAND,1.0,Brazilian Coll Veterinary Parasitology,1.0,Biodiversity Conservation,1.0,,,FUNDACAO DE APOIO A PESQUISA DO DISTRITO FEDERAL FAPDF,2.0
2017.0,1.0,,,"Hannibal, Wellington",3,Entomology,1.0,8.93 Archaeology,1.0,3.64.34 Phylogenetic Relationships,1.0,,,,,CALIFORNIA STATE UNIVERSITY SYSTEM,1.0,Federal University Of Rio De Janeiro Health Sciences Centre,1.0,ETHOLOGY ECOLOGY EVOLUTION,1.0,,,,,Frontiers Media Sa,1.0,Entomology,1.0,,,AMERICAN PHILOSOPHICAL SOCIETY,1.0
2015.0,2.0,,,"Zangrandi, Priscilla L.",2,Tropical Medicine,1.0,,,8.93.1193 Stable Isotopes,1.0,,,,,CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFICAS Y TECNICAS CONICET,1.0,Federal University Of Rio De Janeiro Institute Of Biology,1.0,FRONTIERS IN ECOLOGY AND EVOLUTION,1.0,,,,,"Soc Brasileira Zoologia, Univ Federal Parana",1.0,Tropical Medicine,1.0,,,AMERICAN SOCIETY OF MAMMALOGISTS THROUGH LATIN AMERICAN,1.0
2011.0,1.0,,,"Mendonça, André",2,Veterinary Sciences,1.0,,,,,,,,,FIELD MUSEUM OF NATURAL HISTORY CHICAGO,1.0,Research Institute In The Environment And Biodiversity,1.0,MAMMAL RESEARCH,1.0,,,,,"Systematic & Applied Acarology Soc London, Natural History Museum",1.0,Veterinary Sciences,1.0,,,BOTANICAL GARDEN OF BRASILIA JARDIM BOTANICO DE BRASILIA JBB,1.0
2010.0,1.0,,,"Rossi, Rodrigo C.",2,,,,,,,,,,,INST CHICO MENDES CONSERVACAO BIODIVERSIDADE,1.0,Texas Tech University College Of Arts And Sciences,1.0,PARASITES VECTORS,1.0,,,,,Taylor & Francis,1.0,,,,,CNPQ PRODUCTIVITY GRANT,1.0
2008.0,1.0,,,"Armond, T.",2,,,,,,,,,,,INSTITUTO FEDERAL FARROUPILHA,1.0,Texas Tech University Department Of Biological Sciences,1.0,PARASITOLOGY RESEARCH,1.0,,,,,,,,,,,COMISION NACIONAL DE INVESTIGACION CIENTIFICA Y TECNOLOGICA CONICYT,1.0
