Publication Years,Publication Years_Count,Document Types,Document Types_Count,Researcher Profiles,Researcher Profiles_Count,Web of Science Categories,Web of Science Categories_Count,Citation Topics Meso,Citation Topics Meso_Count,Citation Topics Micro,Citation Topics Micro_Count,Sustainable Development Goals,Sustainable Development Goals_Count,Web of Science Index,Web of Science Index_Count,Affiliations,Affiliations_Count,Affiliation with Department,Affiliation with Department_Count,Publication Titles,Publication Titles_Count,Languages,Languages_Count,Countries/Regions,Countries/Regions_Count,Publishers,Publishers_Count,Research Areas,Research Areas_Count,Open Access,Open Access_Count,Funding Agencies,Funding Agencies_Count
2025.0,1.0,Article,6.0,"D'Andrea, Paulo S.",2,Entomology,2.0,1.261 Parasitology - Trypanosoma & Leishmania,2.0,8.93.805 Mammalia,2.0,03 Good Health And Well Being,3.0,Science Citation Index Expanded (SCI-EXPANDED),6.0,FUNDACAO OSWALDO CRUZ,3.0,Federal University Of Rio De Janeiro Health Sciences Centre,2.0,CYTOGENETIC AND GENOME RESEARCH,1.0,English,6.0,BRAZIL,6.0,Springer Nature,2.0,Entomology,2.0,All Open Access,4.0,CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO CNPQ,4.0
2023.0,1.0,,,"Otazu, I.",1,Zoology,2.0,8.93 Archaeology,2.0,1.186.670 Chromosomal Evolution,1.0,15 Life On Land,3.0,,,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,3.0,Federal University Of Rio De Janeiro Institute Of Biology,2.0,EXPERIMENTAL AND APPLIED ACAROLOGY,1.0,,,,,Karger,1.0,Zoology,2.0,Gold,1.0,FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE SAO PAULO FAPESP,4.0
2018.0,1.0,,,"Alvarez, Martín R",1,Cell Biology,1.0,1.186 Chromosome Disorders,1.0,1.258.227 Tick-borne Pathogens,1.0,13 Climate Action,2.0,,,NATIONAL CANCER INSTITUTE INCA,1.0,Federal University Of Rio De Janeiro Department Of Genetics,1.0,JOURNAL OF MAMMALIAN EVOLUTION,1.0,,,,,Magnolia Press,1.0,Cell Biology,1.0,Gold-Hybrid,1.0,COORDENACAO DE APERFEICOAMENTO DE PESSOAL DE NIVEL SUPERIOR CAPES,3.0
2014.0,1.0,,,"Lazar, Ana",1,Evolutionary Biology,1.0,1.258 Zoonotic Diseases,1.0,1.261.596 Trypanosoma Biology,1.0,,,,,UNIVERSIDAD DE EL SALVADOR,1.0,Federal University Of Rio De Janeiro Forum Of Science And Culture,1.0,MEDICAL AND VETERINARY ENTOMOLOGY,1.0,,,,,Public Library Science,1.0,Evolutionary Biology,1.0,Free to Read,1.0,FUNDACAO CARLOS CHAGAS FILHO DE AMPARO A PESQUISA DO ESTADO DO RIO DE JANEIRO FAPERJ,2.0
2011.0,1.0,,,Ianei De Oliveira Carneiro,1,Genetics Heredity,1.0,,,1.261.695 Leishmaniasis Dynamics,1.0,,,,,UNIVERSIDADE CATOLICA DOM BOSCO UCDB,1.0,Museu Nacional Ufrj,1.0,PLOS NEGLECTED TROPICAL DISEASES,1.0,,,,,Wiley,1.0,Genetics Heredity,1.0,Green Submitted,2.0,CNPQ MCTI CON FAP FAPS PELD,1.0
2002.0,1.0,,,"Marcili, Arlei",1,Infectious Diseases,1.0,,,,,,,,,UNIVERSIDADE DE SANTO AMARO UNISA,1.0,,,ZOOTAXA,1.0,,,,,,,Infectious Diseases,1.0,,,FUNDACAO DE AMPARO A PESQUISA DO ESTADO DA BAHIA FAPESB,1.0
,,,,"Maia, Maerle Oliveira",1,Parasitology,1.0,,,,,,,,,UNIVERSIDADE DE SAO PAULO,1.0,,,,,,,,,,,Parasitology,1.0,,,UESC,1.0
,,,,"Pessôa, Leila L M",1,Tropical Medicine,1.0,,,,,,,,,UNIVERSIDADE ESTADUAL DE SANTA CRUZ,1.0,,,,,,,,,,,Tropical Medicine,1.0,,,,
,,,,"Labruna, Marcelo B",1,Veterinary Sciences,1.0,,,,,,,,,UNIVERSIDADE FEDERAL DA BAHIA,1.0,,,,,,,,,,,Veterinary Sciences,1.0,,,,
,,,,"Cassia-Pires, Renata",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DE MATO GROSSO,1.0,,,,,,,,,,,,,,,,
