Publication Years,Publication Years_Count,Document Types,Document Types_Count,Researcher Profiles,Researcher Profiles_Count,Web of Science Categories,Web of Science Categories_Count,Citation Topics Meso,Citation Topics Meso_Count,Citation Topics Micro,Citation Topics Micro_Count,Sustainable Development Goals,Sustainable Development Goals_Count,Web of Science Index,Web of Science Index_Count,Affiliations,Affiliations_Count,Affiliation with Department,Affiliation with Department_Count,Publication Titles,Publication Titles_Count,Languages,Languages_Count,Countries/Regions,Countries/Regions_Count,Publishers,Publishers_Count,Research Areas,Research Areas_Count,Open Access,Open Access_Count,Funding Agencies,Funding Agencies_Count
2022.0,1.0,Article,3.0,"Schrago, Carlos",1,Zoology,2.0,3.64 Phylogenetics & Genomics,2.0,3.64.34 Phylogenetic Relationships,2.0,15 Life On Land,2.0,Science Citation Index Expanded (SCI-EXPANDED),3.0,FUNDACAO OSWALDO CRUZ,1.0,Federal University Of Rio De Janeiro Department Of Genetics,1.0,JOURNAL OF ZOOLOGICAL SYSTEMATICS AND EVOLUTIONARY RESEARCH,1.0,English,3.0,BRAZIL,3.0,Mdpi,1.0,Zoology,2.0,All Open Access,1.0,CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO CNPQ,2.0
2016.0,1.0,,,"Valença-Barbosa, Carolina VB",1,Evolutionary Biology,1.0,1.261 Parasitology - Trypanosoma & Leishmania,1.0,1.261.596 Trypanosoma Biology,1.0,03 Good Health And Well Being,1.0,,,INST RENE RACHOU FIOCRUZ MINAS GERAIS,1.0,Federal University Of Rio De Janeiro Health Sciences Centre,1.0,MAMMALIA,1.0,,,,,Walter De Gruyter,1.0,Evolutionary Biology,1.0,Gold,1.0,FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE SAO PAULO FAPESP,2.0
2014.0,1.0,,,"Fraga, Elmary da Costa",1,Microbiology,1.0,,,,,,,,,UNIVERSIDADE ESTADUAL DO MARANHAO,1.0,Federal University Of Rio De Janeiro Institute Of Biology,1.0,PATHOGENS,1.0,,,,,Wiley,1.0,Microbiology,1.0,Green Submitted,1.0,COORDENACAO DE APERFEICOAMENTO DE PESSOAL DE NIVEL SUPERIOR CAPES,1.0
,,,,"Borges-Veloso, Andre",1,,,,,,,,,,,UNIVERSIDADE ESTADUAL PAULISTA,1.0,,,,,,,,,,,,,,,COORDENACAO DE APERFEICOAMENTO DE PESSOAL DE NIVEL SUPERIOR CAPES FAPERJ,1.0
,,,,"Olimpio, Ana P. M.",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DA PARAIBA,1.0,,,,,,,,,,,,,,,FUNDACAO CARLOS CHAGAS FILHO DE AMPARO A PESQUISA DO ESTADO DO RIO DE JANEIRO FAPERJ,1.0
,,,,Carolina M Voloch,1,,,,,,,,,,,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,1.0,,,,,,,,,,,,,,,FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE MINAS GERAIS FAPEMIG,1.0
,,,,"Mello, Beatriz",1,,,,,,,,,,,,,,,,,,,,,,,,,,,MARANHAO STATE SCIENTIFIC RESEARCH AND DEVELOPMENT FOUNDATION FAPEMA,1.0
,,,,"Moreira, Otacilio",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Rita de Cassia Moreira de Souza,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Lileia Diotaiuti,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Barbosa, Silvia Ermelinda",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Alvarez, Marcus Vinicius Niz",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"do Nascimento, Daiane Chaves",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Campos, B. A. T. P.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Vilela, Julio",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Barros, Maria Claudene",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Finamore-Araujo, Paula",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Costa, Jociel",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
