Publication Years,Publication Years_Count,Document Types,Document Types_Count,Researcher Profiles,Researcher Profiles_Count,Web of Science Categories,Web of Science Categories_Count,Citation Topics Meso,Citation Topics Meso_Count,Citation Topics Micro,Citation Topics Micro_Count,Sustainable Development Goals,Sustainable Development Goals_Count,Web of Science Index,Web of Science Index_Count,Affiliations,Affiliations_Count,Affiliation with Department,Affiliation with Department_Count,Publication Titles,Publication Titles_Count,Languages,Languages_Count,Countries/Regions,Countries/Regions_Count,Publishers,Publishers_Count,Research Areas,Research Areas_Count,Open Access,Open Access_Count,Funding Agencies,Funding Agencies_Count
2025.0,1.0,Article,2.0,"Alvarez, Martín R",1,Zoology,2.0,1.261 Parasitology - Trypanosoma & Leishmania,1.0,1.261.695 Leishmaniasis Dynamics,1.0,03 Good Health And Well Being,1.0,Science Citation Index Expanded (SCI-EXPANDED),2.0,UNIVERSIDADE ESTADUAL DE SANTA CRUZ,1.0,Federal University Of Rio De Janeiro Forum Of Science And Culture,1.0,ANIMALS,1.0,English,2.0,BRAZIL,2.0,Mdpi,1.0,Zoology,2.0,All Open Access,2.0,CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO CNPQ,1.0
2016.0,1.0,,,"Fehlberg, Hllytchaikra F.",1,Agriculture Dairy Animal Science,1.0,3.64 Phylogenetics & Genomics,1.0,3.64.34 Phylogenetic Relationships,1.0,15 Life On Land,1.0,,,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,1.0,Museu Nacional Ufrj,1.0,JOURNAL OF MAMMALOGY,1.0,,,,,Oxford Univ Press,1.0,Agriculture,1.0,Gold,1.0,FOUNDATION FOR RESEARCH SUPPORT OF THE STATE OF BAHIA,1.0
,,,,"Maciel, Bianca M",1,Veterinary Sciences,1.0,,,,,,,,,,,,,,,,,,,,,Veterinary Sciences,1.0,Free to Read,1.0,STATE UNIVERSITY OF SANTA CRUZ,1.0
,,,,"Sevá, Anaiá P",1,,,,,,,,,,,,,,,,,,,,,,,,,Green Submitted,1.0,UNDERGRADUATE PROGRAMA INSTITUCIONAL DE BOLSA DE INICIACAO CIENTIFICA PIBIC CNPQ UFRJ FELLOWSHIP,1.0
,,,,"Rosa, Beatris Felipe",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Caccavo, Aldo",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Silva, Fabiana Q.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"de Souza, Graziela Baroni",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Albuquerque, George Rego",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ribeiro, cassia",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Oliveira, Joao A.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
