Publication Years,Publication Years_Count,Document Types,Document Types_Count,Researcher Profiles,Researcher Profiles_Count,Web of Science Categories,Web of Science Categories_Count,Citation Topics Meso,Citation Topics Meso_Count,Citation Topics Micro,Citation Topics Micro_Count,Sustainable Development Goals,Sustainable Development Goals_Count,Web of Science Index,Web of Science Index_Count,Affiliations,Affiliations_Count,Affiliation with Department,Affiliation with Department_Count,Publication Titles,Publication Titles_Count,Languages,Languages_Count,Countries/Regions,Countries/Regions_Count,Publishers,Publishers_Count,Research Areas,Research Areas_Count,Open Access,Open Access_Count,Funding Agencies,Funding Agencies_Count,Conference Titles,Conference Titles_Count
2025.0,3.0,Article,82.0,"Miglino, Maria Angelica",10,Zoology,27.0,3.35 Zoology & Animal Ecology,24.0,3.35.721 Rodent Ecology,22.0,03 Good Health And Well Being,44.0,Science Citation Index Expanded (SCI-EXPANDED),89.0,UNIVERSIDADE DE SAO PAULO,28,Federal University Of Rio De Janeiro Health Sciences Centre,4.0,MAMMALIAN BIOLOGY,9.0,English,86.0,BRAZIL,81.0,Elsevier,23.0,Zoology,27.0,All Open Access,52.0,CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO CNPQ,39,MEETING OF THE INTERNATIONAL FEDERATION OF PLACENTA ASSOCIATIONS IFPA,4.0
2024.0,4.0,Meeting Abstract,6.0,"Mess, Andrea Maria",9,Parasitology,20.0,1.228 Virology - Tropical Diseases,13.0,1.228.994 Viral Hemorrhagic Fevers,13.0,15 Life On Land,35.0,Conference Proceedings Citation Index – Science (CPCI-S),5.0,FUNDACAO OSWALDO CRUZ,15,Universidade De Sao Paulo Departamento De Ecologia,4.0,PLACENTA,6.0,Portuguese,2.0,ARGENTINA,10.0,Springer Nature,14.0,Parasitology,20.0,Gold,38.0,FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE SAO PAULO FAPESP,32,INTERNATIONAL FEDERATION OF PLACENTAL ASSOCIATIONS MEETING 2010,1.0
2023.0,5.0,Correction,1.0,"D'Andrea, Paulo S.",8,Ecology,13.0,1.163 Parasitology - General,7.0,1.163.645 Fish Parasitology,7.0,13 Climate Action,29.0,Emerging Sources Citation Index (ESCI),1.0,UNIVERSIDADE DE BRASILIA,11,Universidade De Sao Paulo Instituto De Biociencias,4.0,ACTA TROPICA,4.0,French,1.0,USA,6.0,Mdpi,7.0,Environmental Sciences Ecology,14.0,Gold-Hybrid,2.0,COORDENACAO DE APERFEICOAMENTO DE PESSOAL DE NIVEL SUPERIOR CAPES,24,,
2022.0,6.0,Review Article,1.0,"Favaron, Phelipe O",8,Tropical Medicine,13.0,1.258 Zoonotic Diseases,7.0,1.258.227 Tick-borne Pathogens,6.0,05 Gender Equality,3.0,Social Sciences Citation Index (SSCI),1.0,UNIVERSIDADE FEDERAL RURAL DO SEMI ARIDO UFERSA,10,Universidade De Sao Paulo Escola Superior De Agricultura Luiz De Queiroz,3.0,FRONTIERS IN ECOLOGY AND EVOLUTION,3.0,Spanish,1.0,DENMARK,4.0,Public Library Science,5.0,Tropical Medicine,13.0,Free to Read,7.0,FUNDACAO CARLOS CHAGAS FILHO DE AMPARO A PESQUISA DO ESTADO DO RIO DE JANEIRO FAPERJ,9,,
2021.0,8.0,,,"ERS, Lemos",5,Infectious Diseases,10.0,1.261 Parasitology - Trypanosoma & Leishmania,7.0,1.261.695 Leishmaniasis Dynamics,5.0,14 Life Below Water,3.0,,,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,7,University Of Brasilia Department Of Zoology,3.0,INTERNATIONAL JOURNAL FOR PARASITOLOGY PARASITES AND WILDLIFE,3.0,,,ENGLAND,3.0,Oxford Univ Press,4.0,Infectious Diseases,10.0,Green Published,3.0,FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE MINAS GERAIS FAPEMIG,5,,
2020.0,5.0,,,"de Oliveira, Moacir Franco",5,Reproductive Biology,8.0,3.64 Phylogenetics & Genomics,4.0,1.186.670 Chromosomal Evolution,3.0,02 Zero Hunger,1.0,,,CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFICAS Y TECNICAS CONICET,6,University Of Brasilia Institute Of Biological Sciences,3.0,JOURNAL OF MAMMALOGY,3.0,,,FRANCE,3.0,Wiley,4.0,Reproductive Biology,8.0,Green Accepted,3.0,CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFICAS Y TECNICAS CONICET,3,,
2019.0,5.0,,,"Oliveira, Moacir F.",5,Developmental Biology,7.0,1.125 Hepatitis,3.0,1.72.531 Preeclampsia Factors,3.0,,,,,UNIVERSIDADE FEDERAL DE UBERLANDIA,5,Cena,2.0,PLOS ONE,3.0,,,PORTUGAL,3.0,Cambridge Univ Press,3.0,Developmental Biology,7.0,Green Submitted,42.0,FUNDACAO PARA A CIENCIA E A TECNOLOGIA FCT,3,,
2018.0,7.0,,,"Vieira, Emerson Monteiro",5,Obstetrics Gynecology,6.0,1.186 Chromosome Disorders,3.0,8.93.805 Mammalia,3.0,,,,,INSTITUTE NACIONAL DE PESQUISAS DA AMAZONIA,4,Federal University Of Rio De Janeiro Ecological Research Centre Of Macae,2.0,REVISTA DA SOCIEDADE BRASILEIRA DE MEDICINA TROPICAL,3.0,,,SCOTLAND,3.0,Frontiers Media Sa,3.0,Obstetrics Gynecology,6.0,,,INSTITUTO OSWALDO CRUZ FIOCRUZ,3,,
2017.0,4.0,,,"Carter, Anthony Michael",4,Multidisciplinary Sciences,5.0,1.72 Obstetrics & Gynecology,3.0,1.125.1718 Hepatitis A And E,2.0,,,,,UNIVERSIDADE ESTADUAL PAULISTA,4,Federal University Of Rio De Janeiro Forum Of Science And Culture,2.0,JOURNAL OF HELMINTHOLOGY,2.0,,,CHILE,2.0,Soc Brasileira Medicina Tropical,3.0,Science Technology Other Topics,5.0,,,EUROPEAN UNION EU,2,,
2016.0,7.0,,,"Teixeira, Bernardo R",4,Biodiversity Conservation,4.0,3.40 Forestry,3.0,1.261.596 Trypanosoma Biology,2.0,,,,,UNIVERSITY OF SOUTHERN DENMARK,4,Federal University Of Rio De Janeiro Institute Of Biology,2.0,MAMMALIA,2.0,,,GERMANY,2.0,Csiro Publishing,2.0,Biodiversity Conservation,4.0,,,FONCYT,2,,
