Publication Years,Publication Years_Count,Document Types,Document Types_Count,Researcher Profiles,Researcher Profiles_Count,Web of Science Categories,Web of Science Categories_Count,Citation Topics Meso,Citation Topics Meso_Count,Citation Topics Micro,Citation Topics Micro_Count,Sustainable Development Goals,Sustainable Development Goals_Count,Web of Science Index,Web of Science Index_Count,Affiliations,Affiliations_Count,Affiliation with Department,Affiliation with Department_Count,Publication Titles,Publication Titles_Count,Languages,Languages_Count,Countries/Regions,Countries/Regions_Count,Publishers,Publishers_Count,Research Areas,Research Areas_Count,Open Access,Open Access_Count,Funding Agencies,Funding Agencies_Count
2025.0,1.0,Article,5.0,"ERS, Lemos",3,Ecology,3.0,1.228 Virology - Tropical Diseases,2.0,1.228.994 Viral Hemorrhagic Fevers,2.0,03 Good Health And Well Being,3.0,Science Citation Index Expanded (SCI-EXPANDED),6.0,FUNDACAO OSWALDO CRUZ,4.0,Federal University Of Rio De Janeiro Forum Of Science And Culture,2.0,AMERICAN MUSEUM NOVITATES,1.0,English,6.0,BRAZIL,5.0,Wiley,2.0,Environmental Sciences Ecology,3.0,All Open Access,3.0,CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO CNPQ,2.0
2024.0,1.0,Editorial Material,1.0,"de Oliveira, Renata Carvalho",2,Biodiversity Conservation,2.0,3.35 Zoology & Animal Ecology,2.0,3.35.721 Rodent Ecology,2.0,15 Life On Land,3.0,,,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,3.0,Museu Nacional Ufrj,2.0,AUSTRAL ECOLOGY,1.0,,,ARGENTINA,1.0,Amer Museum Natural History,1.0,Biodiversity Conservation,2.0,Gold,1.0,FUNDACAO CARLOS CHAGAS FILHO DE AMPARO A PESQUISA DO ESTADO DO RIO DE JANEIRO FAPERJ,2.0
2022.0,1.0,,,"Fernandes, Jorlan",2,Zoology,2.0,1.258 Zoonotic Diseases,1.0,1.258.227 Tick-borne Pathogens,1.0,13 Climate Action,2.0,,,NATIONAL CANCER INSTITUTE INCA,2.0,Federal University Of Rio De Janeiro Department Of Genetics,1.0,JOURNAL OF NATURAL HISTORY,1.0,,,ENGLAND,1.0,Fundaco Oswaldo Cruz,1.0,Zoology,2.0,Free to Read,1.0,ANPCYT,1.0
2019.0,1.0,,,"D'Andrea, Paulo S.",2,Entomology,1.0,3.64 Phylogenetics & Genomics,1.0,3.64.34 Phylogenetic Relationships,1.0,,,,,CTR TECNOL ENGN LTDA,1.0,Federal University Of Rio De Janeiro Health Sciences Centre,1.0,MEDICAL AND VETERINARY ENTOMOLOGY,1.0,,,ITALY,1.0,Springer Nature,1.0,Entomology,1.0,Green Submitted,2.0,COORDENACAO DE APERFEICOAMENTO DE PESSOAL DE NIVEL SUPERIOR CAPES,1.0
2018.0,1.0,,,"Bonvicino, Cibele",2,Marine Freshwater Biology,1.0,,,,,,,,,INST CIENCIAS VET LITORAL,1.0,Federal University Of Rio De Janeiro Institute Of Biology,1.0,MEMORIAS DO INSTITUTO OSWALDO CRUZ,1.0,,,,,Taylor & Francis,1.0,Marine Freshwater Biology,1.0,,,FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE SAO PAULO FAPESP,1.0
2017.0,1.0,,,"Guterres, Alexandro",1,Microbiology,1.0,,,,,,,,,MUSEU PARAENSE EMILIO GOELDI,1.0,University Of Rome La Sapienza Department Of Biology And Biotechnology Charles Darwin,1.0,MICROBIAL ECOLOGY,1.0,,,,,,,Microbiology,1.0,,,MINISTRY OF SCIENCE TECHNOLOGY AND INNOVATION MCTI CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO,1.0
,,,,"Schrago, Carlos",1,Parasitology,1.0,,,,,,,,,NATIONAL UNIVERSITY OF THE LITTORAL,1.0,University Of Rome La Sapienza Faculty Of Mathematical Physical And Natural Sciences,1.0,,,,,,,,,Parasitology,1.0,,,PROGRAMA DE INICIACAO CIENTIFICA E TECNOLOGICA,1.0
,,,,"Guterres, Alexandro",1,Tropical Medicine,1.0,,,,,,,,,PUBLIC HEALTH ENGLAND,1.0,,,,,,,,,,,Tropical Medicine,1.0,,,RICCARDO CASTIGLIA FONDI RICERCA UNIVERSITA DI ROMA LA SAPIENZA,1.0
,,,,"Lazar, Ana",1,Veterinary Sciences,1.0,,,,,,,,,SAPIENZA UNIVERSITY ROME,1.0,,,,,,,,,,,Veterinary Sciences,1.0,,,SAPIENZA UNIVERSITY ROME,1.0
,,,,"Beldomenico, P. M.",1,,,,,,,,,,,UNIV NACL SALTA,1.0,,,,,,,,,,,,,,,SPANISH GOVERNMENT,1.0
,,,,"Bezerra, Alexandra Maria Ramos",1,,,,,,,,,,,UNIVERSIDADE ESTADUAL DE GOIAS,1.0,,,,,,,,,,,,,,,,
,,,,"Teixeira, Bernardo R",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DO PARA,1.0,,,,,,,,,,,,,,,,
,,,,"Castiglia, Riccardo",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dávila, Alberto M. R.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Monje, Lucas Daniel",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Colombo, Valeria Carolina",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Weksler, Marcelo",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Bonvicino, Cibele R.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Antoniazzi, L.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Maia, Renata Malachini",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Barolin, Johann",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Hewson, Roger",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Jardim, Rodrigo",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ParreiraClaro, HermesWillyan",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"de Oliveira, Leony Dias",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Hannibal, Wellington",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Oliveira, Flavio C.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
