species,year,views
Caluromys_philander,2015,466
Caluromys_philander,2016,849
Caluromys_philander,2017,1493
Caluromys_philander,2018,1083
Caluromys_philander,2019,1662
Caluromys_philander,2020,2548
Caluromys_philander,2021,2173
Caluromys_philander,2022,1054
Caluromys_philander,2023,1370
Caluromys_philander,2024,1873
Caluromys_philander,2025,1547
Caluromys_philander,2026,279
Cryptonanus_agricolai,2015,151
Cryptonanus_agricolai,2016,297
Cryptonanus_agricolai,2017,262
Cryptonanus_agricolai,2018,384
Cryptonanus_agricolai,2019,513
Cryptonanus_agricolai,2020,578
Cryptonanus_agricolai,2021,342
Cryptonanus_agricolai,2022,117
Cryptonanus_agricolai,2023,172
Cryptonanus_agricolai,2024,234
Cryptonanus_agricolai,2025,218
Cryptonanus_agricolai,2026,42
Didelphis_albiventris,2015,629
Didelphis_albiventris,2016,1214
Didelphis_albiventris,2017,1145
Didelphis_albiventris,2018,1030
Didelphis_albiventris,2019,1269
Didelphis_albiventris,2020,1734
Didelphis_albiventris,2021,2060
Didelphis_albiventris,2022,1570
Didelphis_albiventris,2023,2018
Didelphis_albiventris,2024,2416
Didelphis_albiventris,2025,2777
Didelphis_albiventris,2026,578
Didelphis_marsupialis,2015,519
Didelphis_marsupialis,2016,1082
Didelphis_marsupialis,2017,1030
Didelphis_marsupialis,2018,968
Didelphis_marsupialis,2019,1231
Didelphis_marsupialis,2020,1698
Didelphis_marsupialis,2021,2056
Didelphis_marsupialis,2022,1520
Didelphis_marsupialis,2023,1884
Didelphis_marsupialis,2024,1939
Didelphis_marsupialis,2025,2158
Didelphis_marsupialis,2026,459
Gracilinanus_agilis,2015,293
Gracilinanus_agilis,2016,575
Gracilinanus_agilis,2017,527
Gracilinanus_agilis,2018,882
Gracilinanus_agilis,2019,1087
Gracilinanus_agilis,2020,2773
Gracilinanus_agilis,2021,3458
Gracilinanus_agilis,2022,2235
Gracilinanus_agilis,2023,3156
Gracilinanus_agilis,2024,5104
Gracilinanus_agilis,2025,2441
Gracilinanus_agilis,2026,502
Gracilinanus_microtarsus,2015,494
Gracilinanus_microtarsus,2016,1007
Gracilinanus_microtarsus,2017,937
Gracilinanus_microtarsus,2018,894
Gracilinanus_microtarsus,2019,843
Gracilinanus_microtarsus,2020,1051
Gracilinanus_microtarsus,2021,871
Gracilinanus_microtarsus,2022,706
Gracilinanus_microtarsus,2023,1016
Gracilinanus_microtarsus,2024,1251
Gracilinanus_microtarsus,2025,961
Gracilinanus_microtarsus,2026,189
Marmosa_demerarae,2015,134
Marmosa_demerarae,2016,308
Marmosa_demerarae,2017,288
Marmosa_demerarae,2018,282
Marmosa_demerarae,2019,408
Marmosa_demerarae,2020,331
Marmosa_demerarae,2021,345
Marmosa_demerarae,2022,467
Marmosa_demerarae,2023,544
Marmosa_demerarae,2024,707
Marmosa_demerarae,2025,622
Marmosa_demerarae,2026,116
Marmosa_murina,2015,259
Marmosa_murina,2016,587
Marmosa_murina,2017,2571
Marmosa_murina,2018,3109
Marmosa_murina,2019,980
Marmosa_murina,2020,698
Marmosa_murina,2021,957
Marmosa_murina,2022,1181
Marmosa_murina,2023,1358
Marmosa_murina,2024,1421
Marmosa_murina,2025,1135
Marmosa_murina,2026,184
Marmosops_incanus,2015,157
Marmosops_incanus,2016,402
Marmosops_incanus,2017,338
Marmosops_incanus,2018,347
Marmosops_incanus,2019,429
Marmosops_incanus,2020,380
Marmosops_incanus,2021,308
Marmosops_incanus,2022,86
Marmosops_incanus,2023,119
Marmosops_incanus,2024,161
Marmosops_incanus,2025,170
Marmosops_incanus,2026,40
Monodelphis_americana,2015,260
Monodelphis_americana,2016,487
Monodelphis_americana,2017,499
Monodelphis_americana,2018,679
Monodelphis_americana,2019,621
Monodelphis_americana,2020,593
Monodelphis_americana,2021,319
Monodelphis_americana,2022,104
Monodelphis_americana,2023,183
Monodelphis_americana,2024,173
Monodelphis_americana,2025,180
Monodelphis_americana,2026,37
Monodelphis_domestica,2015,N/A
Monodelphis_domestica,2016,N/A
Monodelphis_domestica,2017,N/A
Monodelphis_domestica,2018,N/A
Monodelphis_domestica,2019,699
Monodelphis_domestica,2020,2560
Monodelphis_domestica,2021,2215
Monodelphis_domestica,2022,2366
Monodelphis_domestica,2023,3430
Monodelphis_domestica,2024,3079
Monodelphis_domestica,2025,2977
Monodelphis_domestica,2026,591
Thylamys_karimii,2015,90
Thylamys_karimii,2016,194
Thylamys_karimii,2017,165
Thylamys_karimii,2018,143
Thylamys_karimii,2019,242
Thylamys_karimii,2020,333
Thylamys_karimii,2021,286
Thylamys_karimii,2022,299
Thylamys_karimii,2023,413
Thylamys_karimii,2024,520
Thylamys_karimii,2025,486
Thylamys_karimii,2026,104
