species,year,views
Akodon_cursor,2015,226
Akodon_cursor,2016,508
Akodon_cursor,2017,432
Akodon_cursor,2018,392
Akodon_cursor,2019,493
Akodon_cursor,2020,373
Akodon_cursor,2021,510
Akodon_cursor,2022,636
Akodon_cursor,2023,563
Akodon_cursor,2024,795
Akodon_cursor,2025,713
Akodon_cursor,2026,61
Calomys_expulsus,2015,100
Calomys_expulsus,2016,264
Calomys_expulsus,2017,242
Calomys_expulsus,2018,239
Calomys_expulsus,2019,276
Calomys_expulsus,2020,250
Calomys_expulsus,2021,296
Calomys_expulsus,2022,370
Calomys_expulsus,2023,433
Calomys_expulsus,2024,450
Calomys_expulsus,2025,418
Calomys_expulsus,2026,43
Calomys_mattevii,2015,--
Calomys_mattevii,2016,--
Calomys_mattevii,2017,--
Calomys_mattevii,2018,--
Calomys_mattevii,2019,--
Calomys_mattevii,2020,--
Calomys_mattevii,2021,--
Calomys_mattevii,2022,--
Calomys_mattevii,2023,55
Calomys_mattevii,2024,188
Calomys_mattevii,2025,187
Calomys_mattevii,2026,17
Cerradomys_langguthi,2015,111
Cerradomys_langguthi,2016,526
Cerradomys_langguthi,2017,722
Cerradomys_langguthi,2018,497
Cerradomys_langguthi,2019,388
Cerradomys_langguthi,2020,380
Cerradomys_langguthi,2021,425
Cerradomys_langguthi,2022,558
Cerradomys_langguthi,2023,762
Cerradomys_langguthi,2024,806
Cerradomys_langguthi,2025,801
Cerradomys_langguthi,2026,53
Cerradomys_vivoi,2015,83
Cerradomys_vivoi,2016,204
Cerradomys_vivoi,2017,405
Cerradomys_vivoi,2018,314
Cerradomys_vivoi,2019,223
Cerradomys_vivoi,2020,298
Cerradomys_vivoi,2021,256
Cerradomys_vivoi,2022,275
Cerradomys_vivoi,2023,217
Cerradomys_vivoi,2024,248
Cerradomys_vivoi,2025,253
Cerradomys_vivoi,2026,26
Euryoryzomys_russatus,2015,154
Euryoryzomys_russatus,2016,329
Euryoryzomys_russatus,2017,242
Euryoryzomys_russatus,2018,272
Euryoryzomys_russatus,2019,332
Euryoryzomys_russatus,2020,338
Euryoryzomys_russatus,2021,415
Euryoryzomys_russatus,2022,492
Euryoryzomys_russatus,2023,505
Euryoryzomys_russatus,2024,582
Euryoryzomys_russatus,2025,653
Euryoryzomys_russatus,2026,50
Galea_spixii,2015,395
Galea_spixii,2016,905
Galea_spixii,2017,787
Galea_spixii,2018,762
Galea_spixii,2019,890
Galea_spixii,2020,1097
Galea_spixii,2021,1166
Galea_spixii,2022,1110
Galea_spixii,2023,1277
Galea_spixii,2024,1624
Galea_spixii,2025,2197
Galea_spixii,2026,163
Holochilus_oxe,2015,--
Holochilus_oxe,2016,--
Holochilus_oxe,2017,--
Holochilus_oxe,2018,--
Holochilus_oxe,2019,--
Holochilus_oxe,2020,--
Holochilus_oxe,2021,--
Holochilus_oxe,2022,--
Holochilus_oxe,2023,64
Holochilus_oxe,2024,192
Holochilus_oxe,2025,184
Holochilus_oxe,2026,15
Holochilus_sciureus,2015,120
Holochilus_sciureus,2016,270
Holochilus_sciureus,2017,229
Holochilus_sciureus,2018,217
Holochilus_sciureus,2019,322
Holochilus_sciureus,2020,368
Holochilus_sciureus,2021,378
Holochilus_sciureus,2022,303
Holochilus_sciureus,2023,334
Holochilus_sciureus,2024,384
Holochilus_sciureus,2025,373
Holochilus_sciureus,2026,37
Hylaeamys_megacephalus,2015,174
Hylaeamys_megacephalus,2016,311
Hylaeamys_megacephalus,2017,223
Hylaeamys_megacephalus,2018,282
Hylaeamys_megacephalus,2019,294
Hylaeamys_megacephalus,2020,290
Hylaeamys_megacephalus,2021,341
Hylaeamys_megacephalus,2022,324
Hylaeamys_megacephalus,2023,318
Hylaeamys_megacephalus,2024,318
Hylaeamys_megacephalus,2025,259
Hylaeamys_megacephalus,2026,23
Kerodon_rupestris,2015,298
Kerodon_rupestris,2016,648
Kerodon_rupestris,2017,553
Kerodon_rupestris,2018,495
Kerodon_rupestris,2019,505
Kerodon_rupestris,2020,619
Kerodon_rupestris,2021,539
Kerodon_rupestris,2022,623
Kerodon_rupestris,2023,808
Kerodon_rupestris,2024,899
Kerodon_rupestris,2025,601
Kerodon_rupestris,2026,62
Makalata_didelphoides,2015,102
Makalata_didelphoides,2016,228
Makalata_didelphoides,2017,167
Makalata_didelphoides,2018,164
Makalata_didelphoides,2019,198
Makalata_didelphoides,2020,204
Makalata_didelphoides,2021,246
Makalata_didelphoides,2022,345
Makalata_didelphoides,2023,283
Makalata_didelphoides,2024,279
Makalata_didelphoides,2025,325
Makalata_didelphoides,2026,28
Necromys_lasiurus,2015,976
Necromys_lasiurus,2016,1756
Necromys_lasiurus,2017,1896
Necromys_lasiurus,2018,1910
Necromys_lasiurus,2019,2401
Necromys_lasiurus,2020,3223
Necromys_lasiurus,2021,2584
Necromys_lasiurus,2022,2377
Necromys_lasiurus,2023,3681
Necromys_lasiurus,2024,2778
Necromys_lasiurus,2025,3112
Necromys_lasiurus,2026,176
Nectomys_rattus,2015,128
Nectomys_rattus,2016,264
