Ordem,Família,Espécie,Ano,Visualizaç?es
Rodentia,Caviidae,Galea spixii,2015,255
,,Galea spixii,2016,556
,,Galea spixii,2017,582
,,Galea spixii,2018,572
,,Galea spixii,2019,621
,,Galea spixii,2020,664
,,Galea spixii,2021,687
,,Galea spixii,2022,646
,,Galea spixii,2023,665
,,Galea spixii,2024,951
,,Galea spixii,2025,1147
,,Galea spixii,2026,81
,,Kerodon rupestris,2015,205
,,Kerodon rupestris,2016,419
,,Kerodon rupestris,2017,410
,,Kerodon rupestris,2018,332
,,Kerodon rupestris,2019,341
,,Kerodon rupestris,2020,421
,,Kerodon rupestris,2021,390
,,Kerodon rupestris,2022,430
,,Kerodon rupestris,2023,591
,,Kerodon rupestris,2024,702
,,Kerodon rupestris,2025,422
,Cricetidae ,Akodon cursor,2015,138
,,Akodon cursor,2016,289
,,Akodon cursor,2017,295
,,Akodon cursor,2018,256
,,Akodon cursor,2019,306
,,Akodon cursor,2020,231
,,Akodon cursor,2021,252
,,Akodon cursor,2022,276
,,Akodon cursor,2023,290
,,Akodon cursor,2024,443
,,Akodon cursor,2025,415
,,Calomys expulsus,2015,40
,,Calomys expulsus,2016,114
,,Calomys expulsus,2017,112
,,Calomys expulsus,2018,130
,,Calomys expulsus,2019,126
,,Calomys expulsus,2020,102
,,Calomys expulsus,2021,100
,,Calomys expulsus,2022,156
,,Calomys expulsus,2023,161
,,Calomys expulsus,2024,177
,,Calomys expulsus,2025,160
,,Calomys mattevii,2015,N/A
,,Calomys mattevii,2016,N/A
,,Calomys mattevii,2017,N/A
,,Calomys mattevii,2018,N/A
,,Calomys mattevii,2019,N/A
,,Calomys mattevii,2020,N/A
,,Calomys mattevii,2021,N/A
,,Calomys mattevii,2022,N/A
,,Calomys mattevii,2023,10
,,Calomys mattevii,2024,62
,,Calomys mattevii,2025,58
,,Cerradomys langguthi,2015,44
,,Cerradomys langguthi,2016,96
,,Cerradomys langguthi,2017,61
,,Cerradomys langguthi,2018,83
,,Cerradomys langguthi,2019,77
,,Cerradomys langguthi,2020,68
,,Cerradomys langguthi,2021,47
,,Cerradomys langguthi,2022,56
,,Cerradomys langguthi,2023,69
,,Cerradomys langguthi,2024,99
,,Cerradomys langguthi,2025,89
,,Cerradomys vivoi,2015,32
,,Cerradomys vivoi,2016,81
,,Cerradomys vivoi,2017,90
,,Cerradomys vivoi,2018,72
,,Cerradomys vivoi,2019,77
,,Cerradomys vivoi,2020,64
,,Cerradomys vivoi,2021,61
,,Cerradomys vivoi,2022,60
,,Cerradomys vivoi,2023,65
,,Cerradomys vivoi,2024,78
,,Cerradomys vivoi,2025,78
,,Euryoryzomys russatus,2015,78
,,Euryoryzomys russatus,2016,136
,,Euryoryzomys russatus,2017,139
,,Euryoryzomys russatus,2018,179
,,Euryoryzomys russatus,2019,166
,,Euryoryzomys russatus,2020,142
,,Euryoryzomys russatus,2021,160
,,Euryoryzomys russatus,2022,254
,,Euryoryzomys russatus,2023,227
,,Euryoryzomys russatus,2024,264
,,Euryoryzomys russatus,2025,259
,,Holochilus oxe,2015,N/A
,,Holochilus oxe,2016,N/A
,,Holochilus oxe,2017,N/A
,,Holochilus oxe,2018,N/A
,,Holochilus oxe,2019,N/A
,,Holochilus oxe,2020,N/A
,,Holochilus oxe,2021,N/A
,,Holochilus oxe,2022,N/A
,,Holochilus oxe,2023,14
,,Holochilus oxe,2024,51
,,Holochilus oxe,2025,75
,,Holochilus sciureus,2015,68
,,Holochilus sciureus,2016,131
,,Holochilus sciureus,2017,108
,,Holochilus sciureus,2018,115
,,Holochilus sciureus,2019,129
,,Holochilus sciureus,2020,141
,,Holochilus sciureus,2021,116
,,Holochilus sciureus,2022,101
,,Holochilus sciureus,2023,141
,,Holochilus sciureus,2024,166
,,Holochilus sciureus,2025,184
,,Hylaeamys megacephalus,2015,77
,,Hylaeamys megacephalus,2016,127
,,Hylaeamys megacephalus,2017,99
,,Hylaeamys megacephalus,2018,167
,,Hylaeamys megacephalus,2019,139
,,Hylaeamys megacephalus,2020,136
,,Hylaeamys megacephalus,2021,121
,,Hylaeamys megacephalus,2022,127
,,Hylaeamys megacephalus,2023,125
,,Hylaeamys megacephalus,2024,105
,,Hylaeamys megacephalus,2025,93
,,Necromys lasiurus,2015,835
,,Necromys lasiurus,2016,1398
,,Necromys lasiurus,2017,1679
,,Necromys lasiurus,2018,1678
,,Necromys lasiurus,2019,2081
,,Necromys lasiurus,2020,2637
,,Necromys lasiurus,2021,2009
,,Necromys lasiurus,2022,1504
,,Necromys lasiurus,2023,2061
,,Necromys lasiurus,2024,1766
,,Necromys lasiurus,2025,1896
,,Nectomys rattus,2015,37
,,Nectomys rattus,2016,103
,,Nectomys rattus,2017,83
,,Nectomys rattus,2018,95
,,Nectomys rattus,2019,86
,,Nectomys rattus,2020,73
,,Nectomys rattus,2021,64
,,Nectomys rattus,2022,100
,,Nectomys rattus,2023,75
,,Nectomys rattus,2024,88
,,Nectomys rattus,2025,103
,,Nectomys squamipes,2015,137
,,Nectomys squamipes,2016,366
,,Nectomys squamipes,2017,336
,,Nectomys squamipes,2018,354
,,Nectomys squamipes,2019,317
,,Nectomys squamipes,2020,304
,,Nectomys squamipes,2021,434
,,Nectomys squamipes,2022,657
,,Nectomys squamipes,2023,655
,,Nectomys squamipes,2024,791
,,Nectomys squamipes,2025,712
,,Oecomys catherinae,2015,38
,,Oecomys catherinae,2016,86
,,Oecomys catherinae,2017,60
,,Oecomys catherinae,2018,72
,,Oecomys catherinae,2019,67
,,Oecomys catherinae,2020,73
,,Oecomys catherinae,2021,71
,,Oecomys catherinae,2022,64
,,Oecomys catherinae,2023,81
,,Oecomys catherinae,2024,106
,,Oecomys catherinae,2025,118
,,Oligoryzomys mattogrossae,2015,N/A
,,Oligoryzomys mattogrossae,2016,N/A
,,Oligoryzomys mattogrossae,2017,N/A
,,Oligoryzomys mattogrossae,2018,N/A
,,Oligoryzomys mattogrossae,2019,N/A
,,Oligoryzomys mattogrossae,2020,N/A
,,Oligoryzomys mattogrossae,2021,N/A
,,Oligoryzomys mattogrossae,2022,N/A
,,Oligoryzomys mattogrossae,2023,N/A
,,Oligoryzomys mattogrossae,2024,N/A
,,Oligoryzomys mattogrossae,2025,N/A
,,Oligoryzomys nigripes,2015,151
,,Oligoryzomys nigripes,2016,289
,,Oligoryzomys nigripes,2017,330
,,Oligoryzomys nigripes,2018,425
,,Oligoryzomys nigripes,2019,299
,,Oligoryzomys nigripes,2020,351
,,Oligoryzomys nigripes,2021,295
,,Oligoryzomys nigripes,2022,235
,,Oligoryzomys nigripes,2023,281
,,Oligoryzomys nigripes,2024,335
,,Oligoryzomys nigripes,2025,293
,,Oligoryzomys rupestris,2015,23
,,Oligoryzomys rupestris,2016,58
,,Oligoryzomys rupestris,2017,65
,,Oligoryzomys rupestris,2018,62
,,Oligoryzomys rupestris,2019,86
,,Oligoryzomys rupestris,2020,54
,,Oligoryzomys rupestris,2021,47
,,Oligoryzomys rupestris,2022,57
,,Oligoryzomys rupestris,2023,69
,,Oligoryzomys rupestris,2024,77
,,Oligoryzomys rupestris,2025,92
,,Oligoryzomys stramineus,2015,25
,,Oligoryzomys stramineus,2016,66
,,Oligoryzomys stramineus,2017,58
,,Oligoryzomys stramineus,2018,50
,,Oligoryzomys stramineus,2019,45
,,Oligoryzomys stramineus,2020,39
,,Oligoryzomys stramineus,2021,50
,,Oligoryzomys stramineus,2022,57
,,Oligoryzomys stramineus,2023,55
,,Oligoryzomys stramineus,2024,66
,,Oligoryzomys stramineus,2025,86
,,Oxymycterus dasytrichus,2015,41
,,Oxymycterus dasytrichus,2016,64
,,Oxymycterus dasytrichus,2017,78
,,Oxymycterus dasytrichus,2018,97
,,Oxymycterus dasytrichus,2019,84
,,Oxymycterus dasytrichus,2020,58
,,Oxymycterus dasytrichus,2021,63
,,Oxymycterus dasytrichus,2022,63
,,Oxymycterus dasytrichus,2023,84
,,Oxymycterus dasytrichus,2024,91
,,Oxymycterus dasytrichus,2025,121
,,Oxymycterus delator,2015,35
,,Oxymycterus delator,2016,48
,,Oxymycterus delator,2017,38
,,Oxymycterus delator,2018,62
,,Oxymycterus delator,2019,75
,,Oxymycterus delator,2020,61
,,Oxymycterus delator,2021,46
,,Oxymycterus delator,2022,54
,,Oxymycterus delator,2023,50
,,Oxymycterus delator,2024,59
,,Oxymycterus delator,2025,62
,,Pseudoryzomys simplex,2015,35
,,Pseudoryzomys simplex,2016,75
,,Pseudoryzomys simplex,2017,66
,,Pseudoryzomys simplex,2018,91
,,Pseudoryzomys simplex,2019,125
,,Pseudoryzomys simplex,2020,86
,,Pseudoryzomys simplex,2021,85
,,Pseudoryzomys simplex,2022,97
,,Pseudoryzomys simplex,2023,89
,,Pseudoryzomys simplex,2024,94
,,Pseudoryzomys simplex,2025,105
,,Rhipidomys cariri,2015,23
,,Rhipidomys cariri,2016,66
,,Rhipidomys cariri,2017,87
,,Rhipidomys cariri,2018,105
,,Rhipidomys cariri,2019,84
,,Rhipidomys cariri,2020,85
,,Rhipidomys cariri,2021,50
,,Rhipidomys cariri,2022,202
,,Rhipidomys cariri,2023,93
,,Rhipidomys cariri,2024,119
,,Rhipidomys cariri,2025,148
,,Rhipidomys macrurus,2015,49
,,Rhipidomys macrurus,2016,90
,,Rhipidomys macrurus,2017,76
,,Rhipidomys macrurus,2018,100
,,Rhipidomys macrurus,2019,91
,,Rhipidomys macrurus,2020,62
,,Rhipidomys macrurus,2021,93
,,Rhipidomys macrurus,2022,181
,,Rhipidomys macrurus,2023,176
,,Rhipidomys macrurus,2024,180
,,Rhipidomys macrurus,2025,183
,,Rhipidomys mastacalis,2015,48
,,Rhipidomys mastacalis,2016,120
,,Rhipidomys mastacalis,2017,236
,,Rhipidomys mastacalis,2018,306
,,Rhipidomys mastacalis,2019,281
,,Rhipidomys mastacalis,2020,309
,,Rhipidomys mastacalis,2021,343
,,Rhipidomys mastacalis,2022,273
,,Rhipidomys mastacalis,2023,226
,,Rhipidomys mastacalis,2024,274
