Publication Years,Publication Years_Count,Document Types,Document Types_Count,Researcher Profiles,Researcher Profiles_Count,Web of Science Categories,Web of Science Categories_Count,Citation Topics Meso,Citation Topics Meso_Count,Citation Topics Micro,Citation Topics Micro_Count,Sustainable Development Goals,Sustainable Development Goals_Count,Web of Science Index,Web of Science Index_Count,Affiliations,Affiliations_Count,Affiliation with Department,Affiliation with Department_Count,Publication Titles,Publication Titles_Count,Languages,Languages_Count,Countries/Regions,Countries/Regions_Count,Publishers,Publishers_Count,Research Areas,Research Areas_Count,Open Access,Open Access_Count,Funding Agencies,Funding Agencies_Count,Group Authors,Group Authors_Count
2025.0,1.0,Article,31.0,"Percequillo, Alexandre",6,Zoology,14.0,1.163 Parasitology - General,8.0,1.163.645 Fish Parasitology,8.0,03 Good Health And Well Being,14.0,Science Citation Index Expanded (SCI-EXPANDED),31.0,UNIVERSIDADE DE SAO PAULO,11,Universidade De Sao Paulo Escola Superior De Agricultura Luiz De Queiroz,5.0,STUDIES ON NEOTROPICAL FAUNA AND ENVIRONMENT,3.0,English,31.0,BRAZIL,26.0,Springer Nature,6.0,Zoology,14.0,All Open Access,17.0,CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO CNPQ,21.0,MOL ECOLOGY RESOURCES PRIMER DEV C,1.0
2024.0,1.0,,,Ricardo Siqueira Bovendorp,4,Parasitology,9.0,3.35 Zoology & Animal Ecology,7.0,3.35.721 Rodent Ecology,6.0,15 Life On Land,14.0,,,UNIVERSIDADE ESTADUAL DE SANTA CRUZ,5,Universidade De Sao Paulo Escola Superior De Agricultura Luiz De Queiroz Departamento De Ciencias Biologicas,4.0,INTERNATIONAL JOURNAL FOR PARASITOLOGY PARASITES AND WILDLIFE,2.0,,,ARGENTINA,6.0,Elsevier,4.0,Parasitology,9.0,Gold,7.0,FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE SAO PAULO FAPESP,21.0,,
2023.0,1.0,,,"Gentile, Rosana",4,Ecology,5.0,3.64 Phylogenetics & Genomics,5.0,3.64.34 Phylogenetic Relationships,4.0,13 Climate Action,8.0,,,FUNDACAO OSWALDO CRUZ,4,Universidade De Sao Paulo Departamento De Ecologia,2.0,MAMMALIA,2.0,,,USA,3.0,Taylor & Francis,4.0,Environmental Sciences Ecology,5.0,Gold-Hybrid,2.0,COORDENACAO DE APERFEICOAMENTO DE PESSOAL DE NIVEL SUPERIOR CAPES,10.0,,
2022.0,2.0,,,"Alvarez, Martín R",3,Biochemistry Molecular Biology,3.0,1.258 Zoonotic Diseases,3.0,1.258.227 Tick-borne Pathogens,3.0,14 Life Below Water,4.0,,,UNIVERSIDADE ESTADUAL PAULISTA,4,Universidade De Sao Paulo Faculdade De Filosofia Ciencias E Letras De Ribeirao Preto,2.0,PARASITOLOGY RESEARCH,2.0,,,GERMANY,2.0,Cambridge Univ Press,2.0,Biochemistry Molecular Biology,3.0,Free to Read,3.0,FEDERAL MINISTRY OF EDUCATION RESEARCH BMBF,3.0,,
2021.0,2.0,,,"Labruna, Marcelo B",3,Biodiversity Conservation,3.0,3.40 Forestry,3.0,3.40.195 Biodiversity Conservation,2.0,,,,,CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFICAS Y TECNICAS CONICET,3,Universidade De Sao Paulo Instituto De Biociencias,2.0,ACTA PARASITOLOGICA,1.0,,,CHILE,1.0,Oxford Univ Press,2.0,Biodiversity Conservation,3.0,Green Accepted,1.0,FUNDACAO CARLOS CHAGAS FILHO DE AMPARO A PESQUISA DO ESTADO DO RIO DE JANEIRO FAPERJ,3.0,,
2020.0,2.0,,,"Maldonado Junior, Arnaldo",3,Veterinary Sciences,3.0,1.148 Medical Mycology,1.0,1.148.931 Fungal Pathogenesis,1.0,,,,,UNIVERSIDADE FEDERAL DO PARANA,3,Bell Museum,1.0,BIOCHEMICAL GENETICS,1.0,,,ENGLAND,1.0,Walter De Gruyter,2.0,Veterinary Sciences,3.0,Green Submitted,11.0,CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFICAS Y TECNICAS CONICET,2.0,,
2019.0,1.0,,,"Costa, Natalia",3,Biology,2.0,1.228 Virology - Tropical Diseases,1.0,1.228.994 Viral Hemorrhagic Fevers,1.0,,,,,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,3,Federal University Of Lavras Department Of Biology,1.0,BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,1.0,,,FINLAND,1.0,Wiley,2.0,Evolutionary Biology,2.0,,,FUNDACAO DE APOIO A PESQUISA DO DISTRITO FEDERAL FAPDF,2.0,,
2018.0,3.0,,,"Naxara, Laura",2,Evolutionary Biology,2.0,1.261 Parasitology - Trypanosoma & Leishmania,1.0,1.261.695 Leishmaniasis Dynamics,1.0,,,,,NATIONAL UNIVERSITY OF LA PLATA,2,Federal University Of Parana Biological Sciences Sector,1.0,BIOTA NEOTROPICA,1.0,,,FRANCE,1.0,Alliance Communications Group Division Allen Press,1.0,Genetics Heredity,2.0,,,INSTITUTO OSWALDO CRUZ,2.0,,
2017.0,3.0,,,"Pinotti, B",2,Genetics Heredity,2.0,3.97 Plant Pathology,1.0,3.35.1587 Chiroptera,1.0,,,,,UNIVERSIDADE FEDERAL DE SANTA CATARINA UFSC,2,Federal University Of Parana Department Of Zoology,1.0,BRAZILIAN JOURNAL OF BIOLOGY,1.0,,,INDIA,1.0,Assoc Teriologica Italiana,1.0,Life Sciences Biomedicine Other Topics,2.0,,,AGENCIA NACIONAL DE PROMOCION DE LA INVESTIGACION EL DESARROLLO TECNOLOGICO Y LA INNOVACION,1.0,,
2016.0,1.0,,,"Digiani, Maria Celina",2,Microbiology,2.0,8.93 Archaeology,1.0,3.40.86 Plant Communities,1.0,,,,,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,2,Federal University Of Rio De Janeiro Department Of Ecology,1.0,ECOHEALTH,1.0,,,IRAN,1.0,Brazilian Coll Veterinary Parasitology,1.0,Microbiology,2.0,,,AMERICAN MUSEUM OF NATURAL HISTORY,1.0,,
2015.0,3.0,,,"Panisse, Guillermo",2,Entomology,1.0,,,3.64.71 Genetic Diversity,1.0,,,,,UNIVERSITY OF BUENOS AIRES,2,Federal University Of Rio De Janeiro Health Sciences Centre,1.0,GENETICS AND MOLECULAR BIOLOGY,1.0,,,ITALY,1.0,Int Inst Ecology,1.0,Entomology,1.0,,,ANPCYT,1.0,,
2014.0,1.0,,,"Boullosa, Raquel G.",2,Environmental Sciences,1.0,,,3.97.1439 Phytophthora Management,1.0,,,,,ABRII,1,Federal University Of Rio De Janeiro Institute Of Biology,1.0,HYSTRIX ITALIAN JOURNAL OF MAMMALOGY,1.0,,,MALI,1.0,Magnolia Press,1.0,Infectious Diseases,1.0,,,CARLAS CHAGAS FILHO FOUNDATION FOR RESEARCH SUPPORT IN RIO DE JANEIRO,1.0,,
2013.0,2.0,,,"da Silva Krawczak, Felipe",2,Infectious Diseases,1.0,,,8.93.1193 Stable Isotopes,1.0,,,,,AMERICAN MUSEUM OF NATURAL HISTORY AMNH,1,Federal University Of Rio Grande Do Sul Department Of Zoology,1.0,JOURNAL OF EXPERIMENTAL ZOOLOGY PART A ECOLOGICAL AND INTEGRATIVE PHYSIOLOGY,1.0,,,MEXICO,1.0,Mdpi,1.0,Mycology,1.0,,,CENTRO UNIVERSITARIO VILA VELHA UVV,1.0,,
2012.0,2.0,,,"Salomon, Oscar",2,Mycology,1.0,,,,,,,,,AQUASOLUT BIOTECH,1,Federal University Of Rio Grande Do Sul Institute Of Biosciences,1.0,JOURNAL OF HELMINTHOLOGY,1.0,,,NETHERLANDS,1.0,Revista Biota Neotropica,1.0,,,,,COORDENACAO DE APERFEICOAMENTO DE NIVEL SUPERIOR CAPES BRASIL,1.0,,
