Publication Years,Publication Years_Count,Document Types,Document Types_Count,Researcher Profiles,Researcher Profiles_Count,Web of Science Categories,Web of Science Categories_Count,Citation Topics Meso,Citation Topics Meso_Count,Citation Topics Micro,Citation Topics Micro_Count,Sustainable Development Goals,Sustainable Development Goals_Count,Web of Science Index,Web of Science Index_Count,Affiliations,Affiliations_Count,Affiliation with Department,Affiliation with Department_Count,Publication Titles,Publication Titles_Count,Languages,Languages_Count,Countries/Regions,Countries/Regions_Count,Publishers,Publishers_Count,Research Areas,Research Areas_Count,Open Access,Open Access_Count,Funding Agencies,Funding Agencies_Count,Conference Titles,Conference Titles_Count,Editors,Editors_Count
2025.0,4.0,Article,67.0,"Cavalcante, Judney Cley",11,Zoology,17.0,3.35 Zoology & Animal Ecology,18.0,3.35.721 Rodent Ecology,7.0,03 Good Health And Well Being,42.0,Science Citation Index Expanded (SCI-EXPANDED),70.0,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,16,Federal University Of Pernambuco Centre Of Technology And Geosciences School Of Engineering Of Pernambuco,2.0,JOURNAL OF CHEMICAL NEUROANATOMY,5.0,English,67.0,BRAZIL,64.0,Elsevier,22.0,Zoology,18.0,All Open Access,26.0,CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO CNPQ,32.0,8TH LATIN AMERICAN SYMPOSIUM ON CHRONOBIOLOGY,1.0,Ebensperger LA,1.0
2024.0,2.0,Review Article,2.0,Jeferson S. Cavalcante,11,Neurosciences,14.0,1.137 Sleep Science & Circadian Systems,8.0,1.261.596 Trypanosoma Biology,6.0,15 Life On Land,27.0,Social Sciences Citation Index (SSCI),2.0,UNIVERSIDADE DE SAO PAULO,12,Federal University Of Pernambuco Department Of Geology,2.0,BRAIN RESEARCH,4.0,Portuguese,4.0,USA,10.0,Wiley,9.0,Neurosciences Neurology,14.0,Gold,21.0,FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE SAO PAULO FAPESP,29.0,,,Hayes LD,1.0
2023.0,1.0,Book Chapters,1.0,"Costa, Miriam S. M. O.",11,Parasitology,12.0,1.261 Parasitology - Trypanosoma & Leishmania,6.0,3.35.693 Primate Behavior,6.0,13 Climate Action,15.0,Book Citation Index – Science (BKCI-S),1.0,FUNDACAO OSWALDO CRUZ,11,Federal University Of Pernambuco Department Of Zoology,2.0,MEMORIAS DO INSTITUTO OSWALDO CRUZ,4.0,,,FRANCE,3.0,Springer Nature,7.0,Parasitology,12.0,Gold-Hybrid,2.0,COORDENACAO DE APERFEICOAMENTO DE PESSOAL DE NIVEL SUPERIOR CAPES,26.0,,,,
2022.0,4.0,Meeting Abstract,1.0,"do Nascimento Junior, Expedito Silva",7,Tropical Medicine,10.0,8.93 Archaeology,6.0,8.93.805 Mammalia,6.0,14 Life Below Water,5.0,Conference Proceedings Citation Index – Science (CPCI-S),1.0,UNIVERSIDADE FEDERAL DA PARAIBA,7,Federal University Of Pernambuco Life Sciences Center,2.0,MAMMALIA,3.0,,,ARGENTINA,2.0,Fundaco Oswaldo Cruz,4.0,Tropical Medicine,10.0,Free to Read,1.0,FUNDACAO CARLOS CHAGAS FILHO DE AMPARO A PESQUISA DO ESTADO DO RIO DE JANEIRO FAPERJ,4.0,,,,
2021.0,8.0,Note,1.0,"Nascimento Jr, Expedito S.",6,Biology,7.0,1.163 Parasitology - General,5.0,1.137.217 Circadian-melatonin,5.0,05 Gender Equality,3.0,,,UNIVERSIDADE FEDERAL DE SERGIPE,6,Universidade De Sao Paulo Departamento De Fisiologia E Biofisica,2.0,ACTA TROPICA,2.0,,,SPAIN,2.0,Public Library Science,3.0,Life Sciences Biomedicine Other Topics,7.0,Green Published,6.0,FUNDACAO DE APOIO A PESQUISA DO DISTRITO FEDERAL FAPDF,3.0,,,,
2020.0,1.0,Proceeding Paper,1.0,"Miglino, Maria Angelica",5,Veterinary Sciences,6.0,1.258 Zoonotic Diseases,4.0,1.163.446 Schistosomiasis,5.0,02 Zero Hunger,1.0,,,UNIVERSIDADE FEDERAL RURAL DO SEMI ARIDO UFERSA,6,Universidade De Sao Paulo Faculdade De Filosofia Ciencias E Letras De Ribeirao Preto,2.0,BIOSCIENCE JOURNAL,2.0,,,DENMARK,1.0,Taylor & Francis,3.0,Veterinary Sciences,6.0,Green Submitted,20.0,FINANCIADORA DE INOVACAO E PESQUISA FINEP,2.0,,,,
2019.0,4.0,,,"de Oliveira, Moacir Franco",5,Biochemistry Molecular Biology,5.0,1.5 Neuroscience,4.0,1.258.227 Tick-borne Pathogens,4.0,,,,,UNIVERSIDADE ESTADUAL PAULISTA,5,Universidade De Sao Paulo Faculdade De Medicina Veterinaria E Zootecnia,2.0,JOURNAL OF PARASITOLOGY,2.0,,,ENGLAND,1.0,Walter De Gruyter,3.0,Biochemistry Molecular Biology,5.0,,,FUNDACAO DE AMPARO A CIENCIA E TECNOLOGIA DO ESTADO DE PERNAMBUCO FACEPE,2.0,,,,
2018.0,8.0,,,"Soares, J. G.",4,Behavioral Sciences,4.0,1.72 Obstetrics & Gynecology,3.0,1.137.868 Sleep And Orexin,3.0,,,,,UNIVERSIDADE FEDERAL DE PERNAMBUCO,5,Museum Of Texas Tech University,1.0,MICROSCOPY RESEARCH AND TECHNIQUE,2.0,,,ITALY,1.0,Revista Pesquisa Veterinaria Brasileira,2.0,Behavioral Sciences,4.0,,,FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE MINAS GERAIS FAPEMIG,2.0,,,,
2016.0,5.0,,,Marcia Chame,4,Paleontology,4.0,1.127 Molecular & Cell Biology - Pharmacology,2.0,1.72.531 Preeclampsia Factors,3.0,,,,,FUNDACAO ZOOBOT RIO GRANDE SUL,3,Paraiba Federal University Centre For Applied And Natural Sciences,1.0,PESQUISA VETERINARIA BRASILEIRA,2.0,,,PORTUGAL,1.0,Univ Chicago Press,2.0,Environmental Sciences Ecology,4.0,,,UNIVERSIDADE FEDERAL DE SERGIPE PROAP CAPES UFS,2.0,,,,
2015.0,4.0,,,"Morais, Paulo Leonardo Araujo De Gois",3,Agronomy,3.0,"1.217 Parasitology - Malaria, Toxoplasmosis & Coccidiosis",2.0,3.35.274 Wildlife Ecology,3.0,,,,,INSTITUT DE RECHERCHE POUR LE DEVELOPPEMENT IRD,3,Texas Tech University College Of Arts And Sciences,1.0,PLOS NEGLECTED TROPICAL DISEASES,2.0,,,URUGUAY,1.0,Univ Federal Uberlandia,2.0,Paleontology,4.0,,,AGENCE NATIONALE DE LA RECHERCHE ANR,1.0,,,,
