Publication Years,Publication Years_Count,Document Types,Document Types_Count,Researcher Profiles,Researcher Profiles_Count,Web of Science Categories,Web of Science Categories_Count,Citation Topics Meso,Citation Topics Meso_Count,Citation Topics Micro,Citation Topics Micro_Count,Sustainable Development Goals,Sustainable Development Goals_Count,Web of Science Index,Web of Science Index_Count,Affiliations,Affiliations_Count,Affiliation with Department,Affiliation with Department_Count,Publication Titles,Publication Titles_Count,Languages,Languages_Count,Countries/Regions,Countries/Regions_Count,Publishers,Publishers_Count,Research Areas,Research Areas_Count,Open Access,Open Access_Count,Funding Agencies,Funding Agencies_Count
2025.0,1.0,Article,8.0,"Rossi, Rogerio V",2,Zoology,3.0,3.64 Phylogenetics & Genomics,3.0,3.64.34 Phylogenetic Relationships,3.0,15 Life On Land,6.0,Science Citation Index Expanded (SCI-EXPANDED),8.0,FUNDACAO OSWALDO CRUZ,2.0,Federal University Of Pernambuco Department Of Zoology,1.0,PLOS ONE,2.0,English,8.0,BRAZIL,8.0,Public Library Science,2.0,Zoology,3.0,All Open Access,5.0,COORDENACAO DE APERFEICOAMENTO DE PESSOAL DE NIVEL SUPERIOR CAPES,5.0
2022.0,1.0,,,"Asfora, P.H.",2,Multidisciplinary Sciences,2.0,1.186 Chromosome Disorders,1.0,1.186.670 Chromosomal Evolution,1.0,03 Good Health And Well Being,2.0,,,UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO,2.0,Federal University Of Pernambuco Life Sciences Center,1.0,ANIMALS,1.0,,,ENGLAND,1.0,Elsevier,1.0,Science Technology Other Topics,2.0,Gold,4.0,CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO CNPQ,4.0
2021.0,2.0,,,"Geise, Lena",2,Agriculture Dairy Animal Science,1.0,1.246 Diarrheal Diseases,1.0,1.246.985 Cryptosporidium,1.0,13 Climate Action,2.0,,,UNIVERSIDADE FEDERAL DE MATO GROSSO,2.0,State University Of Santa Cruz Collegiate Of Biomedicine,1.0,AUSTRAL ECOLOGY,1.0,,,,,Mdpi,1.0,Agriculture,1.0,Green Submitted,4.0,FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE SAO PAULO FAPESP,3.0
2019.0,1.0,,,"Malcher, Stella Miranda",1,Biodiversity Conservation,1.0,1.258 Zoonotic Diseases,1.0,1.258.227 Tick-borne Pathogens,1.0,14 Life Below Water,1.0,,,NATIONAL CANCER INSTITUTE INCA,1.0,State University Of Santa Cruz Department Of Biological Sciences,1.0,BIOTA NEOTROPICA,1.0,,,,,Oxford Univ Press,1.0,Biodiversity Conservation,1.0,,,FUNDACAO CARLOS CHAGAS FILHO DE AMPARO A PESQUISA DO ESTADO DO RIO DE JANEIRO FAPERJ,2.0
2017.0,1.0,,,"de Oliveira, Renata Carvalho",1,Ecology,1.0,3.35 Zoology & Animal Ecology,1.0,3.35.721 Rodent Ecology,1.0,,,,,UNIV ESTADO MATO GROSO UNEMAT,1.0,University Of Cambridge Department Of Veterinary Medicine,1.0,JOURNAL OF MAMMALOGY,1.0,,,,,Revista Biota Neotropica,1.0,Environmental Sciences Ecology,1.0,,,FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE MATO GROSSO FAPEMAT,2.0
2015.0,1.0,,,"O'Brien, P.",1,Immunology,1.0,3.40 Forestry,1.0,3.40.195 Biodiversity Conservation,1.0,,,,,UNIVERSIDADE ESTADUAL DE GOIAS,1.0,University Of Cambridge School Of The Biological Sciences,1.0,MICROBES AND INFECTION,1.0,,,,,Taylor & Francis,1.0,Immunology,1.0,,,BNDES,1.0
2011.0,1.0,,,"Alvarez, Martín R",1,Infectious Diseases,1.0,,,,,,,,,UNIVERSIDADE ESTADUAL DE SANTA CRUZ,1.0,,,STUDIES ON NEOTROPICAL FAUNA AND ENVIRONMENT,1.0,,,,,Wiley,1.0,Infectious Diseases,1.0,,,BRAZILIAN MINISTRY OF EDUCATION CAPES MASTER S OF SCIENCE STUDENTSHIP,1.0
,,,,"ERS, Lemos",1,Microbiology,1.0,,,,,,,,,UNIVERSIDADE ESTADUAL PAULISTA,1.0,,,,,,,,,,,Microbiology,1.0,,,COORDENACAO DE APERFEICOAMENTO DE PESSOAL DE NIVEL SUPERIOR BIONORTE CNPQ,1.0
,,,,"Ferguson-Smith, MA",1,Veterinary Sciences,1.0,,,,,,,,,UNIVERSIDADE FEDERAL DA PARAIBA,1.0,,,,,,,,,,,Veterinary Sciences,1.0,,,FAPEMAT DOCTOR SCHOLARSHIP IN BIONORTE,1.0
,,,,"Fehlberg, Hllytchaikra F.",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DE GOIAS,1.0,,,,,,,,,,,,,,,FOUNDATION FOR RESEARCH SUPPORT OF BAHIA FAPESB,1.0
,,,,"Pieczarka, Julio C",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL,1.0,,,,,,,,,,,,,,,FUNDACAO AMAZONIA DE AMPARO A ESTUDOS E PESQUISAS FAPESPA,1.0
,,,,"Casagrande, Alexandre Faustino",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DE PERNAMBUCO,1.0,,,,,,,,,,,,,,,FUNDACAO AMAZONIA PARAENSE,1.0
,,,,"Cardoso, Thiago",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DO PARA,1.0,,,,,,,,,,,,,,,FUNDACAO DE AMPARO A CIENCIA E TECNOLOGIA DO ESTADO DE PERNAMBUCO FACEPE,1.0
,,,,"da Silva, Victor Fonseca",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,1.0,,,,,,,,,,,,,,,FUNDACAO OSWALDO CRUZ FIOCRUZ BRAZIL,1.0
,,,,"Filho, Manoel Santos",1,,,,,,,,,,,UNIVERSITY OF CAMBRIDGE,1.0,,,,,,,,,,,,,,,PROGRAMA DE CAPACITACAO EM TAXONOMIA PROTAX II,1.0
,,,,"Nagamachi, Cleusa",1,,,,,,,,,,,,,,,,,,,,,,,,,,,PROGRAMA DE INICIACAO CIENTIFICA E TECNOLOGICA,1.0
,,,,"Brito Junior, Pedro de Alcantara",1,,,,,,,,,,,,,,,,,,,,,,,,,,,UERJ PROCIENCIA,1.0
,,,,"Saldanha, Juliane",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Favacho, Alexsandra R. M.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Leão Pereira, Adenilson",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Albano dos Santos, Camila",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Bonvicino, Cibele R.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Sampaio, Maria Iracilda Cunha",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Palma, Alexandre",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Mata, P",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Albuquerque, George Rego",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Oliveira, Bruno Cesar Miranda",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ParreiraClaro, HermesWillyan",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Vilela, Roberto do Val",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Hannibal, Wellington",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Junior, Niedson",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"D'Andrea, Paulo S.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ribeiro, cassia",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Harvey, Tatiane Vitor",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Bonvicino, Cibele",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Astúa, Diego",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
