Publication Years,Publication Years_Count,Document Types,Document Types_Count,Researcher Profiles,Researcher Profiles_Count,Web of Science Categories,Web of Science Categories_Count,Citation Topics Meso,Citation Topics Meso_Count,Citation Topics Micro,Citation Topics Micro_Count,Sustainable Development Goals,Sustainable Development Goals_Count,Web of Science Index,Web of Science Index_Count,Affiliations,Affiliations_Count,Affiliation with Department,Affiliation with Department_Count,Publication Titles,Publication Titles_Count,Languages,Languages_Count,Countries/Regions,Countries/Regions_Count,Publishers,Publishers_Count,Research Areas,Research Areas_Count,Open Access,Open Access_Count,Funding Agencies,Funding Agencies_Count,Conference Titles,Conference Titles_Count
2022.0,1.0,Article,8.0,"Rocha, Pedro Luís B.",3,Zoology,6.0,3.35 Zoology & Animal Ecology,5.0,3.35.721 Rodent Ecology,5.0,13 Climate Action,5.0,Science Citation Index Expanded (SCI-EXPANDED),8.0,UNIVERSIDADE DE SAO PAULO,5.0,Universidade De Sao Paulo Faculdade De Filosofia Ciencias E Letras De Ribeirao Preto,4.0,BEHAVIOURAL PROCESSES,1.0,English,8.0,BRAZIL,7.0,Elsevier,2.0,Zoology,6.0,All Open Access,1.0,CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO CNPQ,2.0,6TH LATIN AMERICAN SYMPOSIUM OF CHRONOBIOLOGY VI LASC,1.0
2011.0,1.0,Proceeding Paper,1.0,"Manaf, Paulo",2,Behavioral Sciences,4.0,1.5 Neuroscience,2.0,1.5.1511 Rodent Behavior,2.0,15 Life On Land,5.0,Social Sciences Citation Index (SSCI),3.0,UNIVERSIDADE FEDERAL DA BAHIA,3.0,Federal University Of Bahia Institute Of Biology,2.0,BIOLOGICAL RHYTHM RESEARCH,1.0,,,FRANCE,1.0,Alliance Communications Group Division Allen Press,1.0,Behavioral Sciences,4.0,Free to Read,1.0,AMERICAN SOCIETY OF MAMMALOGISTS,1.0,,
2010.0,1.0,,,"El-Hani, Charbel",2,Psychology Biological,3.0,1.137 Sleep Science & Circadian Systems,1.0,1.137.217 Circadian-melatonin,1.0,02 Zero Hunger,2.0,Conference Proceedings Citation Index – Science (CPCI-S),1.0,CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE CNRS,1.0,Universidade De Sao Paulo Departamento De Psicologia,1.0,CANADIAN JOURNAL OF ZOOLOGY,1.0,,,USA,1.0,"CANADIAN SCIENCE PUBLISHING, NRC RESEARCH PRESS",1.0,Psychology,3.0,,,CAPES COORDENACAO DE APERFEICOAMENTO DE PESSOAL DE NIVEL SUPERIOR BRAZIL AND ITS ACADEMIC EXCELLENCE PROGRAM PROEX,1.0,,
2008.0,1.0,,,"Oliveira Junior, Edson A.",2,Biology,1.0,,,,,03 Good Health And Well Being,1.0,,,MUSEUM NATIONAL D HISTOIRE NATURELLE MNHN,1.0,University Of California Berkeley College Of Letters And Science,1.0,CANADIAN JOURNAL OF ZOOLOGY REVUE CANADIENNE DE ZOOLOGIE,1.0,,,,,Canadian Science Publishing,1.0,Life Sciences Biomedicine Other Topics,1.0,,,CENTER FOR LATIN AMERICAN STUDIES AT THE UNIVERSITY OF CALIFORNIA BERKELEY,1.0,,
2007.0,1.0,,,"Marcomini, M",1,Physiology,1.0,,,,,,,,,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,1.0,University Of California Berkeley Department Of Integrative Biology,1.0,ETHOLOGY,1.0,,,,,Springer Nature,1.0,Physiology,1.0,,,CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO FROM THE BRAZILIAN MINISTRY OF SCIENCE AND TECHNOLOGY,1.0,,
2003.0,3.0,,,"RENOUS, S",1,,,,,,,,,,,UNIVERSITY OF CALIFORNIA BERKELEY,1.0,University Of California Berkeley Division Of Biological Sciences,1.0,JOURNAL OF ETHOLOGY,1.0,,,,,Swets Zeitlinger Publishers,1.0,,,,,DEPARTMENT OF INTEGRATIVE BIOLOGY AT THE UNIVERSITY OF CALIFORNIA BERKELEY,1.0,,
,,,,"Santos, J. W. A.",1,,,,,,,,,,,UNIVERSITY OF CALIFORNIA SYSTEM,1.0,University Of California Berkeley Museum Of Vertebrate Zoology,1.0,JOURNAL OF MAMMALOGY,1.0,,,,,Wiley,1.0,,,,,FOUNDATION FOR RESEARCH SUPPORT OF THE STATE OF BAHIA FAPESB,1.0,,
,,,,"Abourachid, A.",1,,,,,,,,,,,,,University Of California Berkeley Research,1.0,PHYSIOLOGY BEHAVIOR,1.0,,,,,,,,,,,IDEAWILD FOUNDATION,1.0,,
,,,,"Silva de Freitas, Jorge Nei",1,,,,,,,,,,,,,University Of Sao Paulo Department Of Biology,1.0,,,,,,,,,,,,,MUSEUM OF VERTEBRATE ZOOLOGY,1.0,,
,,,,"de Oliveira, ES",1,,,,,,,,,,,,,,,,,,,,,,,,,,,SIGMA XI THE SCIENTIFIC RESEARCH SOCIETY,1.0,,
,,,,"Morato, Silvio",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Lacey, Eileen A.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Freitas, J.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Bueno, Flávia Regina",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Carvalho, Luciano",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"de Oliveira, Elisabeth Spinelli",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Klein, Wilfried",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Höfling, Elizabeth",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"de Brito-Gitirana, Lycia",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
