Publication Years,Publication Years_Count,Document Types,Document Types_Count,Researcher Profiles,Researcher Profiles_Count,Web of Science Categories,Web of Science Categories_Count,Citation Topics Meso,Citation Topics Meso_Count,Citation Topics Micro,Citation Topics Micro_Count,Sustainable Development Goals,Sustainable Development Goals_Count,Web of Science Index,Web of Science Index_Count,Affiliations,Affiliations_Count,Affiliation with Department,Affiliation with Department_Count,Publication Titles,Publication Titles_Count,Languages,Languages_Count,Countries/Regions,Countries/Regions_Count,Publishers,Publishers_Count,Research Areas,Research Areas_Count,Open Access,Open Access_Count,Funding Agencies,Funding Agencies_Count,Conference Titles,Conference Titles_Count
2025.0,4.0,Article,67.0,"Gentile, Rosana",9,Zoology,25.0,1.186 Chromosome Disorders,20.0,1.186.670 Chromosomal Evolution,20.0,15 Life On Land,43.0,Science Citation Index Expanded (SCI-EXPANDED),69.0,FUNDACAO OSWALDO CRUZ,22.0,Federal University Of Rio De Janeiro Health Sciences Centre,14.0,MAMMALIA,5.0,English,67.0,BRAZIL,67.0,Springer Nature,15.0,Zoology,25.0,All Open Access,31.0,CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO CNPQ,26.0,14TH BIENNIAL CONFERENCE OF THE ASSOCIATION FOR APPLIED ANIMAL ANDROLOGY AAAA,1.0
2022.0,3.0,Meeting Abstract,2.0,"Cerqueira, Rui",8,Genetics Heredity,17.0,3.35 Zoology & Animal Ecology,19.0,3.35.721 Rodent Ecology,15.0,03 Good Health And Well Being,22.0,Emerging Sources Citation Index (ESCI),1.0,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,16.0,Federal University Of Rio De Janeiro Institute Of Biology,10.0,PLOS ONE,4.0,Portuguese,2.0,ARGENTINA,4.0,Elsevier,7.0,Genetics Heredity,17.0,Gold,21.0,FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE SAO PAULO FAPESP,17.0,,
2021.0,2.0,Note,1.0,"Maldonado Junior, Arnaldo",8,Parasitology,12.0,1.163 Parasitology - General,12.0,1.163.645 Fish Parasitology,7.0,13 Climate Action,19.0,Conference Proceedings Citation Index – Science (CPCI-S),1.0,UNIVERSIDADE DE SAO PAULO,11.0,Federal University Of Rio De Janeiro Department Of Ecology,8.0,CHROMOSOME RESEARCH,3.0,Russian,1.0,USA,4.0,Walter De Gruyter,6.0,Parasitology,12.0,Gold-Hybrid,3.0,COORDENACAO DE APERFEICOAMENTO DE PESSOAL DE NIVEL SUPERIOR CAPES,11.0,,
2020.0,2.0,,,"D'Andrea, Paulo S.",8,Ecology,9.0,3.64 Phylogenetics & Genomics,7.0,1.163.1393 Filarial Infections,4.0,14 Life Below Water,5.0,,,UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO,8.0,Federal University Of Ouro Preto School Of Nutrition,2.0,INTERNATIONAL JOURNAL FOR PARASITOLOGY PARASITES AND WILDLIFE,3.0,,,RUSSIA,3.0,Cambridge Univ Press,5.0,Environmental Sciences Ecology,9.0,Free to Read,6.0,FUNDACAO CARLOS CHAGAS FILHO DE AMPARO A PESQUISA DO ESTADO DO RIO DE JANEIRO FAPERJ,11.0,,
2018.0,2.0,,,"Yassuda, Yatiyo Y",7,Biochemistry Molecular Biology,8.0,1.228 Virology - Tropical Diseases,3.0,1.228.994 Viral Hemorrhagic Fevers,3.0,,,,,UNIVERSIDADE FEDERAL DO ESPIRITO SANTO,6.0,Federal University Of Parana Biological Sciences Sector,2.0,JOURNAL OF MAMMALOGY,3.0,,,ENGLAND,2.0,Oxford Univ Press,4.0,Biochemistry Molecular Biology,8.0,Green Published,3.0,FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE MINAS GERAIS FAPEMIG,3.0,,
2017.0,3.0,,,"Fagundes, Valeria",6,Veterinary Sciences,5.0,1.258 Zoonotic Diseases,2.0,3.64.34 Phylogenetic Relationships,3.0,,,,,UNIVERSIDADE FEDERAL DE MINAS GERAIS,5.0,Federal University Of Parana Department Of Zoology,2.0,MAMMALIAN BIOLOGY,3.0,,,CHILE,1.0,Public Library Science,4.0,Veterinary Sciences,5.0,Green Submitted,22.0,INSTITUTO OSWALDO CRUZ FIOCRUZ,3.0,,
2016.0,4.0,,,"Fernandez, Fernando A. S.",5,Cell Biology,4.0,3.40 Forestry,2.0,1.258.227 Tick-borne Pathogens,2.0,,,,,UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO UFRRJ,5.0,Federal University Of Rio De Janeiro Carlos Chagas Filho Biophysics Institute,2.0,ACTA PARASITOLOGICA,2.0,,,GERMANY,1.0,Karger,3.0,Cell Biology,4.0,,,FUNDACAO DE AMPARO A CIENCIA E TECNOLOGIA DO ESTADO DO RIO GRANDE DO SUL FAPERGS,2.0,,
2015.0,2.0,,,"Geise, Lena",5,Multidisciplinary Sciences,4.0,1.189 Genome Studies,1.0,3.35.274 Wildlife Ecology,2.0,,,,,UNIVERSIDADE FEDERAL DO PARANA,4.0,Federal University Of Rio De Janeiro Department Of Genetics,2.0,CYTOGENETICS AND CELL GENETICS,2.0,,,SPAIN,1.0,Soc Brasil Genetica,3.0,Science Technology Other Topics,4.0,,,FUNDACAO OSWALDO CRUZ FIOCRUZ,2.0,,
2014.0,1.0,,,"Teixeira, Bernardo R",4,Biodiversity Conservation,2.0,1.246 Diarrheal Diseases,1.0,3.40.195 Biodiversity Conservation,2.0,,,,,INST BIOL UFRJ,3.0,University Of Cambridge Department Of Veterinary Medicine,2.0,GENETICS AND MOLECULAR BIOLOGY,2.0,,,,,"Soc Brasileira Zoologia, Univ Federal Parana",3.0,Biodiversity Conservation,2.0,,,NATIONAL SCIENCE FOUNDATION NSF,2.0,,
2013.0,1.0,,,"Simões, R.O.",4,Evolutionary Biology,2.0,1.261 Parasitology - Trypanosoma & Leishmania,1.0,3.64.71 Genetic Diversity,2.0,,,,,INSTITUTO BUTANTAN,3.0,University Of Cambridge School Of The Biological Sciences,2.0,JOURNAL OF HELMINTHOLOGY,2.0,,,,,Wiley,3.0,Evolutionary Biology,2.0,,,PAPES IV,2.0,,
2012.0,3.0,,,"Lanfredi, Reinalda",3,Public Environmental Occupational Health,2.0,1.81 Reproductive Biology,1.0,3.64.864 Evolutionary Dynamics,2.0,,,,,NATIONAL CANCER INSTITUTE INCA,3.0,Cepave,1.0,JOURNAL OF TROPICAL ECOLOGY,2.0,,,,,Magnolia Press,2.0,Public Environmental Occupational Health,2.0,,,UERJ PROCIENCIA,2.0,,
2011.0,5.0,,,"Luque, Jose L",3,Reproductive Biology,2.0,,,1.163.446 Schistosomiasis,1.0,,,,,RUSSIAN ACADEMY OF SCIENCES,3.0,Federal University Of Rio Grande Do Sul Department Of Zoology,1.0,PARASITOLOGY RESEARCH,2.0,,,,,AMER SOC PARASITOLOGISTS,1.0,Reproductive Biology,2.0,,,WELLCOME TRUST,2.0,,
2010.0,2.0,,,"ERS, Lemos",3,Tropical Medicine,2.0,,,1.189.455 Genome-wide Association Studies,1.0,,,,,UENF,3.0,Federal University Of Rio Grande Do Sul Institute Of Biosciences,1.0,STUDIES ON NEOTROPICAL FAUNA AND ENVIRONMENT,2.0,,,,,Amer Soc Trop Med & Hygiene,1.0,Tropical Medicine,2.0,,,AGENCIA NACIONAL DE CIENCIA Y TECNICA ARGENTINA,1.0,,
2009.0,2.0,,,"Cardoso, Thiago",3,Agriculture Dairy Animal Science,1.0,,,1.246.985 Cryptosporidium,1.0,,,,,UNIVERSIDADE ESTADUAL DE SANTA CRUZ,3.0,National University Of La Plata Faculty Of Natural Science And Museum,1.0,ZOOLOGIA,2.0,,,,,Assoc Advancement Zoology,1.0,Agriculture,1.0,,,BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL BNDES,1.0,,
2008.0,4.0,,,"Neto, AHAD",3,Anatomy Morphology,1.0,,,1.261.695 Leishmaniasis Dynamics,1.0,,,,,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,3.0,Paraiba Federal University Centre For Applied And Natural Sciences,1.0,ZOOTAXA,2.0,,,,,Brazilian Coll Veterinary Parasitology,1.0,Anatomy Morphology,1.0,,,CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFICAS Y TECNICAS CONICET,1.0,,
2007.0,2.0,,,Sbalqueiro,3,Biology,1.0,,,1.81.176 Male Fertility,1.0,,,,,INSTITUTE OF CYTOLOGY GENETICS ICG SB RAS,2.0,State University Of Santa Cruz Collegiate Of Biomedicine,1.0,AMERICAN JOURNAL OF TROPICAL MEDICINE AND HYGIENE,1.0,,,,,Fundaco Oswaldo Cruz,1.0,Biotechnology Applied Microbiology,1.0,,,CONSELHO NACIONAL PARA O DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO CNPQ PAPES VI FIOCRUZ,1.0,,
2006.0,1.0,,,"Bonvicino, Cibele R.",3,Biotechnology Applied Microbiology,1.0,,,3.35.1587 Chiroptera,1.0,,,,,UNIVERSIDADE FEDERAL DA PARAIBA,2.0,State University Of Santa Cruz Department Of Biological Sciences,1.0,ANIMAL REPRODUCTION SCIENCE,1.0,,,,,Funpec-Editora,1.0,Entomology,1.0,,,COORDENACAO DE APERFEICOAMENTO DE NIVEL SUPERIOR CAPES BRASIL,1.0,,
2005.0,1.0,,,"Fagundes, Viviane O.",3,Entomology,1.0,,,3.35.2036 Avian Parasitology,1.0,,,,,UNIVERSIDADE FEDERAL DE OURO PRETO,2.0,Universidade De Sao Paulo Departamento De Ecologia,1.0,ARCHIVES OF VIROLOGY,1.0,,,,,Hindawi Publishing Group,1.0,Infectious Diseases,1.0,,,COORDENACAO DE APERFEICOAMENTO PESSOAL CAPES,1.0,,
2004.0,2.0,,,"Ventura, Karen",3,Environmental Sciences,1.0,,,,,,,,,UNIVERSIDADE FEDERAL DE VICOSA,2.0,Universidade De Sao Paulo Escola Superior De Agricultura Luiz De Queiroz,1.0,AUSTRAL ECOLOGY,1.0,,,,,Int Inst Ecology,1.0,Life Sciences Biomedicine Other Topics,1.0,,,COORDENACATILDEO DE MEIO AMBIENTE ARTERIS S A CONCREMAT AMBIENTAL,1.0,,
2003.0,3.0,,,"Guterres, Alexandro",2,Geography Physical,1.0,,,,,,,,,UNIVERSIDADE FEDERAL DO CEARA,2.0,Universidade De Sao Paulo Escola Superior De Agricultura Luiz De Queiroz Departamento De Ciencias Biologicas,1.0,BIOCHEMICAL GENETICS,1.0,,,,,"Mary Ann Liebert, Inc",1.0,Physical Geography,1.0,,,COORDENAGAO DE APERFEIGOAMENTO DE PESSOAL DE NIVEL SUPERIOR CAPES,1.0,,
2002.0,3.0,,,"Silva, Maria José J",2,Infectious Diseases,1.0,,,,,,,,,UNIVERSIDADE FEDERAL DO PARA,2.0,Universidade De Sao Paulo Instituto De Biociencias,1.0,BIOLOGICAL CONSERVATION,1.0,,,,,Mezhdunarodnaya Kniga,1.0,Plant Sciences,1.0,,,CRITICAL ECOSYSTEM PARTNERSHIP FUND CEPF,1.0,,
2001.0,4.0,,,"de Oliveira, Renata Carvalho",2,Plant Sciences,1.0,,,,,,,,,UNIVERSIDADE FEDERAL DO TRIANGULO MINEIRO,2.0,University Of California Berkeley Museum Of Vertebrate Zoology,1.0,BIOLOGICHESKIE MEMBRANY,1.0,,,,,Pensoft Publishers,1.0,Virology,1.0,,,ETHICAL COMMITTEE ON ANIMAL USE OF FUNDAQDO OSWALDO CRUZ,1.0,,
2000.0,1.0,,,"Rodrigues, Miguel T.",2,Virology,1.0,,,,,,,,,UNIVERSIDADE REGIONAL INTEGRADA DO ALTO URUGUAI E DAS MISSOES URI,2.0,University Of California Berkeley Research,1.0,BIOTA NEOTROPICA,1.0,,,,,Revista Biota Neotropica,1.0,,,,,FEDERAL MINISTRY OF EDUCATION RESEARCH BMBF,1.0,,
1999.0,1.0,,,"O'Brien, P.",2,,,,,,,,,,,UNIVERSITY OF CAMBRIDGE,2.0,University Of Michigan College Of Literature Science And The Arts,1.0,BRAZILIAN JOURNAL OF BIOLOGY,1.0,,,,,Swets Zeitlinger Publishers,1.0,,,,,FIOCRUZ,1.0,,
1998.0,1.0,,,"Alvarez, Martín R",2,,,,,,,,,,,A C CAMARGO CANCER CENTER,1.0,University Of Michigan Museum Of Zoology,1.0,BRAZILIAN JOURNAL OF GENETICS,1.0,,,,,Taylor & Francis,1.0,,,,,FIOCRUZ ATLANTIC FOREST CAMPUS,1.0,,
1997.0,3.0,,,"Fornel, Rodrigo",2,,,,,,,,,,,APPL GENET LAB,1.0,,,CARYOLOGIA,1.0,,,,,Univ Studi Firenze,1.0,,,,,FOUNDATION FOR RESEARCH AND INNOVATION OF THE STATE OF ESPIRITO SANTO FAPES,1.0,,
1996.0,2.0,,,"Ferguson-Smith, MA",2,,,,,,,,,,,CITY UNIVERSITY OF NEW YORK CUNY SYSTEM,1.0,,,COMMUNITY ECOLOGY,1.0,,,,,,,,,,,FOUNDATION FOR RESEARCH SUPPORT OF BAHIA FAPESB,1.0,,
1995.0,2.0,,,"Santori, Ricardo Tadeu",2,,,,,,,,,,,CNPQ RESEARCHERS,1.0,,,CYTOGENETIC AND GENOME RESEARCH,1.0,,,,,,,,,,,FUJB,1.0,,
1993.0,1.0,,,"Freitas, Thales",2,,,,,,,,,,,CONCREMAT AMBIENTAL,1.0,,,EXPERIMENTAL AND APPLIED ACAROLOGY,1.0,,,,,,,,,,,FUNDACAO AMAZONIA DE AMPARO A ESTUDOS E PESQUISAS FAPESPA,1.0,,
