Publication Years,Publication Years_Count,Document Types,Document Types_Count,Researcher Profiles,Researcher Profiles_Count,Web of Science Categories,Web of Science Categories_Count,Citation Topics Meso,Citation Topics Meso_Count,Citation Topics Micro,Citation Topics Micro_Count,Sustainable Development Goals,Sustainable Development Goals_Count,Web of Science Index,Web of Science Index_Count,Affiliations,Affiliations_Count,Affiliation with Department,Affiliation with Department_Count,Publication Titles,Publication Titles_Count,Languages,Languages_Count,Countries/Regions,Countries/Regions_Count,Publishers,Publishers_Count,Research Areas,Research Areas_Count,Open Access,Open Access_Count,Funding Agencies,Funding Agencies_Count
2025.0,1.0,Article,13.0,"Cerqueira, Rui",2,Zoology,7.0,3.35 Zoology & Animal Ecology,5.0,3.35.721 Rodent Ecology,5.0,13 Climate Action,9.0,Science Citation Index Expanded (SCI-EXPANDED),15.0,UNIVERSIDADE DE BRASILIA,6.0,Federal University Of Rio De Janeiro Health Sciences Centre,3.0,MAMMALIA,2.0,English,14.0,BRAZIL,15.0,Springer Nature,3.0,Zoology,7.0,All Open Access,6.0,CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO CNPQ,5.0
2022.0,1.0,Note,1.0,"Bonvicino, Cibele R.",2,Biology,3.0,3.64 Phylogenetics & Genomics,4.0,3.64.864 Evolutionary Dynamics,3.0,15 Life On Land,8.0,,,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,4.0,Federal University Of Rio De Janeiro Institute Of Biology,3.0,REVISTA BRASILEIRA DE PESQUISAS MEDICAS E BIOLOGICAS,2.0,Portuguese,1.0,ARGENTINA,1.0,Assoc Bras Divulg Cientifica,2.0,Environmental Sciences Ecology,3.0,Gold,4.0,FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE SAO PAULO FAPESP,4.0
2021.0,1.0,Review Article,1.0,"Hannibal, Wellington",2,Ecology,3.0,1.261 Parasitology - Trypanosoma & Leishmania,3.0,1.261.596 Trypanosoma Biology,2.0,03 Good Health And Well Being,3.0,,,FUNDACAO OSWALDO CRUZ,3.0,Federal University Of Rio De Janeiro Department Of Ecology,2.0,ANIMALS,1.0,,,FRANCE,1.0,Mdpi,2.0,Life Sciences Biomedicine Other Topics,3.0,Free to Read,1.0,COORDENACAO DE APERFEICOAMENTO DE PESSOAL DE NIVEL SUPERIOR CAPES,2.0
2019.0,1.0,,,"D'Andrea, Paulo S.",2,Evolutionary Biology,2.0,1.186 Chromosome Disorders,1.0,1.186.670 Chromosomal Evolution,1.0,14 Life Below Water,1.0,,,NATIONAL CANCER INSTITUTE INCA,2.0,University Of Brasilia Department Of Zoology,2.0,AUSTRAL ECOLOGY,1.0,,,RUSSIA,1.0,Oxford Univ Press,2.0,Evolutionary Biology,2.0,Green Submitted,5.0,FUNDACAO CARLOS CHAGAS FILHO DE AMPARO A PESQUISA DO ESTADO DO RIO DE JANEIRO FAPERJ,2.0
2018.0,1.0,,,"Vieira, Emerson Monteiro",2,Medicine General Internal,2.0,3.40 Forestry,1.0,1.261.695 Leishmaniasis Dynamics,1.0,,,,,UNIVERSIDADE DE SAO PAULO,2.0,University Of Brasilia Institute Of Biological Sciences,2.0,BRAZILIAN JOURNAL OF BIOLOGY,1.0,,,,,Csiro Publishing,1.0,General Internal Medicine,2.0,,,BRAZILIAN CONSELHO NACIONAL DE PESQUISA CNPQ NATIONAL RESEARCH COUNCIL,1.0
2017.0,1.0,,,"Lemos, Frederico Gemesio",1,Medicine Research Experimental,2.0,,,3.40.195 Biodiversity Conservation,1.0,,,,,UNIVERSIDADE ESTADUAL DE GOIAS,2.0,Federal University Of Rio De Janeiro Department Of Genetics,1.0,EUROPEAN JOURNAL OF WILDLIFE RESEARCH,1.0,,,,,Int Inst Ecology,1.0,Research Experimental Medicine,2.0,,,BRAZILIAN CONSELHO NACIONAL DE PESQUISA LONG TERM ECOLOGICAL RESEARCH PROGRAM PELD CNPQ,1.0
2014.0,1.0,,,"Mello, D. A. C. P. G.",1,Agriculture Dairy Animal Science,1.0,,,3.64.34 Phylogenetic Relationships,1.0,,,,,CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE CNRS,1.0,Federal University Of Rio De Janeiro Forum Of Science And Culture,1.0,EVOLUTIONARY BIOLOGY,1.0,,,,,MUSEUM NAT HIST NATURELLE,1.0,Agriculture,1.0,,,CNPQ PRODUCTIVITY GRANT,1.0
2013.0,1.0,,,"Lobo, Leonardo S",1,Forestry,1.0,,,,,,,,,CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFICAS Y TECNICAS CONICET,1.0,Federal University Of Rio Grande Do Norte Health Sciences Centre,1.0,INTERNATIONAL JOURNAL OF WILDLAND FIRE,1.0,,,,,"Soc Brasileira Zoologia, Univ Federal Parana",1.0,Forestry,1.0,,,FOUNDATION FOR RESEARCH SUPPORT OF THE STATE OF BAHIA,1.0
2011.0,1.0,,,"Alvarez, Martín R",1,Genetics Heredity,1.0,,,,,,,,,INSTITUTE OF CYTOLOGY GENETICS ICG SB RAS,1.0,Museu Nacional Ufrj,1.0,JOURNAL OF HEREDITY,1.0,,,,,Walter De Gruyter,1.0,Genetics Heredity,1.0,,,FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE MINAS GERAIS FAPEMIG,1.0
2008.0,1.0,,,"Cunha, Nicolay Leme da",1,Microbiology,1.0,,,,,,,,,INSTITUTO BUTANTAN,1.0,Research Institute In The Environment And Biodiversity,1.0,JOURNAL OF MAMMALOGY,1.0,,,,,Wiley,1.0,Microbiology,1.0,,,FUNDACAO DE AMPARO A PESQUISA DO ESTADO DO GOIAS FAPEG,1.0
