Publication Years,Publication Years_Count,Document Types,Document Types_Count,Researcher Profiles,Researcher Profiles_Count,Web of Science Categories,Web of Science Categories_Count,Citation Topics Meso,Citation Topics Meso_Count,Citation Topics Micro,Citation Topics Micro_Count,Sustainable Development Goals,Sustainable Development Goals_Count,Web of Science Index,Web of Science Index_Count,Affiliations,Affiliations_Count,Affiliation with Department,Affiliation with Department_Count,Publication Titles,Publication Titles_Count,Languages,Languages_Count,Countries/Regions,Countries/Regions_Count,Publishers,Publishers_Count,Research Areas,Research Areas_Count,Open Access,Open Access_Count,Funding Agencies,Funding Agencies_Count
2016.0,1.0,Article,2.0,"Malcher, Stella Miranda",1,Biochemistry Molecular Biology,1.0,1.186 Chromosome Disorders,1.0,1.186.670 Chromosomal Evolution,1.0,15 Life On Land,2.0,Science Citation Index Expanded (SCI-EXPANDED),2.0,CNPQ RESEARCHERS,1.0,Federal University Of Rio De Janeiro Forum Of Science And Culture,1.0,CHROMOSOME RESEARCH,1.0,English,2.0,BRAZIL,2.0,Oxford Univ Press,1.0,Biochemistry Molecular Biology,1.0,All Open Access,1.0,CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO CNPQ,2.0
2013.0,1.0,,,"O'Brien, P.",1,Genetics Heredity,1.0,3.64 Phylogenetics & Genomics,1.0,3.64.34 Phylogenetic Relationships,1.0,,,,,UNIVERSIDADE FEDERAL DE MATO GROSSO,1.0,Museu Nacional Ufrj,1.0,JOURNAL OF MAMMALOGY,1.0,,,ENGLAND,1.0,Springer Nature,1.0,Genetics Heredity,1.0,Free to Read,1.0,FUNDACAO DE AMAPARO A PESQUISA DO ESTADO DO PARA FAPESPA,1.0
,,,,"Pinto, Jamilly Amaral",1,Zoology,1.0,,,,,,,,,UNIVERSIDADE FEDERAL DO PARA,1.0,University Of Cambridge Department Of Veterinary Medicine,1.0,,,,,,,,,Zoology,1.0,,,INSTITUTO POLITECNICO NACIONAL MEXICO,1.0
,,,,"Rossi, Rogerio V",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,1.0,University Of Cambridge School Of The Biological Sciences,1.0,,,,,,,,,,,,,UNDERGRADUATE PROGRAMA INSTITUCIONAL DE BOLSA DE INICIACAO CIENTIFICA PIBIC CNPQ UFRJ FELLOWSHIP,1.0
,,,,"Ferguson-Smith, MA",1,,,,,,,,,,,UNIVERSITY OF CAMBRIDGE,1.0,,,,,,,,,,,,,,,WELLCOME TRUST,1.0
,,,,"Pieczarka, Julio C",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Nagamachi, Cleusa",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Rissino, J",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Caccavo, Aldo",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Leão Pereira, Adenilson",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Oliveira, Joao A.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Mendes de Oliveira, Ana Cristina",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
