Publication Years,Publication Years_Count,Document Types,Document Types_Count,Researcher Profiles,Researcher Profiles_Count,Web of Science Categories,Web of Science Categories_Count,Citation Topics Meso,Citation Topics Meso_Count,Citation Topics Micro,Citation Topics Micro_Count,Sustainable Development Goals,Sustainable Development Goals_Count,Web of Science Index,Web of Science Index_Count,Affiliations,Affiliations_Count,Affiliation with Department,Affiliation with Department_Count,Publication Titles,Publication Titles_Count,Languages,Languages_Count,Countries/Regions,Countries/Regions_Count,Publishers,Publishers_Count,Research Areas,Research Areas_Count,Open Access,Open Access_Count,Funding Agencies,Funding Agencies_Count,Conference Titles,Conference Titles_Count
2026.0,1.0,Article,73.0,"de Oliveira, Moacir Franco",24,Reproductive Biology,22.0,1.81 Reproductive Biology,18.0,1.261.596 Trypanosoma Biology,7.0,03 Good Health And Well Being,59.0,Science Citation Index Expanded (SCI-EXPANDED),77.0,UNIVERSIDADE FEDERAL RURAL DO SEMI ARIDO UFERSA,53.0,Universidade De Sao Paulo Faculdade De Medicina Veterinaria E Zootecnia,6.0,PESQUISA VETERINARIA BRASILEIRA,11.0,English,69.0,BRAZIL,78.0,Elsevier,19.0,Reproductive Biology,22.0,All Open Access,39.0,FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE SAO PAULO FAPESP,38.0,INTERNATIONAL FEDERATION OF PLACENTA ASSOCIATIONS IFPA EPG MEETING,4.0
2025.0,4.0,Meeting Abstract,6.0,"Assis Neto, Antonio Chaves de",21,Veterinary Sciences,20.0,1.261 Parasitology - Trypanosoma & Leishmania,9.0,1.72.531 Preeclampsia Factors,6.0,15 Life On Land,14.0,Conference Proceedings Citation Index – Science (CPCI-S),6.0,UNIVERSIDADE DE SAO PAULO,39.0,University Of California Davis School Of Veterinary Medicine,5.0,PLACENTA,8.0,Portuguese,10.0,USA,6.0,Revista Pesquisa Veterinaria Brasileira,11.0,Veterinary Sciences,20.0,Gold,31.0,CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO CNPQ,26.0,14TH MEETING OF THE INTERNATIONAL FEDERATION OF PLACENTAL ASSOCIATIONS 12TH MEETING OF THE EUROPEAN PLACENTA GROUP IFPA EPG,1.0
2024.0,5.0,,,"Miglino, Maria Angelica",18,Developmental Biology,16.0,3.35 Zoology & Animal Ecology,9.0,1.81.960 Spermatogenesis,6.0,13 Climate Action,11.0,Emerging Sources Citation Index (ESCI),2.0,UNIVERSIDADE ESTADUAL PAULISTA,9.0,Universidade De Sao Paulo Faculdade De Medicina Veterinaria E Zootecnia Departamento De Cirurgia,4.0,ANIMAL REPRODUCTION,3.0,,,FRANCE,3.0,Wiley,7.0,Developmental Biology,16.0,Free to Read,3.0,COORDENACAO DE APERFEICOAMENTO DE PESSOAL DE NIVEL SUPERIOR CAPES,20.0,MEETING OF THE INTERNATIONAL FEDERATION OF PLACENTA ASSOCIATIONS IFPA,1.0
2023.0,4.0,,,"Oliveira, M. F.",16,Zoology,15.0,1.72 Obstetrics & Gynecology,6.0,3.35.721 Rodent Ecology,6.0,05 Gender Equality,8.0,,,UNIVERSIDADE FEDERAL DA PARAIBA,7.0,Universidade De Sao Paulo Departamento De Medicina Veterinaria Preventiva E Saude Animal,2.0,MICROSCOPY RESEARCH AND TECHNIQUE,3.0,,,GERMANY,3.0,Springer Nature,6.0,Zoology,15.0,Green Published,7.0,FUNDACAO DE APOIO A PESQUISA DO DISTRITO FEDERAL FAPDF,3.0,,
2022.0,3.0,,,"Oliveira, Gleidson",15,Parasitology,9.0,1.142 Urology,3.0,1.81.339 Embryo Development,5.0,02 Zero Hunger,3.0,,,UNIVERSIDADE FEDERAL DE MINAS GERAIS,6.0,University Of Sao Paulo Department Of Anatomy,2.0,REPRODUCTION FERTILITY AND DEVELOPMENT,3.0,,,FINLAND,1.0,Brazilian Coll Animal Reproduction,3.0,Agriculture,11.0,Green Submitted,37.0,NATIONAL COUNCIL OF SCIENTIFIC RESEARCHES CNPQ,2.0,,
2021.0,4.0,,,"Santos, Amilton C",14,Obstetrics Gynecology,8.0,1.163 Parasitology - General,3.0,1.81.176 Male Fertility,4.0,14 Life Below Water,2.0,,,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,6.0,Federal University Of Mato Grosso Campus Sinop,1.0,ACTA SCIENTIAE VETERINARIAE,2.0,,,SPAIN,1.0,Csiro Publishing,3.0,Parasitology,9.0,,,AGENCE NATIONALE DE LA RECHERCHE ANR,1.0,,
2020.0,2.0,,,"Silva, Alexandre Rodrigues",13,Agriculture Dairy Animal Science,7.0,1.253 Nerve Disorders,2.0,1.142.1805 Urethral And Hypospadias Surgery,3.0,,,,,FUNDACAO OSWALDO CRUZ,5.0,Federal University Of Mato Grosso Institute Of Health Sciences,1.0,ACTA ZOOLOGICA,2.0,,,,,Bioscientifica Ltd,2.0,Obstetrics Gynecology,8.0,,,BRAZILIAN CENTRO DE MANEJO E CONSERVACAO DA FAUNA SILVESTRE CEMAFAUNA CAATINGA,1.0,,
2019.0,3.0,,,"Viana, Diego",10,Biology,7.0,1.258 Zoonotic Diseases,2.0,1.253.1134 Peripheral Nerve Regeneration,2.0,,,,,UNIVERSITY OF CALIFORNIA DAVIS,5.0,Institute Biomed Science University Sao Paulo,1.0,ANIMAL REPRODUCTION SCIENCE,2.0,,,,,Fundaco Oswaldo Cruz,2.0,Life Sciences Biomedicine Other Topics,7.0,,,CHICO MENDES INSTITUTE FOR BIODIVERSITY CONSERVATION INSTITUTO CHICO MENDES DE CONSERVACAO DA BIODIVERSIDADE ICMBIO,1.0,,
2018.0,6.0,,,"Bezerra, Ferdinando V. F.",10,Tropical Medicine,7.0,1.278 Adrenal Disorders,2.0,1.258.227 Tick-borne Pathogens,2.0,,,,,UNIVERSITY OF CALIFORNIA SYSTEM,5.0,Paraiba Federal University Centre For Applied And Natural Sciences,1.0,BIOPRESERVATION AND BIOBANKING,2.0,,,,,"Mary Ann Liebert, Inc",2.0,Tropical Medicine,7.0,,,CNRS FIOCRUZ,1.0,,
2017.0,9.0,,,"Oliveira, Moacir F.",9,Anatomy Morphology,6.0,1.37 Cardiology - General,2.0,1.261.695 Leishmaniasis Dynamics,2.0,,,,,HUMBOLDT UNIVERSITY OF BERLIN,3.0,Universidade De Sao Paulo Faculdade De Medicina,1.0,CIENCIA RURAL,2.0,,,,,Soc Brasileira Medicina Tropical,2.0,Anatomy Morphology,6.0,,,COORDINATION FOR THE IMPROVEMENT OF HIGHER EDUCATION PERSONNEL CAPES NATIONAL INCENTIVE PROGRAM FOR BASIC PARASITOLOGY PROGRAMA NACIONAL DE INCENTIVO A PARASITOLOGIA BASICA,1.0,,
2016.0,6.0,,,"Favaron, Phelipe O",9,Cell Biology,6.0,3.16 Phytochemicals,2.0,1.278.1537 Congenital Adrenal Hyperplasia,2.0,,,,,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE UERN,3.0,Universidade De Sao Paulo Faculdade De Medicina Departamento De Cirurgia,1.0,MEMORIAS DO INSTITUTO OSWALDO CRUZ,2.0,,,,,Univ Fed Rio Grande Do Sul,2.0,Cell Biology,6.0,,,COORDINATION OF SUPERIOR LEVEL STAFF IMPROVEMENT CAPES,1.0,,
2015.0,6.0,,,"Pereira, Alexsandra",8,Microscopy,4.0,8.93 Archaeology,2.0,1.37.2220 Veterinary Cardiology,2.0,,,,,UNIVERSIDADE ESTADUAL DE LONDRINA,3.0,University Of California Davis Department Of Population Health And Reproduction,1.0,PAKISTAN JOURNAL OF ZOOLOGY,2.0,,,,,Univ Federal Santa Maria,2.0,Microscopy,4.0,,,COPES SCIENTIFIC INITIATION GRANT,1.0,,
2014.0,8.0,,,"Mess, Andrea Maria",8,Agronomy,3.0,1.106 Rheumatology,1.0,1.81.1408 Fertility Preservation,2.0,,,,,UNIVERSIDADE FEDERAL DO VALE DO SAO FRANCISCO,3.0,University Of Helsinki Faculty Of Biological And Environmental Sciences,1.0,REPRODUCTION,2.0,,,,,Zoological Soc Pakistan,2.0,Chemistry,2.0,,,CPQRR FIOCRUZ MG,1.0,,
2013.0,1.0,,,"Oliveira, Radan",6,Agriculture Multidisciplinary,2.0,1.137 Sleep Science & Circadian Systems,1.0,3.16.1496 Ethnobotany,2.0,,,,,UNIVERSITE PARIS SACLAY,3.0,,,REPRODUCTIVE BIOLOGY AND ENDOCRINOLOGY,2.0,,,,,Amer Soc Trop Med & Hygiene,1.0,Endocrinology Metabolism,2.0,,,DCR FELLOWSHIP,1.0,,
