Publication Years,Publication Years_Count,Document Types,Document Types_Count,Researcher Profiles,Researcher Profiles_Count,Web of Science Categories,Web of Science Categories_Count,Citation Topics Meso,Citation Topics Meso_Count,Citation Topics Micro,Citation Topics Micro_Count,Sustainable Development Goals,Sustainable Development Goals_Count,Web of Science Index,Web of Science Index_Count,Affiliations,Affiliations_Count,Affiliation with Department,Affiliation with Department_Count,Publication Titles,Publication Titles_Count,Languages,Languages_Count,Countries/Regions,Countries/Regions_Count,Publishers,Publishers_Count,Research Areas,Research Areas_Count
2022.0,1.0,Article,1.0,"Orsini, Vinicius Santana",1,Ecology,1.0,3.35 Zoology & Animal Ecology,1.0,3.35.721 Rodent Ecology,1.0,13 Climate Action,1.0,Science Citation Index Expanded (SCI-EXPANDED),1.0,ASSOC PESQUISA CONSERVACAO AMBIENTES AQUAT,1.0,Federal University Of Rio De Janeiro Forum Of Science And Culture,1.0,ECOLOGY,1.0,English,1.0,BRAZIL,1.0,Wiley,1.0,Environmental Sciences Ecology,1.0
,,Data Paper,1.0,Ricardo Siqueira Bovendorp,1,,,,,,,15 Life On Land,1.0,,,BICHO MATO MEIO AMBIENTE LTDA,1.0,Museu Nacional Ufrj,1.0,,,,,PORTUGAL,1.0,,,,
,,,,"Sobral, Gisela",1,,,,,,,,,,,CTR CONSERVACAO MANEJO FAUNA CAATINGA CEMAFAUNA,1.0,,,,,,,,,,,,
,,,,"Silva, S. S. C.",1,,,,,,,,,,,INST RESGATANDO VERDE,1.0,,,,,,,,,,,,
,,,,"Paise, Gabriela",1,,,,,,,,,,,UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO,1.0,,,,,,,,,,,,
,,,,"Guilhon, Gabby",1,,,,,,,,,,,UNIVERSIDADE DO PORTO,1.0,,,,,,,,,,,,
,,,,"Braga, Caryne",1,,,,,,,,,,,UNIVERSIDADE ESTADUAL DE SANTA CRUZ,1.0,,,,,,,,,,,,
,,,,"Loretto, Diogo",1,,,,,,,,,,,UNIVERSIDADE ESTADUAL DO CEARA,1.0,,,,,,,,,,,,
,,,,Richard Ladle,1,,,,,,,,,,,UNIVERSIDADE ESTADUAL DO NORTE FLUMINENSE,1.0,,,,,,,,,,,,
,,,,"Reis, Matheus G.",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DE ALAGOAS,1.0,,,,,,,,,,,,
,,,,"Menezes, Fernando Heberson",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DE MINAS GERAIS,1.0,,,,,,,,,,,,
,,,,Luiz C.M. Pereira,1,,,,,,,,,,,UNIVERSIDADE FEDERAL DE OURO PRETO,1.0,,,,,,,,,,,,
,,,,"Caccavo, Aldo",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DE SERGIPE,1.0,,,,,,,,,,,,
,,,,"de Almeida, Ana Carolina L. B.",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DO CEARA,1.0,,,,,,,,,,,,
,,,,"Varjao, Iardley Cicero Gomes",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,1.0,,,,,,,,,,,,
,,,,"Malhado, Ana C M",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DO VALE DO SAO FRANCISCO,1.0,,,,,,,,,,,,
,,,,Ana Cláudia Delciellos,1,,,,,,,,,,,UNIVERSIDADE REGIONAL DO CARIRI,1.0,,,,,,,,,,,,
,,,,"Oliveira, Leandro D.",1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ferreira, J. V.",1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Becker, Rafael",1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Bocchiglieri, Adriana",1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Nicola, Patricia Avello",1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Geise, Lena",1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Camara, Edeltrudes M. V. C.",1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Barreto, Rebeca Mascarenhas Fonseca",1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"da Costa-Pinto, Anna Ludmilla",1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Guedes, Patricia G",1,,,,,,,,,,,,,,,,,,,,,,,,
