Publication Years,Publication Years_Count,Document Types,Document Types_Count,Researcher Profiles,Researcher Profiles_Count,Web of Science Categories,Web of Science Categories_Count,Citation Topics Meso,Citation Topics Meso_Count,Citation Topics Micro,Citation Topics Micro_Count,Sustainable Development Goals,Sustainable Development Goals_Count,Web of Science Index,Web of Science Index_Count,Affiliations,Affiliations_Count,Affiliation with Department,Affiliation with Department_Count,Publication Titles,Publication Titles_Count,Languages,Languages_Count,Countries/Regions,Countries/Regions_Count,Publishers,Publishers_Count,Research Areas,Research Areas_Count,Open Access,Open Access_Count,Funding Agencies,Funding Agencies_Count
2025.0,5.0,Article,31.0,"O'Brien, P.",11,Multidisciplinary Sciences,10.0,1.186 Chromosome Disorders,11.0,1.186.670 Chromosomal Evolution,11.0,15 Life On Land,21.0,Science Citation Index Expanded (SCI-EXPANDED),30.0,UNIVERSIDADE FEDERAL DO PARA,12.0,University Of Cambridge Department Of Veterinary Medicine,11.0,PLOS ONE,7.0,English,30.0,BRAZIL,28.0,Public Library Science,7.0,Science Technology Other Topics,10.0,All Open Access,22.0,CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO CNPQ,18.0
2024.0,2.0,,,"Ferguson-Smith, MA",11,Zoology,5.0,1.258 Zoonotic Diseases,4.0,1.258.227 Tick-borne Pathogens,4.0,03 Good Health And Well Being,9.0,Emerging Sources Citation Index (ESCI),1.0,UNIVERSITY OF CAMBRIDGE,11.0,University Of Cambridge School Of The Biological Sciences,11.0,SCIENTIFIC REPORTS,3.0,Portuguese,1.0,ENGLAND,11.0,Springer Nature,6.0,Zoology,5.0,Gold,20.0,COORDENACAO DE APERFEICOAMENTO DE PESSOAL DE NIVEL SUPERIOR CAPES,13.0
2023.0,3.0,,,"Pieczarka, Julio C",11,Biodiversity Conservation,4.0,3.35 Zoology & Animal Ecology,4.0,3.35.721 Rodent Ecology,4.0,13 Climate Action,6.0,,,UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL,7.0,Texas Tech University College Of Arts And Sciences,3.0,PARASITOLOGY RESEARCH,2.0,,,USA,5.0,NATURE PORTFOLIO,3.0,Biodiversity Conservation,4.0,Gold-Hybrid,1.0,FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE SAO PAULO FAPESP,13.0
2022.0,1.0,,,"Nagamachi, Cleusa",11,Ecology,4.0,3.64 Phylogenetics & Genomics,4.0,3.64.34 Phylogenetic Relationships,4.0,14 Life Below Water,2.0,,,UNIVERSIDADE FEDERAL DE MATO GROSSO,4.0,Texas Tech University Department Of Biological Sciences,3.0,ACAROLOGIA,1.0,,,ARGENTINA,4.0,Wiley,3.0,Environmental Sciences Ecology,4.0,Green Published,1.0,FUNDACAO AMAZONIA DE AMPARO A ESTUDOS E PESQUISAS FAPESPA,8.0
2021.0,2.0,,,"Rossi, Rogerio V",9,Genetics Heredity,4.0,1.261 Parasitology - Trypanosoma & Leishmania,2.0,1.261.596 Trypanosoma Biology,2.0,,,,,TEXAS TECH UNIVERSITY,3.0,Universidade De Sao Paulo Departamento De Medicina Veterinaria Preventiva E Saude Animal,3.0,ACTA TROPICA,1.0,,,PARAGUAY,3.0,Elsevier,2.0,Genetics Heredity,4.0,Green Submitted,18.0,BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL BNDES,4.0
2020.0,3.0,,,"da Silva, Willam Oliveira",7,Parasitology,4.0,3.40 Forestry,2.0,3.40.195 Biodiversity Conservation,2.0,,,,,TEXAS TECH UNIVERSITY SYSTEM,3.0,Universidade De Sao Paulo Faculdade De Medicina Veterinaria E Zootecnia,3.0,ANIMAL CONSERVATION,1.0,,,PORTUGAL,3.0,"Soc Brasileira Zoologia, Univ Federal Parana",2.0,Parasitology,4.0,,,FUNDACAO PARA A CIENCIA E A TECNOLOGIA FCT,3.0
2019.0,3.0,,,"Mendes de Oliveira, Ana Cristina",7,Evolutionary Biology,3.0,1.163 Parasitology - General,1.0,1.163.645 Fish Parasitology,1.0,,,,,UNIVERSIDAD NACIONAL DE ASUNCION,3.0,The University Of Tennessee Health Science Center College Of Medicine,2.0,ANIMAL REPRODUCTION SCIENCE,1.0,,,AUSTRIA,2.0,Acarologia-Universite Paul Valery,1.0,Evolutionary Biology,3.0,,,BANCO NACIONAL DE DESENVOLVIMENTO ECONPMICO E SOCIAL BNDES,2.0
2018.0,2.0,,,"Malcher, Stella Miranda",5,Biochemistry Molecular Biology,2.0,1.228 Virology - Tropical Diseases,1.0,1.228.994 Viral Hemorrhagic Fevers,1.0,,,,,UNIVERSIDADE DE SAO PAULO,3.0,The University Of Tennessee Health Science Center Department Of Microbiology Immunology And Biochemistry,2.0,BIOCHEMICAL GENETICS,1.0,,,CHILE,1.0,Helminthological Soc Washington,1.0,Biochemistry Molecular Biology,2.0,,,FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE MATO GROSSO FAPEMAT,2.0
2017.0,2.0,,,"Leão Pereira, Adenilson",3,Entomology,2.0,1.81 Reproductive Biology,1.0,1.81.960 Spermatogenesis,1.0,,,,,UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO,3.0,University Of Aveiro Department Of Biology,2.0,BIOTA NEOTROPICA,1.0,,,COLOMBIA,1.0,Mdpi,1.0,Entomology,2.0,,,NATIONAL INSTITUTES OF HEALTH NIH USA,2.0
2016.0,1.0,,,"Geise, Lena",3,Veterinary Sciences,2.0,8.93 Archaeology,1.0,8.93.1193 Stable Isotopes,1.0,,,,,UNIVERSIDADE FEDERAL DE GOIAS,3.0,University Of Louisville Department Of Microbiology And Immunology,2.0,BMC EVOLUTIONARY BIOLOGY,1.0,,,MEXICO,1.0,Pensoft Publishers,1.0,Veterinary Sciences,2.0,,,PROGRAMA NACIONAL DE INCENTIVO A LOS INVESTIGADORES CONACYT PARAGUAY,2.0
