Publication Years,Publication Years_Count,Document Types,Document Types_Count,Researcher Profiles,Researcher Profiles_Count,Web of Science Categories,Web of Science Categories_Count,Citation Topics Meso,Citation Topics Meso_Count,Citation Topics Micro,Citation Topics Micro_Count,Sustainable Development Goals,Sustainable Development Goals_Count,Web of Science Index,Web of Science Index_Count,Affiliations,Affiliations_Count,Affiliation with Department,Affiliation with Department_Count,Publication Titles,Publication Titles_Count,Languages,Languages_Count,Countries/Regions,Countries/Regions_Count,Publishers,Publishers_Count,Research Areas,Research Areas_Count,Open Access,Open Access_Count,Funding Agencies,Funding Agencies_Count
2024.0,1.0,Article,13.0,"Alvarez, Martín R",3,Zoology,5.0,3.35 Zoology & Animal Ecology,7.0,3.35.721 Rodent Ecology,5.0,13 Climate Action,9.0,Science Citation Index Expanded (SCI-EXPANDED),13.0,UNIVERSIDADE ESTADUAL DE SANTA CRUZ,4.0,Federal University Of Bahia Institute Of Biology,1.0,MAMMALIA,2.0,English,13.0,BRAZIL,10.0,Taylor & Francis,3.0,Zoology,5.0,All Open Access,5.0,COORDENACAO DE APERFEICOAMENTO DE PESSOAL DE NIVEL SUPERIOR CAPES,4.0
2021.0,3.0,,,"Cassano, Camila R",2,Multidisciplinary Sciences,3.0,3.40 Forestry,2.0,3.35.2036 Avian Parasitology,2.0,15 Life On Land,9.0,Social Sciences Citation Index (SSCI),1.0,UNIVERSIDADE FEDERAL DE MINAS GERAIS,2.0,Federal University Of Rio De Janeiro Department Of Ecology,1.0,PLOS ONE,2.0,,,USA,3.0,Public Library Science,2.0,Science Technology Other Topics,3.0,Gold,3.0,CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO CNPQ,3.0
2020.0,1.0,,,"Grelle, Carlos EV",1,Ecology,2.0,1.186 Chromosome Disorders,1.0,3.40.195 Biodiversity Conservation,2.0,03 Good Health And Well Being,3.0,,,UNIVERSITY OF OKLAHOMA NORMAN,2.0,Federal University Of Rio De Janeiro Health Sciences Centre,1.0,STUDIES ON NEOTROPICAL FAUNA AND ENVIRONMENT,2.0,,,ARGENTINA,1.0,Walter De Gruyter,2.0,Entomology,2.0,Free to Read,1.0,FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE SAO PAULO FAPESP,3.0
2019.0,2.0,,,"Naxara, Laura",1,Entomology,2.0,1.246 Diarrheal Diseases,1.0,1.186.670 Chromosomal Evolution,1.0,14 Life Below Water,2.0,,,UNIVERSITY OF OKLAHOMA SYSTEM,2.0,Federal University Of Rio De Janeiro Institute Of Biology,1.0,AGROFORESTRY SYSTEMS,1.0,,,COLOMBIA,1.0,Wiley,2.0,Environmental Sciences Ecology,2.0,Green Submitted,5.0,BELGIAN NATIONAL FOCAL POINT TO THE GLOBAL TAXONOMY INITIATIVE,1.0
2014.0,1.0,,,"O'Brien, P.",1,Agronomy,1.0,3.64 Phylogenetics & Genomics,1.0,1.246.985 Cryptosporidium,1.0,,,,,INST BIOL SUBTROP CONICET UNAM,1.0,Oklahoma Museum Of Natural History,1.0,ANAIS DA ACADEMIA BRASILEIRA DE CIENCIAS,1.0,,,ENGLAND,1.0,Acad Brasileira De Ciencias,1.0,Agriculture,1.0,,,CNPQ PPBIO REDE BIOMA,1.0
2011.0,1.0,,,"Paula, A",1,Forestry,1.0,8.93 Archaeology,1.0,3.64.864 Evolutionary Dynamics,1.0,,,,,INST CARSTE,1.0,State University Of Santa Cruz Collegiate Of Biomedicine,1.0,AUSTRAL ECOLOGY,1.0,,,RUSSIA,1.0,ENTOMOL SOC AMER,1.0,Forestry,1.0,,,DEPARTMENT OF MICROBIOLOGY UNIVERSIDAD DEL VALLE CALI,1.0
2003.0,1.0,,,"Rossi, Rogerio V",1,Veterinary Sciences,1.0,,,8.93.805 Mammalia,1.0,,,,,RUSSIAN ACADEMY OF SCIENCES,1.0,State University Of Santa Cruz Department Of Biological Sciences,1.0,BIOTROPICA,1.0,,,,,Oxford Univ Press,1.0,Veterinary Sciences,1.0,,,FAPITEC SE AUXPE CAPES,1.0
1995.0,1.0,,,"Paixao, Vergiana dos Santos",1,,,,,,,,,,,UNIVERSIDAD DEL VALLE,1.0,The University Of Oklahoma College Of Arts And Sciences,1.0,INTERNATIONAL JOURNAL OF ACAROLOGY,1.0,,,,,Springer Nature,1.0,,,,,FAPITEC SE FUNTEC CNPQ,1.0
1992.0,1.0,,,"Pinotti, B",1,,,,,,,,,,,UNIVERSIDADE DE BRASILIA,1.0,The University Of Oklahoma Department Of Biology,1.0,JOURNAL OF MAMMALOGY,1.0,,,,,,,,,,,FEDERAL MINISTRY OF EDUCATION RESEARCH BMBF,1.0
1986.0,1.0,,,"Arantes-Pereira, Lucas",1,,,,,,,,,,,UNIVERSIDADE DE SAO PAULO,1.0,Universidade De Sao Paulo Departamento De Ecologia,1.0,JOURNAL OF MEDICAL ENTOMOLOGY,1.0,,,,,,,,,,,FOUNDATION FOR RESEARCH SUPPORT OF BAHIA FAPESB,1.0
,,,,"Mariano-Neto, Eduardo",1,,,,,,,,,,,UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO,1.0,Universidade De Sao Paulo Instituto De Biociencias,1.0,,,,,,,,,,,,,FUNDACAO DE AMPARO A PESQUISA DO ESTADO DA BAHIA FAPESB,1.0
,,,,"da Silva, Willam Oliveira",1,,,,,,,,,,,UNIVERSIDADE ESTADUAL PAULISTA,1.0,University Of Cambridge Department Of Veterinary Medicine,1.0,,,,,,,,,,,,,FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE MINAS GERAIS FAPEMIG,1.0
,,,,"da Costa e Silva, angela Benedita",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DA BAHIA,1.0,University Of Cambridge School Of The Biological Sciences,1.0,,,,,,,,,,,,,FUNDACO DE AMPARO A PESQUISA DO ESTADO DA BAHIA FAPESB,1.0
,,,,"Vasconcelos, Andre",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL,1.0,University Of Michigan College Of Literature Science And The Arts,1.0,,,,,,,,,,,,,PRO REITORIA DE PESQUISA E POS GRADUACAO PROPP OF UNIVERSIDADE ESTADUAL DE SANTA CRUZ,1.0
,,,,"Ferguson-Smith, MA",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DE SERGIPE,1.0,University Of Michigan Museum Of Zoology,1.0,,,,,,,,,,,,,UESC,1.0
,,,,"Suarez, Pablo A.",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DO PARA,1.0,,,,,,,,,,,,,,,,
,,,,"Fehlberg, Hllytchaikra F.",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,1.0,,,,,,,,,,,,,,,,
,,,,"Pieczarka, Julio C",1,,,,,,,,,,,UNIVERSITY OF CAMBRIDGE,1.0,,,,,,,,,,,,,,,,
,,,,"Bocchiglieri, Adriana",1,,,,,,,,,,,UNIVERSITY OF MICHIGAN,1.0,,,,,,,,,,,,,,,,
,,,,"Calazans, Joseane De Faria",1,,,,,,,,,,,UNIVERSITY OF MICHIGAN SYSTEM,1.0,,,,,,,,,,,,,,,,
,,,,"Nagamachi, Cleusa",1,,,,,,,,,,,ZOOLOGICAL INSTITUTE OF THE RUSSIAN ACADEMY OF SCIENCES,1.0,,,,,,,,,,,,,,,,
,,,,"Brito Junior, Pedro de Alcantara",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"BOCHKOV, AV",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Barreto, Mauricio",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Auler, Augusto S.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Gaiotto, Fernanda Amato",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Albano dos Santos, Camila",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Mares, Michael",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Rios G, Vinicio",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Bittencourt, Jonathas",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Albuquerque, George Rego",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Geise, Lena",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Jose Garcia, Francisco",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Bigai, Lizandra Regina",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Costa, Letícia",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Alho, Cleber",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Oliveira, Bruno Cesar Miranda",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ernest, Kristina A.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Pardini, Renata",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Gettinger, Donald",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ribeiro, cassia",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Harvey, Tatiane Vitor",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Mendes de Oliveira, Ana Cristina",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
