Publication Years,Publication Years_Count,Document Types,Document Types_Count,Researcher Profiles,Researcher Profiles_Count,Web of Science Categories,Web of Science Categories_Count,Citation Topics Meso,Citation Topics Meso_Count,Citation Topics Micro,Citation Topics Micro_Count,Sustainable Development Goals,Sustainable Development Goals_Count,Web of Science Index,Web of Science Index_Count,Affiliations,Affiliations_Count,Affiliation with Department,Affiliation with Department_Count,Publication Titles,Publication Titles_Count,Languages,Languages_Count,Countries/Regions,Countries/Regions_Count,Publishers,Publishers_Count,Research Areas,Research Areas_Count,Open Access,Open Access_Count,Funding Agencies,Funding Agencies_Count
2025.0,3.0,Article,44.0,"dos Reis, Sergio",7,Zoology,29.0,3.64 Phylogenetics & Genomics,19.0,3.64.864 Evolutionary Dynamics,18.0,13 Climate Action,30.0,Science Citation Index Expanded (SCI-EXPANDED),47.0,FUNDACAO OSWALDO CRUZ,11.0,Federal University Of Rio De Janeiro Health Sciences Centre,5.0,JOURNAL OF MAMMALOGY,5.0,English,48.0,BRAZIL,33.0,Elsevier,15.0,Zoology,29.0,All Open Access,13.0,CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO CNPQ,11.0
2022.0,1.0,Meeting Abstract,2.0,"Monteiro, Leandro R",5,Parasitology,6.0,3.35 Zoology & Animal Ecology,7.0,3.35.721 Rodent Ecology,7.0,15 Life On Land,16.0,Social Sciences Citation Index (SSCI),2.0,UNIVERSIDADE DE SAO PAULO,9.0,North Fluminense State University Bioscience And Biotechnology Centre,4.0,AMERICAN ZOOLOGIST,2.0,,,USA,6.0,Oxford Univ Press,7.0,Parasitology,6.0,Gold,5.0,COORDENACAO DE APERFEICOAMENTO DE PESSOAL DE NIVEL SUPERIOR CAPES,11.0
2021.0,2.0,Book Chapters,1.0,"D'Andrea, Paulo S.",5,Ecology,4.0,1.261 Parasitology - Trypanosoma & Leishmania,6.0,1.261.596 Trypanosoma Biology,5.0,03 Good Health And Well Being,10.0,Book Citation Index – Science (BKCI-S),1.0,UNIVERSIDADE ESTADUAL DE CAMPINAS,8.0,Federal University Of Rio De Janeiro Forum Of Science And Culture,3.0,COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY A MOLECULAR INTEGRATIVE PHYSIOLOGY,2.0,,,ENGLAND,5.0,Wiley,7.0,Environmental Sciences Ecology,4.0,Gold-Hybrid,1.0,FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE SAO PAULO FAPESP,9.0
2020.0,1.0,Editorial Material,1.0,"CRANFORD, J",4,Evolutionary Biology,4.0,8.93 Archaeology,5.0,8.93.805 Mammalia,5.0,14 Life Below Water,1.0,,,UNIVERSIDADE ESTADUAL PAULISTA,6.0,Federal University Of Rio De Janeiro Institute Of Biology,3.0,EXPERIMENTAL PARASITOLOGY,2.0,,,RUSSIA,3.0,Springer Nature,3.0,Evolutionary Biology,4.0,Free to Read,5.0,FUNDACAO CARLOS CHAGAS FILHO DE AMPARO A PESQUISA DO ESTADO DO RIO DE JANEIRO FAPERJ,3.0
2019.0,1.0,Review Article,1.0,"Jansen, Ana Maria",3,Physiology,3.0,1.186 Chromosome Disorders,3.0,1.186.670 Chromosomal Evolution,3.0,,,,,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,6.0,Museu Nacional Ufrj,3.0,HYSTRIX ITALIAN JOURNAL OF MAMMALOGY,2.0,,,ITALY,2.0,Amer Soc Zoologists,2.0,Physiology,3.0,Green Submitted,9.0,FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE MINAS GERAIS FAPEMIG,3.0
2018.0,2.0,,,Fernando J. Von Zuben,3,Anatomy Morphology,2.0,1.258 Zoonotic Diseases,3.0,1.258.227 Tick-borne Pathogens,3.0,,,,,UNIVERSIDADE ESTADUAL DO NORTE FLUMINENSE,5.0,Federal University Of Bahia Institute Of Biology,2.0,JOURNAL OF ZOOLOGY,2.0,,,ARGENTINA,1.0,Assoc Teriologica Italiana,2.0,Anatomy Morphology,2.0,,,LEVERHULME TRUST,2.0
2017.0,1.0,,,"Thompson, Kaci",3,Biochemistry Molecular Biology,2.0,1.163 Parasitology - General,1.0,1.163.1022 Anthelmintic Resistance,1.0,,,,,PONTIFICIA UNIVERSIDADE CATOLICA DE MINAS GERAIS,4.0,Hull York Medical School,2.0,MAMMALIAN BIOLOGY,2.0,,,CZECH REPUBLIC,1.0,Acad Brasileira De Ciencias,1.0,Biochemistry Molecular Biology,2.0,,,RUGGLES GATES FUND FOR BIOLOGICAL ANTHROPOLOGY,2.0
2016.0,2.0,,,"Duarte, Luiz Carlos",3,Computer Science Artificial Intelligence,2.0,3.40 Forestry,1.0,1.261.695 Leishmaniasis Dynamics,1.0,,,,,VIRGINIA POLYTECHNIC INSTITUTE STATE UNIVERSITY,4.0,University Of Hull Faculty Of Health Sciences,2.0,VETERINARY PARASITOLOGY,2.0,,,FRANCE,1.0,Amer Soc Mammalogists,1.0,Computer Science,2.0,,,A N SEVERTSOV INSTITUTE OF ECOLOGY AND EVOLUTION RUSSIAN ACADEMY OF SCIENCES RAS MOSCOW,1.0
2014.0,1.0,,,"da F. Costa, Luciano",2,Entomology,2.0,,,3.40.86 Plant Communities,1.0,,,,,NATIONAL CANCER INSTITUTE INCA,3.0,Federal University Of Rio De Janeiro Department Of Ecology,1.0,ZOOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,2.0,,,GERMANY,1.0,Fundaco Oswaldo Cruz,1.0,Entomology,2.0,,,AGENCIA NACIONAL DE PROMOCION CIENTIFICA Y TECNOLOGICA GRANT,1.0
2013.0,2.0,,,"Rocha, Pedro Luís B.",2,Genetics Heredity,2.0,,,3.64.71 Genetic Diversity,1.0,,,,,RUSSIAN ACADEMY OF SCIENCES,3.0,Federal University Of Rio De Janeiro Department Of Genetics,1.0,ACTA CHIROPTEROLOGICA,1.0,,,IRAN,1.0,Gustav Fischer Verlag Jena,1.0,Genetics Heredity,2.0,,,AMNH AND RICHARD GILDER GRADUATE SCHOOL COLLECTION STUDY GRANT,1.0
