Publication Years,Publication Years_Count,Document Types,Document Types_Count,Researcher Profiles,Researcher Profiles_Count,Web of Science Categories,Web of Science Categories_Count,Citation Topics Meso,Citation Topics Meso_Count,Citation Topics Micro,Citation Topics Micro_Count,Sustainable Development Goals,Sustainable Development Goals_Count,Web of Science Index,Web of Science Index_Count,Affiliations,Affiliations_Count,Affiliation with Department,Affiliation with Department_Count,Publication Titles,Publication Titles_Count,Languages,Languages_Count,Countries/Regions,Countries/Regions_Count,Publishers,Publishers_Count,Research Areas,Research Areas_Count,Open Access,Open Access_Count,Funding Agencies,Funding Agencies_Count
2024.0,1.0,Article,14.0,"Jansen, Ana Maria",5,Parasitology,5.0,1.261 Parasitology - Trypanosoma & Leishmania,6.0,1.261.596 Trypanosoma Biology,5.0,03 Good Health And Well Being,11.0,Science Citation Index Expanded (SCI-EXPANDED),13.0,FUNDACAO OSWALDO CRUZ,8.0,Universidade De Sao Paulo Departamento De Medicina Veterinaria Preventiva E Saude Animal,2.0,ACTA TROPICA,1.0,English,14.0,BRAZIL,14.0,Elsevier,3.0,Parasitology,5.0,All Open Access,8.0,CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO CNPQ,11.0
2023.0,1.0,,,"Labruna, Marcelo B",3,Tropical Medicine,4.0,1.258 Zoonotic Diseases,4.0,1.258.227 Tick-borne Pathogens,4.0,13 Climate Action,3.0,Emerging Sources Citation Index (ESCI),1.0,INSTITUT DE RECHERCHE POUR LE DEVELOPPEMENT IRD,3.0,Universidade De Sao Paulo Faculdade De Medicina Veterinaria E Zootecnia,2.0,BIOTA NEOTROPICA,1.0,,,FRANCE,2.0,Public Library Science,2.0,Tropical Medicine,4.0,Gold,5.0,FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE SAO PAULO FAPESP,9.0
2020.0,1.0,,,"Xavier, Samanta Cristina das Chagas",3,Entomology,2.0,"1.217 Parasitology - Malaria, Toxoplasmosis & Coccidiosis",1.0,1.217.1038 Toxoplasma Gondii,1.0,15 Life On Land,2.0,,,UNIVERSIDADE DE SAO PAULO,3.0,Federal University Of Rio De Janeiro Health Sciences Centre,1.0,ENTOMOLOGICAL NEWS,1.0,,,USA,2.0,Amer Entomol Soc,1.0,Entomology,2.0,Gold-Hybrid,1.0,COORDENACAO DE APERFEICOAMENTO DE PESSOAL DE NIVEL SUPERIOR CAPES,5.0
2019.0,2.0,,,"Horta, Mauricio Claudio",3,Infectious Diseases,2.0,3.35 Zoology & Animal Ecology,1.0,1.261.695 Leishmaniasis Dynamics,1.0,,,,,UNIVERSIDADE FEDERAL DO VALE DO SAO FRANCISCO,3.0,Federal University Of Rio De Janeiro Institute Of Biology,1.0,EXPERIMENTAL AND APPLIED ACAROLOGY,1.0,,,BELGIUM,1.0,Fundaco Oswaldo Cruz,1.0,Infectious Diseases,2.0,Green Published,2.0,FUNDACAO CARLOS CHAGAS FILHO DE AMPARO A PESQUISA DO ESTADO DO RIO DE JANEIRO FAPERJ,3.0
2018.0,1.0,,,"D'Andrea, Paulo S.",3,Public Environmental Occupational Health,2.0,3.64 Phylogenetics & Genomics,1.0,3.35.683 Reptile Ecology,1.0,,,,,UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO UFRPE,3.0,London School Of Hygiene And Tropical Medicine Faculty Of Infectious And Tropical Diseases,1.0,JOURNAL OF MORPHOLOGY,1.0,,,CHILE,1.0,Magnolia Press,1.0,Public Environmental Occupational Health,2.0,Green Submitted,7.0,ALBETAAN PROGRAM FELLOWSHIP,1.0
2014.0,1.0,,,"Marvulo, Maria Fernanda V.",2,Veterinary Sciences,2.0,8.93 Archaeology,1.0,3.64.864 Evolutionary Dynamics,1.0,,,,,AIX MARSEILLE UNIVERSITE,2.0,Paraiba Federal University Centre For Applied And Natural Sciences,1.0,MEMORIAS DO INSTITUTO OSWALDO CRUZ,1.0,,,ENGLAND,1.0,"Mary Ann Liebert, Inc",1.0,Veterinary Sciences,2.0,,,BAYER RESEARCH AND TRAVEL GRANT,1.0
2012.0,2.0,,,"Mauffrey, J",2,Anatomy Morphology,1.0,,,8.93.805 Mammalia,1.0,,,,,FIOCRUZ RESEARCH CENTER RENE RACHOU,2.0,Universidade De Sao Paulo Departamento De Parasitologia,1.0,PARASITOLOGY INTERNATIONAL,1.0,,,ITALY,1.0,Oxford Univ Press,1.0,Anatomy Morphology,1.0,,,CENTRO DE PESQUISAS RENE RACHOU FUNDACAO OSWALDO CRUZ CPQRR FIOCRUZ,1.0
2011.0,2.0,,,"Dantas-Torres, Filipe",2,Biodiversity Conservation,1.0,,,,,,,,,INST BRASILEIRO MED CONSERVACAO TRIADE,2.0,,,PESQUISA VETERINARIA BRASILEIRA,1.0,,,,,Revista Biota Neotropica,1.0,Biodiversity Conservation,1.0,,,CPQRR FIOCRUZ MG,1.0
2010.0,1.0,,,Lileia Diotaiuti,2,Multidisciplinary Sciences,1.0,,,,,,,,,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,2.0,,,PLOS NEGLECTED TROPICAL DISEASES,1.0,,,,,Revista Pesquisa Veterinaria Brasileira,1.0,Science Technology Other Topics,1.0,,,EUROPEAN COMMISSION JOINT RESEARCH CENTRE,1.0
2009.0,1.0,,,"Torres-Santos, Paula Talita",2,Zoology,1.0,,,,,,,,,72 BIMTZ,1.0,,,PLOS ONE,1.0,,,,,Springer Nature,1.0,Zoology,1.0,,,EUROPEAN UNION EU,1.0
2007.0,1.0,,,"Martins, Thiago",2,,,,,,,,,,,CORIS BIOCONCEPT,1.0,,,TRANSACTIONS OF THE ROYAL SOCIETY OF TROPICAL MEDICINE AND HYGIENE,1.0,,,,,Wiley,1.0,,,,,FIOCRUZ,1.0
,,,,"Alessio, Filipe Martins",2,,,,,,,,,,,CTR FED EDUC TECNOL CELSO SUCKOW FONSECA CEFET,1.0,,,VECTOR BORNE AND ZOONOTIC DISEASES,1.0,,,,,,,,,,,FUNDACAO DE AMPARO A CIENCIA E TECNOLOGIA DO ESTADO DE PERNAMBUCO FACEPE,1.0
,,,,Nelder F Gontijo,1,,,,,,,,,,,CTR UNIV CHRISTUS,1.0,,,VETERINARY PARASITOLOGY REGIONAL STUDIES AND REPORTS,1.0,,,,,,,,,,,FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE MINAS GERAIS FAPEMIG,1.0
,,,,"Rocha-Barbosa, Oscar",1,,,,,,,,,,,FED UNIV VALE SAO FRANCISCO,1.0,,,ZOOTAXA,1.0,,,,,,,,,,,FUNDACAO OSWALDO CRUZ,1.0
,,,,"Lizee, Marie-Helene",1,,,,,,,,,,,IME,1.0,,,,,,,,,,,,,,,INSTITUT DE RECHERCHE POUR LE DEVELOPPEMENT IRD,1.0
,,,,"Morlanes, Vivian",1,,,,,,,,,,,INST TECHNOL IMMUNOBIOL BIOMANGUINHOS,1.0,,,,,,,,,,,,,,,INSTITUTO BRASILEIRO PARA MEDICINA DA CONSERVACAO TRIADE,1.0
,,,,"Moura, Liliane Moreira Donato",1,,,,,,,,,,,INSTITUTE BIOMED SCIENCE UNIVERSITY SAO PAULO,1.0,,,,,,,,,,,,,,,INSTITUTO CHICO MENDES DE CONSERVACAO DA BIODIVERSIDADE ICMBIO BRAZIL,1.0
,,,,"da Silva, Jean Constantino Gomes",1,,,,,,,,,,,LONDON SCHOOL OF HYGIENE TROPICAL MEDICINE,1.0,,,,,,,,,,,,,,,JOHNS HOPKINS UNIVERSITY,1.0
,,,,"Ramalho, Relrison Dias",1,,,,,,,,,,,SECRETARIA SAUDE ESTADO CEARA,1.0,,,,,,,,,,,,,,,NATIONAL INSTITUTES OF HEALTH NIH USA,1.0
,,,,"Toma, Helena Keiko",1,,,,,,,,,,,UNITED STATES DEPARTMENT OF AGRICULTURE USDA,1.0,,,,,,,,,,,,,,,NIH NATIONAL INSTITUTE OF ALLERGY INFECTIOUS DISEASES NIAID,1.0
,,,,"Siqueira, Daniel B.",1,,,,,,,,,,,UNIVERSIDAD DE CONCEPCION,1.0,,,,,,,,,,,,,,,PAPES FIOCRUZ,1.0
,,,,"Teixeira, Bernardo R",1,,,,,,,,,,,UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO,1.0,,,,,,,,,,,,,,,PROPPG UFERSA,1.0
,,,,"Marcili, Arlei",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DA PARAIBA,1.0,,,,,,,,,,,,,,,SES CE,1.0
,,,,T. Bhattacharyya,1,,,,,,,,,,,UNIVERSIDADE FEDERAL DE MINAS GERAIS,1.0,,,,,,,,,,,,,,,SIR HALLEY STEWART TRUST,1.0
,,,,"guarneri, Alessandra A",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DE PERNAMBUCO,1.0,,,,,,,,,,,,,,,UFERSA UNIVERSIDADE FEDERAL RURAL DO SEMI ARIDO,1.0
,,,,"Pessôa, Leila L M",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DO CEARA,1.0,,,,,,,,,,,,,,,UNITED STATES DEPARTMENT OF HEALTH HUMAN SERVICES,1.0
,,,,"Bastos, Fernanda Aparecida Nieri",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DO PARANA,1.0,,,,,,,,,,,,,,,UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO,1.0
,,,,"Arraes-Santos, Ana Isabel",1,,,,,,,,,,,UNIVERSIDADE FEDERAL RURAL DO SEMI ARIDO UFERSA,1.0,,,,,,,,,,,,,,,WORLD HEALTH ORGANIZATION,1.0
,,,,"Mertens, Peter",1,,,,,,,,,,,UNIVERSITA DEGLI STUDI DI BARI ALDO MORO,1.0,,,,,,,,,,,,,,,,
,,,,"Coutinho, Carolina",1,,,,,,,,,,,UNIVERSITY OF LONDON,1.0,,,,,,,,,,,,,,,,
,,,,Rita de Cassia Moreira de Souza,1,,,,,,,,,,,UNIVERSITY OF NORTH CAROLINA,1.0,,,,,,,,,,,,,,,,
,,,,"de Oliveira, Tiago G.",1,,,,,,,,,,,UNIVERSITY OF NORTH CAROLINA CHARLOTTE,1.0,,,,,,,,,,,,,,,,
,,,,"de Siqueira, Daniel",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Pereira, Marcos Horácio",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"calabuig, cecilia",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Vieira, Rafael F.C.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Vieira, Thallitha",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Taili, Itainara",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Lima, Marli Maria",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Barbosa, Silvia Ermelinda",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Mcclean, Mairi",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Neves, Antonio",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Souza, D. S.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Carvalhaes, Jeiel Gabrir",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Sarquis, Otilia",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Emperaire, Laure",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Luiz C.M. Pereira,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Marchevsky, Renato",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Zeippen, Nicolas",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Collere, Flávia Carolina Meira",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Farias, Ila Ferreira",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Murphy, Niamh",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Bezerra, Claudia Mendonca",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"DE PAOLI DE CARVALHO BRITTO, CONSTANÇA FELICIA",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Cordeiro-Estrela, Pedro",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Hohl, Leandro LS",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Costa, Filipe",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"de Góes Cavalcanti, Luciano Pamplona",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"PENA, HILDA F J",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Roque, André Luiz Rodrigues",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dubey, Jitender P.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Herrera, Leidi",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Guimaraes, MF",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Miles, Michael A.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Nicola, Patricia Avello",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,M. N. Boia,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"de Sa, Joao Luis Pereira",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Oliveira, J. B. S.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Alves, Joao R. C.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Vaz, Vanderson",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Katzenberger, Marco",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Elisa Cupolillo,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Araujo, Ricardo N",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Munoz, Sebastian",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"de Carvalho Araujo, Andreina",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Vilela, Roberto do Val",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Cabral, Sofia Oliveira",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
