Publication Years,Publication Years_Count,Document Types,Document Types_Count,Researcher Profiles,Researcher Profiles_Count,Web of Science Categories,Web of Science Categories_Count,Citation Topics Meso,Citation Topics Meso_Count,Citation Topics Micro,Citation Topics Micro_Count,Sustainable Development Goals,Sustainable Development Goals_Count,Web of Science Index,Web of Science Index_Count,Affiliations,Affiliations_Count,Affiliation with Department,Affiliation with Department_Count,Publication Titles,Publication Titles_Count,Languages,Languages_Count,Countries/Regions,Countries/Regions_Count,Publishers,Publishers_Count,Research Areas,Research Areas_Count,Open Access,Open Access_Count,Funding Agencies,Funding Agencies_Count,Conference Titles,Conference Titles_Count
2025.0,2.0,Article,9.0,"Horta, Mauricio Claudio",2,Parasitology,3.0,1.258 Zoonotic Diseases,2.0,1.258.227 Tick-borne Pathogens,2.0,03 Good Health And Well Being,5.0,Science Citation Index Expanded (SCI-EXPANDED),10.0,FUNDACAO OSWALDO CRUZ,3.0,Federal University Of Rio De Janeiro Forum Of Science And Culture,1.0,ANATOMICAL RECORD ADVANCES IN INTEGRATIVE ANATOMY AND EVOLUTIONARY BIOLOGY,1.0,English,10.0,BRAZIL,9.0,Elsevier,3.0,Parasitology,3.0,All Open Access,4.0,CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO CNPQ,5.0,14TH BIENNIAL CONFERENCE OF THE ASSOCIATION FOR APPLIED ANIMAL ANDROLOGY AAAA,1.0
2020.0,1.0,Early Access,1.0,"Langguth, Alfredo R.",1,Veterinary Sciences,3.0,1.261 Parasitology - Trypanosoma & Leishmania,2.0,1.186.670 Chromosomal Evolution,1.0,15 Life On Land,3.0,Conference Proceedings Citation Index – Science (CPCI-S),1.0,UNIVERSIDADE FEDERAL DO VALE DO SAO FRANCISCO,2.0,Federal University Of Santa Maria Centre For Natural And Exact Sciences,1.0,ANIMAL REPRODUCTION SCIENCE,1.0,,,USA,1.0,Fundaco Oswaldo Cruz,1.0,Veterinary Sciences,3.0,Gold,2.0,FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE SAO PAULO FAPESP,4.0,,
2015.0,2.0,Meeting Abstract,1.0,"Costa Maia, Vincius Fernandes",1,Zoology,2.0,3.64 Phylogenetics & Genomics,2.0,1.261.596 Trypanosoma Biology,1.0,14 Life Below Water,1.0,,,UNIVERSIDADE FEDERAL RURAL DO SEMI ARIDO UFERSA,2.0,Museu Nacional Ufrj,1.0,BIOTA NEOTROPICA,1.0,,,,,Magnolia Press,1.0,Zoology,2.0,Free to Read,1.0,COORDENACAO DE APERFEICOAMENTO DE PESSOAL DE NIVEL SUPERIOR CAPES,2.0,,
2014.0,1.0,,,"Luz, Nayra Rachel Nascimento",1,Agriculture Dairy Animal Science,1.0,1.186 Chromosome Disorders,1.0,1.261.695 Leishmaniasis Dynamics,1.0,,,,,CTR UNIV CHRISTUS,1.0,University Of Brasilia Department Of Zoology,1.0,LABORATORY ANIMALS,1.0,,,,,Revista Biota Neotropica,1.0,Agriculture,1.0,Green Published,1.0,BRAZILIAN CENTRO DE MANEJO E CONSERVACAO DA FAUNA SILVESTRE CEMAFAUNA CAATINGA,1.0,,
2011.0,1.0,,,"Brazil, Reginaldo Peçanha",1,Anatomy Morphology,1.0,3.220 Smell & Taste Science,1.0,3.220.1242 Taste Perception,1.0,,,,,FIOCRUZ RESEARCH CENTER RENE RACHOU,1.0,University Of Brasilia Institute Of Biological Sciences,1.0,MEMORIAS DO INSTITUTO OSWALDO CRUZ,1.0,,,,,Sage,1.0,Anatomy Morphology,1.0,Green Submitted,2.0,CPQRR FIOCRUZ MG,1.0,,
2005.0,1.0,,,"Oliveira, Joao A",1,Biodiversity Conservation,1.0,3.35 Zoology & Animal Ecology,1.0,3.35.1587 Chiroptera,1.0,,,,,SECRETARIA SAUDE ESTADO CEARA,1.0,,,REVISTA BRASILEIRA DE GENETICA,1.0,,,,,Soc Brasil Genetica,1.0,Biodiversity Conservation,1.0,,,FUNDACAO DE AMPARO A CIENCIA E TECNOLOGIA DO ESTADO DE PERNAMBUCO FACEPE,1.0,,
1987.0,1.0,,,"Nogueira, Marcelo",1,Entomology,1.0,,,3.64.34 Phylogenetic Relationships,1.0,,,,,SMITHSONIAN INSTITUTION,1.0,,,SYSTEMATIC AND APPLIED ACAROLOGY,1.0,,,,,"Systematic & Applied Acarology Soc London, Natural History Museum",1.0,Entomology,1.0,,,FUNDACAO DE AMPARO A CIENCIA E TECNOLOGIA DO ESTADO DO RIO GRANDE DO SUL FAPERGS,1.0,,
1982.0,1.0,,,"Passaia, Milena Henrique",1,Genetics Heredity,1.0,,,3.64.71 Genetic Diversity,1.0,,,,,SMITHSONIAN NATIONAL ZOOLOGICAL PARK CONSERVATION BIOLOGY INSTITUTE,1.0,,,TICKS AND TICK BORNE DISEASES,1.0,,,,,Wiley,1.0,Genetics Heredity,1.0,,,MINISTERIO DA INTEGRACAO NACIONAL PROJETO SAO FRANCISCO,1.0,,
,,,,"Nakazato, Luciano",1,Infectious Diseases,1.0,,,,,,,,,UNIVERSIDADE DE BRASILIA,1.0,,,VETERINARY PARASITOLOGY,1.0,,,,,,,Infectious Diseases,1.0,,,SES CE,1.0,,
,,,,"Rodrigues, Fernando P",1,Microbiology,1.0,,,,,,,,,UNIVERSIDADE DE SAO PAULO,1.0,,,ZOOTAXA,1.0,,,,,,,Microbiology,1.0,,,SYTEC 3 ENGENHARIA E CONTROLE DE CORROSAO LTDA,1.0,,
