species,year,views
Akodon_cursor,2015,138
Akodon_cursor,2016,289
Akodon_cursor,2017,295
Akodon_cursor,2018,256
Akodon_cursor,2019,306
Akodon_cursor,2020,231
Akodon_cursor,2021,252
Akodon_cursor,2022,276
Akodon_cursor,2023,290
Akodon_cursor,2024,443
Akodon_cursor,2025,415
Akodon_cursor,2026,41
Calomys_expulsus,2015,40
Calomys_expulsus,2016,114
Calomys_expulsus,2017,112
Calomys_expulsus,2018,130
Calomys_expulsus,2019,126
Calomys_expulsus,2020,102
Calomys_expulsus,2021,100
Calomys_expulsus,2022,156
Calomys_expulsus,2023,161
Calomys_expulsus,2024,177
Calomys_expulsus,2025,160
Calomys_expulsus,2026,24
Calomys_mattevii,2015,N/A
Calomys_mattevii,2016,N/A
Calomys_mattevii,2017,N/A
Calomys_mattevii,2018,N/A
Calomys_mattevii,2019,N/A
Calomys_mattevii,2020,N/A
Calomys_mattevii,2021,N/A
Calomys_mattevii,2022,N/A
Calomys_mattevii,2023,10
Calomys_mattevii,2024,62
Calomys_mattevii,2025,58
Calomys_mattevii,2026,6
Cerradomys_langguthi,2015,44
Cerradomys_langguthi,2016,96
Cerradomys_langguthi,2017,61
Cerradomys_langguthi,2018,83
Cerradomys_langguthi,2019,77
Cerradomys_langguthi,2020,68
Cerradomys_langguthi,2021,47
Cerradomys_langguthi,2022,56
Cerradomys_langguthi,2023,69
Cerradomys_langguthi,2024,99
Cerradomys_langguthi,2025,89
Cerradomys_langguthi,2026,12
Cerradomys_vivoi,2015,32
Cerradomys_vivoi,2016,81
Cerradomys_vivoi,2017,90
Cerradomys_vivoi,2018,72
Cerradomys_vivoi,2019,77
Cerradomys_vivoi,2020,64
Cerradomys_vivoi,2021,61
Cerradomys_vivoi,2022,60
Cerradomys_vivoi,2023,65
Cerradomys_vivoi,2024,78
Cerradomys_vivoi,2025,78
Cerradomys_vivoi,2026,11
Euryoryzomys_russatus,2015,78
Euryoryzomys_russatus,2016,136
Euryoryzomys_russatus,2017,139
Euryoryzomys_russatus,2018,179
Euryoryzomys_russatus,2019,166
Euryoryzomys_russatus,2020,142
Euryoryzomys_russatus,2021,160
Euryoryzomys_russatus,2022,254
Euryoryzomys_russatus,2023,227
Euryoryzomys_russatus,2024,264
Euryoryzomys_russatus,2025,259
Euryoryzomys_russatus,2026,12
Galea_spixii,2015,255
Galea_spixii,2016,556
Galea_spixii,2017,582
Galea_spixii,2018,572
Galea_spixii,2019,621
Galea_spixii,2020,664
Galea_spixii,2021,687
Galea_spixii,2022,646
Galea_spixii,2023,665
Galea_spixii,2024,951
Galea_spixii,2025,1147
Galea_spixii,2026,81
Holochilus_oxe,2015,N/A
Holochilus_oxe,2016,N/A
Holochilus_oxe,2017,N/A
Holochilus_oxe,2018,N/A
Holochilus_oxe,2019,N/A
Holochilus_oxe,2020,N/A
Holochilus_oxe,2021,N/A
Holochilus_oxe,2022,N/A
Holochilus_oxe,2023,14
Holochilus_oxe,2024,51
Holochilus_oxe,2025,75
Holochilus_oxe,2026,3
Holochilus_sciureus,2015,68
Holochilus_sciureus,2016,131
Holochilus_sciureus,2017,108
Holochilus_sciureus,2018,115
Holochilus_sciureus,2019,129
